Time,Category,Message,
3/5/2026 9:53:05 AM,Connection,Simulation: Primary connection=Connecting Price feed=Connecting,
3/5/2026 9:52:58 AM,Default,Restoring workspace 'Bayesian Brian'...,
3/5/2026 9:52:57 AM,Default,Auto close enabled=False,
3/5/2026 9:52:57 AM,Order,Order entry hot keys disabled,
3/5/2026 9:52:57 AM,Default,Automated trading disabled,
3/5/2026 9:52:57 AM,Connection,Using IS (is-us-nt-005.ninjatrader.com/31658),
3/5/2026 9:52:54 AM,Default,Global simulation mode disabled,
3/5/2026 9:51:24 AM,Default,Session Break (Version 8.1.6.3),
3/5/2026 6:24:30 AM,Connection,Simulation: Primary connection=Connecting Price feed=Connecting,
3/5/2026 6:24:27 AM,Connection,Playback: Primary connection=Disconnected Price feed=Disconnected,
3/5/2026 6:24:27 AM,Connection,Playback: Primary connection=Disconnecting Price feed=Disconnecting,
3/5/2026 6:24:19 AM,Connection,Simulation: Primary connection=Connecting Price feed=Connecting,
3/5/2026 6:24:19 AM,Connection,Simulation: You can't connect while having an open 'Playback' connection (Panic),
3/5/2026 6:24:19 AM,Connection,Simulation: Primary connection=Disconnected Price feed=Disconnected,
3/5/2026 6:24:11 AM,Connection,Simulation account 'Playback101' reset,
3/5/2026 6:24:10 AM,Connection,Using HDS (hds-us-nt-008.ninjatrader.com/31655),
3/5/2026 6:24:10 AM,Connection,Time to auto close position='12:00:00 AM' Enabled=False,
3/5/2026 6:24:10 AM,Connection,Playback: Primary connection=Connected Price feed=Connected,
3/5/2026 6:24:10 AM,Connection,Playback: Primary connection=Connecting Price feed=Connecting,
3/5/2026 6:23:59 AM,Connection,Simulation: Primary connection=Disconnected Price feed=Disconnected,
3/5/2026 6:23:58 AM,Connection,Simulation: Primary connection=Disconnecting Price feed=Disconnecting,
3/5/2026 6:19:51 AM,Connection,Simulation: Primary connection=Connecting Price feed=Connecting,
3/5/2026 6:19:46 AM,Default,Restoring workspace 'Bayesian Brian'...,
3/5/2026 6:19:45 AM,Default,Auto close enabled=False,
3/5/2026 6:19:45 AM,Order,Order entry hot keys disabled,
3/5/2026 6:19:44 AM,Default,Automated trading disabled,
3/5/2026 6:19:44 AM,Connection,Using IS (is-us-nt-006.ninjatrader.com/31658),
3/5/2026 6:19:43 AM,Default,Global simulation mode disabled,
3/5/2026 6:19:24 AM,Default,Session Break (Version 8.1.6.3),
3/5/2026 6:19:14 AM,Default,Unable to clear out cache data,
3/5/2026 6:19:14 AM,Connection,Simulation: Primary connection=Disconnected Price feed=Disconnected,
3/5/2026 6:19:13 AM,Connection,Simulation: Primary connection=Disconnecting Price feed=Disconnecting,
3/5/2026 6:19:12 AM,Default,Workspace Bayesian Brian not saved,
3/5/2026 6:18:16 AM,Connection,Simulation: Primary connection=Connecting Price feed=Connecting,
3/5/2026 6:18:13 AM,Connection,Simulation: Primary connection=Disconnected Price feed=Disconnected,
3/5/2026 6:18:12 AM,Connection,Simulation: Primary connection=Disconnecting Price feed=Disconnecting,
3/5/2026 6:05:49 AM,Connection,Simulation: Primary connection=Connecting Price feed=Connecting,
3/5/2026 6:02:03 AM,Connection,Simulation: Primary connection=Disconnected Price feed=Disconnected,
3/5/2026 5:52:40 AM,Connection,Using IS (is-us-nt-005.ninjatrader.com/31658),
3/5/2026 5:52:37 AM,Connection,Using IS (is-us-nt-006.ninjatrader.com/31658),
3/5/2026 5:52:27 AM,Connection,Using IS (is-us-nt-006.ninjatrader.com/31658),
3/5/2026 5:52:17 AM,Connection,Using IS (is-us-nt-006.ninjatrader.com/31658),
3/5/2026 5:31:40 AM,Connection,Simulation: Primary connection=Connecting Price feed=Connecting,
3/5/2026 5:31:35 AM,Default,Restoring workspace 'Bayesian Brian'...,
3/5/2026 5:31:33 AM,Default,Auto close enabled=False,
3/5/2026 5:31:33 AM,Order,Order entry hot keys disabled,
3/5/2026 5:31:33 AM,Default,Automated trading disabled,
3/5/2026 5:31:33 AM,Connection,Using IS (is-us-nt-005.ninjatrader.com/31658),
3/5/2026 5:31:30 AM,Default,Global simulation mode disabled,
3/5/2026 5:31:07 AM,Default,Session Break (Version 8.1.6.3),
3/5/2026 5:31:03 AM,Default,Unable to clear out cache data,
3/5/2026 5:31:03 AM,Connection,Simulation: Primary connection=Disconnected Price feed=Disconnected,
3/5/2026 5:31:01 AM,Connection,Simulation: Primary connection=Disconnecting Price feed=Disconnecting,
3/5/2026 5:30:55 AM,Default,Workspace Bayesian Brian not saved,
3/5/2026 5:24:52 AM,Default,Restoring workspace 'Futures'...,
