NinjaScript File,Error,Code,Line,Column,
NT8_BayesianBridge.cs,The namespace 'NinjaTrader.NinjaScript.Indicators' already contains a definition for 'BayesianBridge',CS0101,42,18,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'OnStateChange' with the same parameter types,CS0111,95,33,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'OnBarUpdate' with the same parameter types,CS0111,187,33,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'OnMarketDepth' with the same parameter types,CS0111,225,33,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'OnOrderUpdate' with the same parameter types,CS0111,271,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'OnExecutionUpdate' with the same parameter types,CS0111,281,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'OnPositionUpdate' with the same parameter types,CS0111,298,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'ServerLoop' with the same parameter types,CS0111,324,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'ReadLoop' with the same parameter types,CS0111,382,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'ReadExactly' with the same parameter types,CS0111,415,24,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'ProcessInboundQueue' with the same parameter types,CS0111,430,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'HandlePlaceOrder' with the same parameter types,CS0111,478,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'HandleClosePosition' with the same parameter types,CS0111,509,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'HandleCancelOrder' with the same parameter types,CS0111,547,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'SendRawJson' with the same parameter types,CS0111,574,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'SendPositionSnapshot' with the same parameter types,CS0111,601,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'SendHistoryBuffer' with the same parameter types,CS0111,634,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'SendAccountUpdate' with the same parameter types,CS0111,655,22,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'FindPosition' with the same parameter types,CS0111,683,26,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'Q' with the same parameter types,CS0111,697,31,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'D2S' with the same parameter types,CS0111,704,31,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'ParseSimpleJson' with the same parameter types,CS0111,711,51,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'ReadJsonValue' with the same parameter types,CS0111,747,31,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'GetVal' with the same parameter types,CS0111,784,31,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'GetIntVal' with the same parameter types,CS0111,790,28,
NT8_BayesianBridge.cs,Type 'BayesianBridge' already defines a member called 'ToUnixSeconds' with the same parameter types,CS0111,800,31,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.Port' and 'BayesianBridge.Port',CS0229,102,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,103,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.DomLevels' and 'BayesianBridge.DomLevels',CS0229,104,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,125,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barPeriodSecs' and 'BayesianBridge._barPeriodSecs',CS0229,129,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,141,42,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,143,29,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,149,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,151,57,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,156,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,157,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,158,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._running' and 'BayesianBridge._running',CS0229,161,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._serverThread' and 'BayesianBridge._serverThread',CS0229,162,17,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ServerLoop()' and 'BayesianBridge.ServerLoop()',CS0121,162,44,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._serverThread' and 'BayesianBridge._serverThread',CS0229,163,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.Port' and 'BayesianBridge.Port',CS0229,165,60,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge.AccountName' and 'BayesianBridge.AccountName',CS0229,165,82,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._running' and 'BayesianBridge._running',CS0229,169,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,171,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,173,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,174,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._account' and 'BayesianBridge._account',CS0229,175,21,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._client' and 'BayesianBridge._client',CS0229,178,23,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._listener' and 'BayesianBridge._listener',CS0229,179,23,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,190,17,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,190,46,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,197,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,197,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,198,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,198,43,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,199,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barLabels' and 'BayesianBridge._barLabels',CS0229,199,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,200,19,
NT8_BayesianBridge.cs,Ambiguity between 'BayesianBridge._barPeriodSecs' and 'BayesianBridge._barPeriodSecs',CS0229,200,45,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,201,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.ToUnixSeconds(DateTime)' and 'BayesianBridge.ToUnixSeconds(DateTime)',CS0121,201,46,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,202,19,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.D2S(double)' and 'BayesianBridge.D2S(double)',CS0121,202,37,
NT8_BayesianBridge.cs,The call is ambiguous between the following methods or properties: 'BayesianBridge.Q(string)' and 'BayesianBridge.Q(string)',CS0121,203,19,
