OOS PLAYBOOK — OOS
============================================================

Tradeable branches: 0
Total trades: 0
Total PnL: $0
Avg WR: 0%

Per-branch performance:
 Leaf     N     WR   AvgPnL   TotPnL   MaxDD
---------------------------------------------
  219   501   65% $   10.4 $   5200 $  -262
  212   182   69% $   10.9 $   1990 $   -68
  396    38   82% $   45.7 $   1736 $  -400
  135    23   91% $   72.4 $   1664 $  -156
  218   197   66% $    8.0 $   1570 $  -260
  205   115   77% $   13.2 $   1518 $  -144
  421    27   81% $   54.0 $   1458 $  -123
  131    17   82% $   84.8 $   1442 $   -83
  415    64   62% $   22.2 $   1424 $  -109
  423    45   71% $   31.6 $   1423 $   -66
  424    38   71% $   35.8 $   1362 $  -258
  426    39   64% $   19.7 $    768 $   -58
  134    11   64% $   49.5 $    544 $   -88
  425    11   73% $   42.4 $    466 $  -129
  455    23   65% $   18.0 $    413 $   -98
  222    15   73% $   22.9 $    344 $   -27
  238    39   59% $    8.0 $    312 $  -156
  206    17   94% $   18.3 $    310 $    -2
  209    95   72% $    3.2 $    304 $  -290
  427    13   62% $   23.2 $    302 $   -36
   23    58   64% $    4.7 $    272 $  -112
  227    12   83% $   22.5 $    270 $   -52
  203    16   69% $   15.2 $    242 $   -79
  345   124   63% $    1.8 $    220 $  -345
  408     4  100% $   50.8 $    203 $     0
  146     6   67% $   23.7 $    142 $    -6
  197     5   60% $   25.0 $    125 $   -38
  365     6   83% $   20.2 $    121 $   -15
  407     2  100% $   57.5 $    115 $     0
   47     1  100% $  112.5 $    112 $     0
  162     3  100% $   35.2 $    106 $     0
  390     1  100% $   98.5 $     98 $     0
  267    12   92% $    8.0 $     96 $   -31
   78     7   86% $   13.2 $     92 $    -2
  397     3  100% $   28.7 $     86 $     0
  225     4  100% $   19.1 $     76 $     0
   12     2  100% $   33.0 $     66 $     0
   84    34   68% $    1.7 $     58 $   -72
  377     4  100% $   14.0 $     56 $     0
  378    10   60% $    5.5 $     56 $   -22
  252     2   50% $   26.8 $     54 $    -1
   55    13   54% $    3.9 $     50 $   -43
   21     2   50% $   24.8 $     50 $   -29
  264     3   67% $   16.0 $     48 $    -5
  163    11   73% $    4.3 $     47 $   -20
  298     3  100% $   15.0 $     45 $     0
   54    18   50% $    2.4 $     44 $   -74
  295    14   64% $    3.0 $     42 $   -33
  456     5   60% $    8.0 $     40 $   -22
  324     4   75% $   10.0 $     40 $   -12
  333    43   63% $    0.9 $     40 $   -66
   61     5   40% $    7.2 $     36 $   -37
   68     3  100% $   11.7 $     35 $     0
    8     1  100% $   34.5 $     34 $     0
  430     2  100% $   17.0 $     34 $     0
  235     1  100% $   33.5 $     34 $     0
  306     4   25% $    7.9 $     32 $    -8
  133     4   50% $    7.0 $     28 $   -32
  389     2  100% $   12.8 $     26 $     0
  310     2   50% $   12.8 $     26 $    -7
  180     3   67% $    7.8 $     24 $   -16
   35     5   40% $    4.6 $     23 $   -12
  179     5   60% $    4.4 $     22 $   -47
  381     4   50% $    5.1 $     20 $    -2
  275     2   50% $    9.8 $     20 $    -3
