regime_id,direction,ts_start,ts_end,entry_price,exit_price,change_ticks,change_dollars,mfe_ticks,mae_ticks,mfe_dollars,mae_dollars,duration_mins,time_to_mfe_mins,n_bars,lookback_bars,lookback_timestamps,lookback_start_idx,regime_start_idx
0,SHORT,1752451200.0,1752473040.0,22870.0,22818.0,-208.0,-104.0,201.0,36.0,100.5,18.0,364.0,363.4,365,10,"[1752450600.0, 1752450660.0, 1752450720.0, 1752450780.0, 1752450840.0, 1752450900.0, 1752450960.0, 1752451020.0, 1752451080.0, 1752451140.0]",20222,20232
1,SHORT,1752473100.0,1752478140.0,22828.25,22813.25,-60.0,-30.0,91.0,76.0,45.5,38.0,84.0,80.3,85,10,"[1752472500.0, 1752472560.0, 1752472620.0, 1752472680.0, 1752472740.0, 1752472800.0, 1752472860.0, 1752472920.0, 1752472980.0, 1752473040.0]",20587,20597
2,LONG,1752478200.0,1752491160.0,22823.5,22887.5,256.0,128.0,321.0,38.0,160.5,19.0,216.0,138.0,217,10,"[1752477600.0, 1752477660.0, 1752477720.0, 1752477780.0, 1752477840.0, 1752477900.0, 1752477960.0, 1752478020.0, 1752478080.0, 1752478140.0]",20672,20682
3,LONG,1752491220.0,1752501780.0,22875.0,22922.5,190.0,95.0,413.0,41.0,206.5,20.5,176.0,144.4,177,10,"[1752490620.0, 1752490680.0, 1752490740.0, 1752490800.0, 1752490860.0, 1752490920.0, 1752490980.0, 1752491040.0, 1752491100.0, 1752491160.0]",20889,20899
4,SHORT,1752501840.0,1752502320.0,22934.0,22917.0,-68.0,-34.0,48.0,3.0,24.0,1.5,8.0,2.1,9,10,"[1752501240.0, 1752501300.0, 1752501360.0, 1752501420.0, 1752501480.0, 1752501540.0, 1752501600.0, 1752501660.0, 1752501720.0, 1752501780.0]",21066,21076
5,LONG,1752502380.0,1752503160.0,22941.75,22961.0,77.0,38.5,179.0,118.0,89.5,59.0,13.0,8.1,14,10,"[1752501780.0, 1752501840.0, 1752501900.0, 1752501960.0, 1752502020.0, 1752502080.0, 1752502140.0, 1752502200.0, 1752502260.0, 1752502320.0]",21075,21085
6,LONG,1752503220.0,1752504900.0,22947.25,22988.25,164.0,82.0,135.0,93.0,67.5,46.5,28.0,26.9,29,10,"[1752502620.0, 1752502680.0, 1752502740.0, 1752502800.0, 1752502860.0, 1752502920.0, 1752502980.0, 1752503040.0, 1752503100.0, 1752503160.0]",21089,21099
7,LONG,1752504960.0,1752505500.0,22978.0,23000.5,90.0,45.0,178.0,12.0,89.0,6.0,9.0,8.2,10,10,"[1752504360.0, 1752504420.0, 1752504480.0, 1752504540.0, 1752504600.0, 1752504660.0, 1752504720.0, 1752504780.0, 1752504840.0, 1752504900.0]",21118,21128
8,LONG,1752505560.0,1752509640.0,23011.0,23025.25,57.0,28.5,72.0,71.0,36.0,35.5,68.0,65.1,69,10,"[1752504960.0, 1752505020.0, 1752505080.0, 1752505140.0, 1752505200.0, 1752505260.0, 1752505320.0, 1752505380.0, 1752505440.0, 1752505500.0]",21128,21138
9,SHORT,1752509700.0,1752511140.0,23014.0,23010.75,-13.0,-6.5,35.0,50.0,17.5,25.0,24.0,22.0,25,10,"[1752509100.0, 1752509160.0, 1752509220.0, 1752509280.0, 1752509340.0, 1752509400.0, 1752509460.0, 1752509520.0, 1752509580.0, 1752509640.0]",21197,21207
10,LONG,1752511200.0,1752515220.0,23021.25,23040.25,76.0,38.0,181.0,47.0,90.5,23.5,67.0,56.9,68,10,"[1752510600.0, 1752510660.0, 1752510720.0, 1752510780.0, 1752510840.0, 1752510900.0, 1752510960.0, 1752511020.0, 1752511080.0, 1752511140.0]",21222,21232
