bar,date,direction,pnl_ticks,pnl_dollars,reason,confidence,sight,month
795,2026-03-25,long,40.0,20.0,1m_disagree=0.22,0.9596787691116333,0,2026-03
801,2026-03-25,long,-8.0,-4.0,1m_disagree=0.24,0.6606882810592651,0,2026-03
805,2026-03-25,long,12.0,6.0,1m_disagree=0.24,0.938935399055481,0,2026-03
810,2026-03-25,long,84.0,42.0,1m_disagree=0.25,0.9375152587890625,0,2026-03
812,2026-03-25,long,12.0,6.0,1m_disagree=0.26,0.7534632682800293,0,2026-03
814,2026-03-25,long,-84.0,-42.0,1m_disagree=0.27,0.8755888938903809,0,2026-03
816,2026-03-25,long,40.0,20.0,1m_disagree=0.23,0.9673609733581543,0,2026-03
818,2026-03-25,long,88.0,44.0,1m_disagree=0.26,0.9444479942321777,0,2026-03
821,2026-03-25,long,-52.0,-26.0,1m_disagree=0.27,0.7853822708129883,0,2026-03
823,2026-03-25,long,68.0,34.0,1m_disagree=0.24,0.9648629426956177,0,2026-03
825,2026-03-25,long,132.0,66.0,1m_disagree=0.21,0.9808403253555298,0,2026-03
827,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
829,2026-03-25,long,128.0,64.0,1m_disagree=0.22,0.9828076362609863,0,2026-03
831,2026-03-25,long,72.0,36.0,1m_disagree=0.26,0.9532074928283691,0,2026-03
834,2026-03-25,long,48.0,24.0,1m_disagree=0.24,0.9667104482650757,0,2026-03
836,2026-03-25,long,132.0,66.0,1m_disagree=0.21,0.9840534925460815,0,2026-03
840,2026-03-25,long,116.0,58.0,1m_disagree=0.21,0.9835224151611328,0,2026-03
842,2026-03-25,long,-4.0,-2.0,1m_disagree=0.20,0.9851651191711426,0,2026-03
846,2026-03-25,long,-36.0,-18.0,1m_disagree=0.28,0.8839315176010132,0,2026-03
851,2026-03-25,long,0.0,0.0,1m_disagree=0.24,0.9563051462173462,0,2026-03
853,2026-03-25,long,-4.0,-2.0,1m_disagree=0.25,0.9439074993133545,0,2026-03
855,2026-03-25,long,-32.0,-16.0,1m_disagree=0.27,0.8555812835693359,0,2026-03
857,2026-03-25,long,-28.0,-14.0,1m_disagree=0.26,0.7469596862792969,0,2026-03
861,2026-03-25,long,16.0,8.0,1m_disagree=0.25,0.9296891689300537,0,2026-03
863,2026-03-25,long,68.0,34.0,1m_disagree=0.24,0.944137692451477,0,2026-03
865,2026-03-25,long,48.0,24.0,1m_disagree=0.24,0.6935833692550659,0,2026-03
870,2026-03-25,long,-40.0,-20.0,1m_sight=0,0.09833991527557373,0,2026-03
874,2026-03-25,short,0.0,0.0,structural_flip bias=long,0.0,0,2026-03
879,2026-03-25,long,-24.0,-12.0,1m_inflection,0.11307322978973389,0,2026-03
881,2026-03-25,long,-32.0,-16.0,1m_disagree=0.25,0.788377046585083,0,2026-03
884,2026-03-25,long,-48.0,-24.0,1m_disagree=0.25,0.9186997413635254,0,2026-03
890,2026-03-25,short,76.0,38.0,structural_flip bias=long,0.0,0,2026-03
892,2026-03-25,short,40.0,20.0,structural_flip bias=long,0.0,0,2026-03
894,2026-03-25,short,-28.0,-14.0,structural_flip bias=long,0.0,0,2026-03
901,2026-03-25,short,-96.0,-48.0,structural_flip bias=long,0.0,0,2026-03
904,2026-03-25,short,136.0,68.0,structural_flip bias=long,0.0,0,2026-03
906,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
909,2026-03-25,short,32.0,16.0,structural_flip bias=long,0.0,0,2026-03
911,2026-03-25,short,-20.0,-10.0,structural_flip bias=long,0.0,0,2026-03
914,2026-03-25,short,32.0,16.0,structural_flip bias=long,0.0,0,2026-03
928,2026-03-25,long,-132.0,-66.0,1m_disagree=0.23,0.7400157451629639,0,2026-03
931,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
936,2026-03-25,long,-36.0,-18.0,1m_disagree=0.23,0.9637846946716309,0,2026-03
938,2026-03-25,long,-44.0,-22.0,1m_disagree=0.25,0.760893702507019,0,2026-03
948,2026-03-25,long,-8.0,-4.0,1m_disagree=0.24,0.8075892925262451,0,2026-03
956,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
959,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
961,2026-03-25,long,8.0,4.0,1m_disagree=0.20,0.9834647178649902,0,2026-03
964,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
966,2026-03-25,long,-52.0,-26.0,1m_disagree=0.25,0.9501334428787231,0,2026-03
972,2026-03-25,long,76.0,38.0,1m_disagree=0.25,0.9387367963790894,0,2026-03
975,2026-03-25,long,-92.0,-46.0,1m_sight=1,0.1303255558013916,1,2026-03
977,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
981,2026-03-25,short,-76.0,-38.0,structural_flip bias=long,0.0,0,2026-03
984,2026-03-25,short,12.0,6.0,structural_flip bias=long,0.0,0,2026-03
987,2026-03-25,short,52.0,26.0,structural_flip bias=long,0.0,0,2026-03
989,2026-03-25,short,72.0,36.0,structural_flip bias=long,0.0,0,2026-03
991,2026-03-25,short,88.0,44.0,structural_flip bias=long,0.0,0,2026-03
1001,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1003,2026-03-25,short,-64.0,-32.0,structural_flip bias=long,0.0,0,2026-03
1005,2026-03-25,short,-16.0,-8.0,structural_flip bias=long,0.0,0,2026-03
1014,2026-03-25,long,52.0,26.0,1m_disagree=0.24,0.8735986948013306,0,2026-03
1018,2026-03-25,long,172.0,86.0,1m_disagree=0.25,0.9129451513290405,0,2026-03
1020,2026-03-25,long,20.0,10.0,1m_disagree=0.25,0.9041450023651123,0,2026-03
1027,2026-03-25,long,32.0,16.0,1m_disagree=0.24,0.7636147737503052,0,2026-03
1031,2026-03-25,long,0.0,0.0,1m_disagree=0.25,0.7988801002502441,0,2026-03
1033,2026-03-25,long,-96.0,-48.0,1m_flipped_confirmed n+1=0.36,0.28156888484954834,0,2026-03
1042,2026-03-25,short,-48.0,-24.0,structural_flip bias=long,0.0,0,2026-03
1044,2026-03-25,short,8.0,4.0,structural_flip bias=long,0.0,0,2026-03
1047,2026-03-25,short,-60.0,-30.0,structural_flip bias=long,0.0,0,2026-03
1049,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1051,2026-03-25,short,132.0,66.0,structural_flip bias=long,0.0,0,2026-03
1055,2026-03-25,short,200.0,100.0,structural_flip bias=long,0.0,0,2026-03
1057,2026-03-25,short,76.0,38.0,structural_flip bias=long,0.0,0,2026-03
1059,2026-03-25,short,-16.0,-8.0,structural_flip bias=long,0.0,0,2026-03
1063,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1067,2026-03-25,short,96.0,48.0,structural_flip bias=long,0.0,0,2026-03
1070,2026-03-25,short,-28.0,-14.0,structural_flip bias=long,0.0,0,2026-03
1072,2026-03-25,short,48.0,24.0,structural_flip bias=long,0.0,0,2026-03
1075,2026-03-25,short,-52.0,-26.0,structural_flip bias=long,0.0,0,2026-03
1077,2026-03-25,short,0.0,0.0,structural_flip bias=long,0.0,0,2026-03
1080,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1083,2026-03-25,short,-64.0,-32.0,structural_flip bias=long,0.0,0,2026-03
1086,2026-03-25,short,28.0,14.0,structural_flip bias=long,0.0,0,2026-03
1100,2026-03-25,long,-44.0,-22.0,1m_sight=1,0.13604974746704102,1,2026-03
1109,2026-03-25,short,-60.0,-30.0,structural_flip bias=long,0.0,0,2026-03
1111,2026-03-25,short,136.0,68.0,structural_flip bias=long,0.0,0,2026-03
1113,2026-03-25,short,48.0,24.0,structural_flip bias=long,0.0,0,2026-03
1115,2026-03-25,short,32.0,16.0,structural_flip bias=long,0.0,0,2026-03
1117,2026-03-25,short,64.0,32.0,structural_flip bias=long,0.0,0,2026-03
1120,2026-03-25,short,44.0,22.0,structural_flip bias=long,0.0,0,2026-03
1126,2026-03-25,short,116.0,58.0,structural_flip bias=long,0.0,0,2026-03
1128,2026-03-25,short,-124.0,-62.0,structural_flip bias=long,0.0,0,2026-03
1132,2026-03-25,short,20.0,10.0,structural_flip bias=long,0.0,0,2026-03
1142,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1146,2026-03-25,long,-20.0,-10.0,1m_disagree=0.24,0.8199069499969482,0,2026-03
1149,2026-03-25,long,-28.0,-14.0,1m_disagree=0.24,0.8449832201004028,0,2026-03
1153,2026-03-25,long,64.0,32.0,1m_disagree=0.23,0.9471621513366699,0,2026-03
1166,2026-03-25,long,204.0,102.0,1m_disagree=0.21,0.9772915840148926,0,2026-03
1169,2026-03-25,long,88.0,44.0,1m_disagree=0.26,0.9207518100738525,0,2026-03
1175,2026-03-25,long,16.0,8.0,1m_flipped_confirmed n+1=0.47,0.06815111637115479,0,2026-03
1183,2026-03-25,short,-88.0,-44.0,structural_flip bias=long,0.0,0,2026-03
1185,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1195,2026-03-25,long,-80.0,-40.0,1m_sight=0,0.0953378677368164,0,2026-03
1197,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1199,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1201,2026-03-25,long,-148.0,-74.0,1m_disagree=0.23,0.9581155776977539,0,2026-03
1203,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1205,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1211,2026-03-25,long,72.0,36.0,1m_disagree=0.23,0.9756019115447998,0,2026-03
1213,2026-03-25,long,-12.0,-6.0,1m_disagree=0.27,0.8898051977157593,0,2026-03
1216,2026-03-25,long,48.0,24.0,1m_disagree=0.27,0.8937320709228516,0,2026-03
1220,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1226,2026-03-25,short,12.0,6.0,structural_flip bias=long,0.0,0,2026-03
1228,2026-03-25,short,-12.0,-6.0,structural_flip bias=long,0.0,0,2026-03
1234,2026-03-25,short,-120.0,-60.0,structural_flip bias=long,0.0,0,2026-03
1239,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1241,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1253,2026-03-25,short,-80.0,-40.0,hard_sl,0.0,0,2026-03
1256,2026-03-25,long,432.0,216.0,1m_disagree=0.20,0.9785915613174438,0,2026-03
1259,2026-03-25,long,-16.0,-8.0,1m_disagree=0.25,0.9170639514923096,0,2026-03
1261,2026-03-25,long,-68.0,-34.0,1m_disagree=0.25,0.7024997472763062,0,2026-03
1266,2026-03-25,long,60.0,30.0,1m_disagree=0.24,0.9530191421508789,0,2026-03
1268,2026-03-25,long,12.0,6.0,1m_disagree=0.24,0.9517847299575806,0,2026-03
1271,2026-03-25,long,-80.0,-40.0,hard_sl,0.0,0,2026-03
1273,2026-03-25,long,176.0,88.0,1m_disagree=0.21,0.9795398712158203,0,2026-03
1276,2026-03-25,long,140.0,70.0,1m_disagree=0.23,0.9690687656402588,0,2026-03
