day,seg_idx,shape_class,subshape_id,length_min,shape_pearson_r
2025_01_01,0,NOISE,2,59.92,-999.0
2025_01_02,0,NOISE,4,495.0,-999.0
2025_01_03,0,NOISE,4,75.0,-999.0
2025_01_06,0,NOISE,2,105.0,-999.0
2025_01_07,0,NOISE,3,45.0,-999.0
2025_01_08,0,NOISE,4,150.0,-999.0
2025_01_13,0,NOISE,2,360.0,-999.0
2025_01_14,0,NOISE,1,45.0,-999.0
2025_01_15,0,NOISE,4,90.0,-999.0
2025_01_17,0,NOISE,4,420.0,-999.0
2025_01_21,0,NOISE,2,225.0,-999.0
2025_01_22,0,NOISE,0,60.0,-999.0
2025_01_27,0,NOISE,2,780.0,-999.0
2025_01_29,0,NOISE,4,570.0,-999.0
2025_01_30,0,NOISE,4,300.0,-999.0
2025_02_04,0,NOISE,3,45.0,-999.0
2025_02_05,0,NOISE,4,90.0,-999.0
2025_02_06,0,NOISE,2,60.0,-999.0
2025_02_07,0,NOISE,1,45.08,-999.0
2025_02_10,0,NOISE,4,120.0,-999.0
2025_02_13,0,NOISE,4,75.0,-999.0
2025_02_14,0,NOISE,4,285.0,-999.0
2025_02_18,0,NOISE,4,345.0,-999.0
2025_02_19,0,NOISE,4,120.0,-999.0
2025_02_21,0,NOISE,2,120.0,-999.0
2025_02_24,0,NOISE,2,120.0,-999.0
2025_02_28,0,NOISE,2,60.0,-999.0
2025_03_05,0,NOISE,2,90.0,-999.0
2025_03_06,0,NOISE,2,105.0,-999.0
2025_03_10,0,NOISE,4,285.0,-999.0
2025_03_11,0,NOISE,2,90.0,-999.0
2025_03_12,0,NOISE,2,90.0,-999.0
2025_03_13,0,NOISE,2,510.0,-999.0
2025_03_14,0,NOISE,4,330.0,-999.0
2025_03_16,0,NOISE,2,119.92,-999.0
2025_03_17,0,NOISE,4,120.0,-999.0
2025_03_19,0,NOISE,4,165.0,-999.0
2025_04_01,0,NOISE,2,75.0,-999.0
2025_04_03,0,NOISE,4,315.08,-999.0
2025_04_04,0,NOISE,2,120.0,-999.0
2025_04_06,0,NOISE,2,119.92,-999.0
2025_04_07,0,NOISE,4,240.0,-999.0
2025_04_08,0,NOISE,2,90.0,-999.0
2025_04_09,0,NOISE,4,75.0,-999.0
2025_04_10,0,NOISE,2,345.0,-999.0
2025_04_14,0,NOISE,2,120.0,-999.0
2025_04_16,0,NOISE,2,60.0,-999.0
2025_04_17,0,NOISE,4,525.0,-999.0
2025_04_27,0,NOISE,2,119.92,-999.0
2025_04_28,0,NOISE,2,60.0,-999.0
2025_04_29,0,NOISE,4,270.0,-999.0
2025_04_30,0,NOISE,2,270.0,-999.0
2025_05_01,0,NOISE,0,60.0,-999.0
2025_05_02,0,NOISE,4,330.0,-999.0
2025_05_04,0,NOISE,2,119.92,-999.0
2025_05_06,0,NOISE,2,285.0,-999.0
2025_05_08,0,NOISE,1,45.0,-999.0
2025_05_09,0,NOISE,4,315.17,-999.0
2025_05_12,0,NOISE,4,240.0,-999.0
2025_05_13,0,NOISE,2,75.0,-999.0
2025_05_14,0,NOISE,2,90.0,-999.0
2025_05_15,0,NOISE,3,45.0,-999.0
2025_05_16,0,NOISE,2,135.0,-999.0
2025_05_18,0,NOISE,4,119.92,-999.0
2025_05_20,0,NOISE,2,300.0,-999.0
2025_05_23,0,NOISE,1,45.0,-999.0
2025_05_26,0,NOISE,4,75.0,-999.0
2025_05_28,0,NOISE,4,90.0,-999.0
2025_05_29,0,NOISE,4,225.0,-999.0
2025_05_30,0,NOISE,3,45.0,-999.0
2025_06_04,0,NOISE,3,45.0,-999.0
2025_06_08,0,NOISE,2,75.08,-999.0
2025_06_09,0,NOISE,2,285.0,-999.0
2025_06_10,0,NOISE,4,255.0,-999.0
2025_06_11,0,NOISE,2,375.0,-999.0
2025_06_12,0,NOISE,2,195.0,-999.0
2025_06_13,0,NOISE,2,105.0,-999.0
2025_06_18,0,NOISE,4,105.0,-999.0
2025_06_19,0,NOISE,3,45.08,-999.0
2025_06_20,0,NOISE,2,140.25,-999.0
2025_07_01,0,NOISE,4,75.0,-999.0
2025_07_02,1,NOISE,1,45.0,0.687
2025_07_03,0,NOISE,0,60.0,-999.0
2025_07_07,0,NOISE,2,120.0,-999.0
2025_07_08,0,NOISE,4,90.0,-999.0
2025_07_09,0,NOISE,3,45.0,-999.0
2025_07_09,1,NOISE,3,30.0,0.456
2025_07_10,0,NOISE,2,120.0,-999.0
2025_07_13,0,NOISE,0,60.0,-999.0
2025_07_14,0,NOISE,2,120.0,-999.0
2025_07_15,0,NOISE,2,90.0,-999.0
2025_07_16,0,NOISE,4,150.0,-999.0
2025_07_18,0,NOISE,2,135.0,-999.0
2025_07_20,0,NOISE,4,119.92,-999.0
2025_07_21,0,NOISE,2,60.17,-999.0
2025_07_22,0,NOISE,2,75.0,-999.0
2025_07_28,0,NOISE,0,60.0,-999.0
2025_07_29,0,NOISE,4,105.0,-999.0
2025_07_31,0,NOISE,4,405.08,-999.0
