
STRATEGY PERFORMANCE REPORT
ID         | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
-------------------------------------------------------------------------------------
11         | 1    | 37     |  54.1 |   0.58 | $3719.00   | $358.00    | 0.42
10         | 1    | 239    |  51.5 |   0.49 | $25235.00  | $700.50    | 0.37
641        | 1    | 22     |  54.5 |   0.40 | $325.00    | $101.00    | 0.36
8400       | 1    | 24     |  50.0 |   0.38 | $227.00    | $54.00     | 0.40
481        | 1    | 24     |  54.2 |   0.36 | $540.00    | $72.50     | 0.33
1          | 1    | 576    |  50.0 |   0.31 | $22258.50  | $905.00    | 0.45
351        | 2    | 13     |  69.2 |   0.63 | $106.50    | $17.00     | 0.27
870        | 2    | 16     |  50.0 |   0.44 | $1075.50   | $70.50     | 0.25
730        | 2    | 18     |  55.6 |   0.35 | $221.00    | $56.00     | 0.36
912        | 2    | 13     |  53.8 |   0.33 | $45.00     | $13.00     | 0.38
252        | 2    | 18     |  44.4 |   0.31 | $81.00     | $31.50     | 0.43
4611       | 2    | 12     |  41.7 |   0.29 | $135.50    | $85.00     | 0.40
193        | 2    | 11     |  45.5 |   0.26 | $39.50     | $22.00     | 0.41
620        | 2    | 66     |  43.9 |   0.25 | $667.00    | $116.00    | 0.41
4600       | 2    | 25     |  44.0 |   0.25 | $330.50    | $28.50     | 0.32
412        | 2    | 20     |  45.0 |   0.23 | $74.50     | $28.50     | 0.45
622        | 2    | 27     |  40.7 |   0.23 | $111.00    | $51.00     | 0.43
333        | 2    | 17     |  41.2 |   0.21 | $74.00     | $30.50     | 0.40
0          | 2    | 487    |  41.9 |   0.21 | $12146.50  | $771.50    | 0.49
3210       | 2    | 15     |  46.7 |   0.19 | $45.00     | $20.50     | 0.40
164        | 2    | 117    |  40.2 |   0.17 | $385.00    | $72.50     | 0.43
454        | 2    | 50     |  50.0 |   0.15 | $698.00    | $148.50    | 0.36
30         | 2    | 209    |  41.6 |   0.12 | $956.50    | $256.00    | 0.49
151        | 2    | 196    |  48.5 |   0.11 | $1039.00   | $351.50    | 0.51
361        | 2    | 16     |  43.8 |   0.11 | $47.00     | $98.00     | 0.53
150        | 2    | 114    |  47.4 |   0.11 | $433.00    | $207.00    | 0.50
491        | 2    | 22     |  40.9 |   0.10 | $103.50    | $124.50    | 0.54
101        | 2    | 19     |  42.1 |   0.10 | $504.50    | $686.00    | 0.55
800        | 2    | 22     |  40.9 |   0.09 | $45.50     | $53.00     | 0.45
600        | 2    | 13     |  46.2 |   0.08 | $24.00     | $30.00     | 0.46
502        | 2    | 150    |  40.7 |   0.07 | $403.50    | $276.00    | 0.57
533        | 2    | 13     |  53.8 |   0.06 | $16.50     | $60.50     | 0.60
572        | 2    | 115    |  42.6 |   0.05 | $288.00    | $463.50    | 0.61
470        | 2    | 49     |  40.8 |   0.05 | $75.50     | $166.00    | 0.52
612        | 2    | 22     |  40.9 |   0.03 | $14.00     | $64.50     | 0.52
501        | 2    | 77     |  42.9 |   0.01 | $23.00     | $342.00    | 0.68
662        | 3    | 2      | 100.0 |   5.75 | $46.00     | $0.00      | 0.00
4610       | 3    | 2      | 100.0 |   3.92 | $94.00     | $0.00      | 0.00
660        | 3    | 3      |  66.7 |   1.30 | $108.50    | $2.00      | 0.13
78         | 3    | 2      |  50.0 |   0.92 | $581.50    | $24.50     | 0.19
914        | 3    | 4      |  75.0 |   0.83 | $83.50     | $0.00      | 0.25
1021       | 3    | 2      |  50.0 |   0.78 | $28.00     | $0.00      | 0.21
2411       | 3    | 4      |  50.0 |   0.77 | $85.50     | $10.00     | 0.24
22         | 3    | 3      |  33.3 |   0.68 | $421.50    | $13.00     | 0.25
230        | 3    | 5      |  60.0 |   0.65 | $83.50     | $16.50     | 0.26
613        | 3    | 3      |  66.7 |   0.59 | $10.50     | $3.50      | 0.32
621        | 3    | 9      |  55.6 |   0.55 | $39.50     | $12.00     | 0.32
950        | 3    | 3      |  33.3 |   0.55 | $44.50     | $8.50      | 0.30
4601       | 3    | 3      |  66.7 |   0.54 | $17.00     | $0.00      | 0.25
511        | 3    | 2      |  50.0 |   0.53 | $23.00     | $0.00      | 0.26
311        | 3    | 6      |  50.0 |   0.50 | $86.50     | $7.00      | 0.28
951        | 3    | 5      |  60.0 |   0.43 | $33.00     | $11.00     | 0.33
462        | 3    | 9      |  55.6 |   0.42 | $83.50     | $24.50     | 0.35
630        | 3    | 6      |  66.7 |   0.39 | $19.00     | $11.50     | 0.43
381        | 3    | 5      |  40.0 |   0.34 | $198.50    | $48.50     | 0.31
192        | 3    | 7      |  71.4 |   0.33 | $63.50     | $29.00     | 0.51
81         | 3    | 6      |  16.7 |   0.32 | $384.00    | $40.50     | 0.34
853        | 3    | 4      |  50.0 |   0.31 | $45.00     | $30.50     | 0.41
20         | 3    | 55     |  38.2 |   0.31 | $590.00    | $106.50    | 0.38
343        | 3    | 2      |  50.0 |   0.31 | $16.00     | $0.00      | 0.33
102        | 3    | 4      |  25.0 |   0.29 | $19.00     | $14.50     | 0.41
911        | 3    | 2      |  50.0 |   0.28 | $27.00     | $0.00      | 0.34
1022       | 3    | 2      |  50.0 |   0.28 | $5.50      | $0.00      | 0.34
103        | 3    | 52     |  36.5 |   0.27 | $607.50    | $116.00    | 0.48
483        | 3    | 8      |  37.5 |   0.27 | $16.00     | $10.00     | 0.38
181        | 3    | 8      |  50.0 |   0.26 | $167.50    | $25.50     | 0.31
123        | 3    | 20     |  40.0 |   0.24 | $238.00    | $146.00    | 0.48
261        | 3    | 4      |  25.0 |   0.24 | $37.00     | $39.50     | 0.44
