Performance,All trades,Long trades,Short trades,
Total net profit,($4080.80),$1240.20,($5321.00),
Gross profit,$28999.50,$15998.60,$13000.90,
Gross loss,($33080.30),($14758.40),($18321.90),
Commission,$1495.30,$744.80,$750.50,
Profit factor,0.88,1.08,0.71,
Max. drawdown,($4646.30),($2365.80),($5546.80),
Sharpe ratio,-0.79,0.46,-0.77,
Sortino ratio,-1.74,1.21,-1.60,
Ulcer index,0.06,0.02,0.05,
R squared,0.81,0.19,0.77,
Total Fees,$0.00,$0.00,$0.00,
Probability,90.44%,28.50%,98.44%,
,,,,
Start date,3/20/2026,,,
Start time,12:00 AM,,,
End date,4/25/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,787,392,395,
Percent profitable,62.90%,64.03%,61.77%,
# of winning trades,495,251,244,
# of losing trades,292,141,151,
# of even trades,0,0,0,
,,,,
Total slippage,393.5,196,197.5,
,,,,
Avg. trade,($5.19),$3.16,($13.47),
Avg. winning trade,$58.58,$63.74,$53.28,
Avg. losing trade,($113.29),($104.67),($121.34),
Ratio avg. win / avg. loss,0.52,0.61,0.44,
,,,,
Max. consec. winners,13,12,11,
Max. consec. losers,6,6,6,
Largest winning trade,$189.10,$189.10,$118.10,
Largest losing trade,($1144.40),($496.40),($1144.40),
,,,,
Avg. # of trades per day,33.53,16.70,16.83,
Avg. time in market,36.35 min,32.34 min,40.34 min,
Avg. bars in trade,1946.79,1737.30,2154.69,
Profit per month,($3660.72),$1112.53,($4773.25),
Max. time to recover,32.86 days,21.68 days,32.44 days,
Longest flat period,2.45 days,2.53 days,2.48 days,
,,,,
Avg. MAE,$109.29,$101.74,$116.78,
Avg. MFE,$55.13,$58.32,$51.97,
Avg. ETD,$60.32,$55.15,$65.44,
