Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ JUN26,Playback101,ZigzagRunner,Short,1,24011.00,24023.00,3/22/2026 5:00:01 PM,3/22/2026 5:10:01 PM,ShortAtHighPivot,LongAtLowPivot,($24.00),($24.00),$0.00,$0.00,$0.00,$0.00,$0.00,$51.00,$78.00,$102.00,11,
2,MNQ JUN26,Playback101,ZigzagRunner,Long,1,24023.00,24023.50,3/22/2026 5:10:01 PM,3/22/2026 5:33:01 PM,PivotExitShort,ShortAtHighPivot,$1.00,($23.00),$0.00,$0.00,$0.00,$0.00,$0.00,$1.00,$1.00,$0.00,24,
3,MNQ JUN26,Playback101,ZigzagRunner,Short,1,24023.50,24007.25,3/22/2026 5:33:01 PM,3/22/2026 6:16:01 PM,PivotExitLong,LongAtLowPivot,$32.50,$9.50,$0.00,$0.00,$0.00,$0.00,$0.00,$32.50,$32.50,$0.00,44,
4,MNQ JUN26,Playback101,ZigzagRunner,Long,1,24007.25,24015.50,3/22/2026 6:16:01 PM,3/22/2026 7:40:01 PM,PivotExitShort,ShortAtHighPivot,$16.50,$26.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.50,$16.50,$0.00,85,
5,MNQ JUN26,Playback101,ZigzagRunner,Short,1,24015.50,23999.50,3/22/2026 7:40:01 PM,3/22/2026 9:37:01 PM,PivotExitLong,LongAtLowPivot,$32.00,$58.00,$0.00,$0.00,$0.00,$0.00,$0.00,$32.00,$32.00,$0.00,118,
6,MNQ JUN26,Playback101,ZigzagRunner,Long,1,23999.50,23962.25,3/22/2026 9:37:01 PM,3/22/2026 10:31:01 PM,PivotExitShort,ShortAtHighPivot,($74.50),($16.50),$0.00,$0.00,$0.00,$0.00,$0.00,$74.50,$74.50,$149.00,55,
7,MNQ JUN26,Playback101,ZigzagRunner,Short,1,23962.25,23999.25,3/22/2026 10:31:01 PM,3/22/2026 10:38:01 PM,PivotExitLong,LongAtLowPivot,($74.00),($90.50),$0.00,$0.00,$0.00,$0.00,$0.00,$74.00,$74.00,$148.00,8,
8,MNQ JUN26,Playback101,ZigzagRunner,Long,1,23999.25,23946.50,3/22/2026 10:38:01 PM,3/22/2026 10:49:01 PM,PivotExitShort,ShortAtHighPivot,($105.50),($196.00),$0.00,$0.00,$0.00,$0.00,$0.00,$105.50,$105.50,$211.00,12,
9,MNQ JUN26,Playback101,ZigzagRunner,Short,1,23946.50,23899.25,3/22/2026 10:49:01 PM,3/23/2026 12:08:01 AM,PivotExitLong,LongAtLowPivot,$94.50,($101.50),$0.00,$0.00,$0.00,$0.00,$0.00,$94.50,$94.50,$0.00,80,
10,MNQ JUN26,Playback101,ZigzagRunner,Long,1,23899.25,23855.75,3/23/2026 12:08:01 AM,3/23/2026 12:21:01 AM,PivotExitShort,ShortAtHighPivot,($87.00),($188.50),$0.00,$0.00,$0.00,$0.00,$0.00,$87.00,$87.00,$174.00,14,
11,MNQ JUN26,Playback101,ZigzagRunner,Short,1,23855.75,23860.75,3/23/2026 12:21:01 AM,3/23/2026 12:46:01 AM,PivotExitLong,LongAtLowPivot,($10.00),($198.50),$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,$10.00,$20.00,26,
12,MNQ JUN26,Playback101,ZigzagRunner,Long,1,23860.75,23915.75,3/23/2026 12:46:01 AM,3/23/2026 2:33:01 AM,PivotExitShort,ShortAtHighPivot,$110.00,($88.50),$0.00,$0.00,$0.00,$0.00,$0.00,$110.00,$110.00,$0.00,108,
13,MNQ JUN26,Playback101,ZigzagRunner,Short,1,23915.75,23901.25,3/23/2026 2:33:01 AM,3/23/2026 3:09:01 AM,PivotExitLong,LongAtLowPivot,$29.00,($59.50),$0.00,$0.00,$0.00,$0.00,$0.00,$29.00,$29.00,$0.00,37,
14,MNQ JUN26,Playback101,ZigzagRunner,Long,1,23901.25,23866.00,3/23/2026 3:09:01 AM,3/23/2026 3:21:01 AM,PivotExitShort,ShortAtHighPivot,($70.50),($130.00),$0.00,$0.00,$0.00,$0.00,$0.00,$70.50,$70.50,$141.00,13,
15,MNQ JUN26,Playback101,ZigzagRunner,Short,1,23866.00,23893.25,3/23/2026 3:21:01 AM,3/23/2026 3:51:01 AM,PivotExitLong,LongAtLowPivot,($54.50),($184.50),$0.00,$0.00,$0.00,$0.00,$0.00,$54.50,$54.50,$109.00,31,
16,MNQ JUN26,Playback101,ZigzagRunner,Long,1,23893.25,24630.75,3/23/2026 3:51:01 AM,3/23/2026 4:11:01 AM,PivotExitShort,ShortAtHighPivot,$1475.00,$1290.50,$0.00,$0.00,$0.00,$0.00,$0.00,$1475.00,$1475.00,$0.00,21,
17,MNQ JUN26,Playback101,ZigzagRunner,Short,1,24630.75,24662.00,3/23/2026 4:11:01 AM,3/23/2026 4:13:01 AM,PivotExitLong,LongAtLowPivot,($62.50),$1228.00,$0.00,$0.00,$0.00,$0.00,$0.00,$62.50,$62.50,$125.00,3,
