Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ JUN26,Backtest,ZigzagRunner,Short,1,26617.75,26652.00,4/19/2026 5:09:00 PM,4/19/2026 5:30:00 PM,ShortAtHighPivot,Close position,($68.50),($68.50),$0.00,$0.00,$0.00,$0.00,$0.00,$73.50,$3.00,$71.50,22,
2,MNQ JUN26,Backtest,ZigzagRunner,Long,1,26652.00,26682.00,4/19/2026 5:30:00 PM,4/19/2026 8:49:00 PM,LongAtLowPivot,Close position,$60.00,($8.50),$0.00,$0.00,$0.00,$0.00,$0.00,$24.00,$126.00,$66.00,200,
3,MNQ JUN26,Backtest,ZigzagRunner,Short,1,26682.00,26651.75,4/19/2026 8:49:00 PM,4/19/2026 11:04:00 PM,ShortAtHighPivot,Close position,$60.50,$52.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.50,$139.50,$79.00,136,
4,MNQ JUN26,Backtest,ZigzagRunner,Long,1,26651.75,26674.25,4/19/2026 11:04:00 PM,4/20/2026 12:32:00 AM,LongAtLowPivot,Close position,$45.00,$97.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.50,$139.50,$94.50,89,
5,MNQ JUN26,Backtest,ZigzagRunner,Short,1,26674.25,26651.25,4/20/2026 12:32:00 AM,4/20/2026 1:15:00 AM,ShortAtHighPivot,Close position,$46.00,$143.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.00,$111.00,$65.00,44,
6,MNQ JUN26,Backtest,ZigzagRunner,Long,1,26651.25,26695.25,4/20/2026 1:15:00 AM,4/20/2026 3:46:00 AM,LongAtLowPivot,Close position,$88.00,$231.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.50,$161.00,$73.00,152,
7,MNQ JUN26,Backtest,ZigzagRunner,Short,1,26695.25,26713.00,4/20/2026 3:46:00 AM,4/20/2026 4:47:00 AM,ShortAtHighPivot,Close position,($35.50),$195.50,$0.00,$0.00,$0.00,$0.00,$0.00,$39.50,$30.00,$65.50,62,
8,MNQ JUN26,Backtest,ZigzagRunner,Long,1,26713.00,26761.00,4/20/2026 4:47:00 AM,4/20/2026 6:33:00 AM,LongAtLowPivot,Close position,$96.00,$291.50,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$226.00,$130.00,107,
9,MNQ JUN26,Backtest,ZigzagRunner,Short,1,26761.00,26810.50,4/20/2026 6:33:00 AM,4/20/2026 6:36:00 AM,ShortAtHighPivot,Close position,($99.00),$192.50,$0.00,$0.00,$0.00,$0.00,$0.00,$109.50,$28.00,$127.00,4,
10,MNQ JUN26,Backtest,ZigzagRunner,Long,1,26810.50,26757.75,4/20/2026 6:36:00 AM,4/20/2026 6:40:00 AM,LongAtLowPivot,Close position,($105.50),$87.00,$0.00,$0.00,$0.00,$0.00,$0.00,$107.50,$12.50,$118.00,5,
