Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
1/2/2026 5:53 AM,1,$275.60,$275.60,n/a,n/a,$1.90,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$15.00,$378.50,$102.90,n/a,
1/2/2026 6:32 AM,2,$228.70,($46.90),n/a,n/a,$1.90,($46.90),($46.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$64.00,$42.50,$89.40,n/a,
1/2/2026 6:35 AM,3,$150.30,($78.40),n/a,n/a,$1.90,($125.30),($78.40),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$96.50,$43.00,$121.40,n/a,
1/2/2026 6:47 AM,4,$78.40,($71.90),n/a,n/a,$1.90,($197.20),($71.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$75.00,$49.00,$120.90,n/a,
1/2/2026 6:59 AM,5,$134.00,$55.60,n/a,n/a,$1.90,($141.60),$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$18.50,$183.50,$127.90,n/a,
1/2/2026 7:34 AM,6,$570.60,$436.60,n/a,n/a,$1.90,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$86.00,$554.00,$117.40,n/a,
1/2/2026 7:52 AM,7,$542.70,($27.90),n/a,n/a,$1.90,($27.90),($27.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$26.00,$174.50,$202.40,n/a,
1/2/2026 8:17 AM,8,$761.30,$218.60,n/a,n/a,$1.90,$0.00,$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.50,$417.50,$198.90,n/a,
1/2/2026 8:20 AM,9,$649.90,($111.40),n/a,n/a,$1.90,($111.40),($111.40),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$112.00,$0.00,$111.40,n/a,
1/2/2026 8:28 AM,10,$531.50,($118.40),n/a,n/a,$1.90,($229.80),($118.40),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$116.50,$7.00,$125.40,n/a,
1/2/2026 8:46 AM,11,$462.60,($68.90),n/a,n/a,$1.90,($298.70),($68.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$67.00,$59.00,$127.90,n/a,
1/2/2026 9:14 AM,12,$419.20,($43.40),n/a,n/a,$1.90,($342.10),($43.40),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$41.50,$109.00,$152.40,n/a,
1/2/2026 9:51 AM,13,$306.30,($112.90),n/a,n/a,$1.90,($455.00),($112.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$111.00,$20.50,$133.40,n/a,
1/2/2026 10:23 AM,14,$240.40,($65.90),n/a,n/a,$1.90,($520.90),($65.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$71.00,$39.50,$105.40,n/a,
1/2/2026 10:50 AM,15,$141.50,($98.90),n/a,n/a,$1.90,($619.80),($98.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$103.50,$0.00,$98.90,n/a,
1/2/2026 11:08 AM,16,$79.60,($61.90),n/a,n/a,$1.90,($681.70),($61.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$60.00,$88.00,$149.90,n/a,
1/2/2026 12:01 PM,17,$183.20,$103.60,n/a,n/a,$1.90,($578.10),$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.50,$223.50,$119.90,n/a,
1/2/2026 12:22 PM,18,$72.80,($110.40),n/a,n/a,$1.90,($688.50),($110.40),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$108.50,$0.00,$110.40,n/a,
1/2/2026 12:56 PM,19,($84.60),($157.40),n/a,n/a,$1.90,($845.90),($157.40),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$158.00,$2.00,$159.40,n/a,
1/4/2026 11:49 PM,20,($102.50),($17.90),n/a,n/a,$1.90,($863.80),($17.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$51.50,$84.00,$101.90,n/a,
1/5/2026 12:15 AM,21,($232.40),($129.90),n/a,n/a,$1.90,($993.70),($129.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$128.00,$0.00,$129.90,n/a,
1/5/2026 1:35 AM,22,($266.30),($33.90),n/a,n/a,$1.90,($1027.60),($33.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$47.50,$61.00,$94.90,n/a,
1/5/2026 2:23 AM,23,($352.20),($85.90),n/a,n/a,$1.90,($1113.50),($85.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$85.50,$0.00,$85.90,n/a,
1/5/2026 5:24 AM,24,($394.10),($41.90),n/a,n/a,$1.90,($1155.40),($41.90),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$40.00,$70.00,$111.90,n/a,
1/5/2026 5:58 AM,25,($506.50),($112.40),n/a,n/a,$1.90,($1267.80),($112.40),n/a,n/a,n/a,n/a,n/a,n/a,n/a,$110.50,$12.00,$124.40,n/a,
1/5/2026 6:34 AM,26,($467.90),$38.60,n/a,n/a,$1.90,($1229.20),$0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,$0.50,$169.50,$130.90,n/a,
