day,trades,pnl,wr,chained
2025_01_01,53,-68.5,26.41509433962264,1
2025_01_02,296,1010.0,27.7027027027027,3
2025_01_03,164,935.5,43.292682926829265,14
2025_01_05,50,15.0,32.0,0
2025_01_06,191,1216.5,42.93193717277487,17
2025_01_07,232,359.5,37.5,26
2025_01_08,228,-64.5,32.89473684210527,13
2025_01_09,191,-18.0,28.272251308900525,8
2025_01_10,165,1010.5,39.39393939393939,20
2025_01_12,62,-82.5,14.516129032258066,1
2025_01_13,196,306.5,32.6530612244898,18
2025_01_14,143,946.0,33.56643356643357,15
2025_01_15,184,915.5,30.978260869565215,17
2025_01_16,253,643.0,40.316205533596836,11
2025_01_17,145,951.5,40.689655172413794,11
2025_01_19,90,99.5,28.888888888888886,1
2025_01_20,176,650.5,36.93181818181818,7
2025_01_21,223,808.0,38.11659192825112,8
2025_01_22,263,740.0,41.06463878326996,13
2025_01_23,249,152.0,31.32530120481928,9
2025_01_24,156,50.0,32.69230769230769,12
2025_01_26,80,-128.0,13.750000000000002,0
2025_01_27,225,3239.0,42.66666666666667,21
2025_01_28,163,808.0,38.65030674846626,15
2025_01_29,250,412.5,38.0,20
2025_01_30,333,346.0,32.432432432432435,19
2025_01_31,195,-176.5,33.84615384615385,18
2025_02_02,77,190.5,22.07792207792208,0
2025_02_03,208,663.0,34.13461538461539,33
2025_02_04,301,-252.5,35.548172757475086,18
2025_02_05,185,743.0,43.24324324324324,8
2025_02_06,174,477.0,39.6551724137931,15
2025_02_07,198,234.5,33.83838383838384,22
2025_02_09,41,104.5,41.46341463414634,10
2025_02_10,124,280.0,42.74193548387097,9
2025_02_11,249,575.5,41.365461847389554,13
2025_02_12,243,650.0,36.21399176954733,14
2025_02_13,265,54.0,32.83018867924528,20
2025_02_14,160,258.0,43.75,10
2025_02_16,48,-40.5,27.083333333333332,0
2025_02_17,184,282.0,40.76086956521739,7
2025_02_18,238,-87.0,38.23529411764706,15
2025_02_19,251,297.0,43.02788844621514,26
2025_02_20,252,-465.0,33.730158730158735,21
2025_02_21,142,671.0,40.140845070422536,13
2025_02_23,46,140.5,36.95652173913043,5
2025_02_24,286,197.0,31.46853146853147,34
2025_02_25,256,44.0,37.890625,14
2025_02_26,254,-31.0,34.645669291338585,21
