day,trades,pnl,wr,chained
2026_01_01,0,0.0,0.0,0
2026_01_02,11,-75.0,18.181818181818183,8
2026_01_04,1,9.5,100.0,1
2026_01_05,15,25.0,46.666666666666664,11
2026_01_06,12,-58.0,25.0,8
2026_01_07,17,110.0,64.70588235294117,15
2026_01_08,22,-85.5,27.27272727272727,14
2026_01_09,22,-100.5,31.818181818181817,13
2026_01_11,0,0.0,0.0,0
2026_01_12,9,117.5,66.66666666666666,8
2026_01_13,16,150.0,43.75,13
2026_01_14,9,-66.0,66.66666666666666,9
2026_01_15,16,-51.0,18.75,8
2026_01_16,13,27.0,30.76923076923077,11
2026_01_18,0,0.0,0.0,0
2026_01_19,18,93.0,33.33333333333333,12
2026_01_20,15,202.5,53.333333333333336,11
2026_01_21,19,296.5,42.10526315789473,12
2026_01_22,16,-97.0,43.75,12
2026_01_23,15,-50.5,20.0,11
2026_01_25,0,0.0,0.0,0
2026_01_26,18,101.0,44.44444444444444,10
2026_01_27,14,215.0,50.0,11
2026_01_28,19,-154.0,26.31578947368421,12
2026_01_29,12,432.5,50.0,7
2026_01_30,13,-292.0,15.384615384615385,5
2026_02_01,0,0.0,0.0,0
2026_02_02,13,285.5,30.76923076923077,9
2026_02_03,23,335.5,52.17391304347826,13
2026_02_04,13,210.5,53.84615384615385,9
2026_02_05,17,-115.0,17.647058823529413,11
2026_02_06,14,53.0,28.57142857142857,10
2026_02_08,1,3.5,100.0,1
2026_02_09,16,-235.0,18.75,12
