trade_id,side,qty,entry_dt,exit_dt,entry_px,exit_px,entry_name,exit_name,pnl_usd,commission
1,Long,1,2026-03-20 07:18:59+00:00,2026-03-20 08:28:59+00:00,24543.25,24577.0,LongAtLowPivot,PivotExitLong,65.6,1.9
2,Short,1,2026-03-20 08:28:59+00:00,2026-03-20 08:35:59+00:00,24577.0,24598.25,ShortAtHighPivot,PivotExitShort,-44.4,1.9
3,Long,1,2026-03-20 08:35:59+00:00,2026-03-20 08:43:59+00:00,24598.25,24567.5,LongAtLowPivot,PivotExitLong,-63.4,1.9
4,Short,1,2026-03-20 08:43:59+00:00,2026-03-20 09:10:59+00:00,24567.5,24582.75,ShortAtHighPivot,PivotExitShort,-32.4,1.9
5,Long,1,2026-03-20 09:10:59+00:00,2026-03-20 09:15:59+00:00,24582.75,24543.25,LongAtLowPivot,PivotExitLong,-80.9,1.9
6,Short,1,2026-03-20 09:15:59+00:00,2026-03-20 10:16:59+00:00,24543.25,24357.5,ShortAtHighPivot,PivotExitShort,369.6,1.9
7,Long,1,2026-03-20 10:16:59+00:00,2026-03-20 11:38:59+00:00,24357.5,24437.25,LongAtLowPivot,PivotExitLong,157.6,1.9
8,Short,1,2026-03-20 11:38:59+00:00,2026-03-20 11:58:59+00:00,24437.25,24443.75,ShortAtHighPivot,PivotExitShort,-14.9,1.9
9,Long,1,2026-03-20 11:58:59+00:00,2026-03-20 12:17:59+00:00,24443.75,24449.25,LongAtLowPivot,PivotExitLong,9.1,1.9
10,Short,1,2026-03-20 12:17:59+00:00,2026-03-20 12:29:59+00:00,24449.25,24490.0,ShortAtHighPivot,PivotExitShort,-83.4,1.9
11,Long,1,2026-03-20 12:29:59+00:00,2026-03-20 12:40:59+00:00,24490.0,24457.0,LongAtLowPivot,PivotExitLong,-67.9,1.9
12,Short,1,2026-03-20 12:40:59+00:00,2026-03-20 12:47:59+00:00,24457.0,24477.75,ShortAtHighPivot,PivotExitShort,-43.4,1.9
13,Long,1,2026-03-20 12:47:59+00:00,2026-03-20 13:07:59+00:00,24477.75,24471.75,LongAtLowPivot,PivotExitLong,-13.9,1.9
14,Short,1,2026-03-20 13:07:59+00:00,2026-03-20 13:22:59+00:00,24471.75,24491.75,ShortAtHighPivot,PivotExitShort,-41.9,1.9
15,Long,1,2026-03-20 13:22:59+00:00,2026-03-20 13:30:59+00:00,24491.75,24487.75,LongAtLowPivot,PivotExitLong,-9.9,1.9
16,Short,1,2026-03-20 13:30:59+00:00,2026-03-20 13:42:59+00:00,24487.75,24431.75,ShortAtHighPivot,PivotExitShort,110.1,1.9
17,Long,1,2026-03-20 13:42:59+00:00,2026-03-20 13:47:59+00:00,24431.75,24413.0,LongAtLowPivot,PivotExitLong,-39.4,1.9
18,Short,1,2026-03-20 13:47:59+00:00,2026-03-20 14:06:59+00:00,24413.0,24318.0,ShortAtHighPivot,PivotExitShort,188.1,1.9
19,Long,1,2026-03-20 14:06:59+00:00,2026-03-20 14:09:59+00:00,24318.0,24270.0,LongAtLowPivot,PivotExitLong,-97.9,1.9
20,Short,1,2026-03-20 14:09:59+00:00,2026-03-20 14:17:59+00:00,24270.0,24286.25,ShortAtHighPivot,PivotExitShort,-34.4,1.9
21,Long,1,2026-03-20 14:17:59+00:00,2026-03-20 14:22:59+00:00,24286.25,24260.75,LongAtLowPivot,PivotExitLong,-52.9,1.9
22,Short,1,2026-03-20 14:22:59+00:00,2026-03-20 14:31:59+00:00,24260.75,24296.0,ShortAtHighPivot,PivotExitShort,-72.4,1.9
23,Long,1,2026-03-20 14:31:59+00:00,2026-03-20 14:38:59+00:00,24296.0,24281.75,LongAtLowPivot,PivotExitLong,-30.4,1.9
24,Short,1,2026-03-20 14:38:59+00:00,2026-03-20 14:56:59+00:00,24281.75,24285.75,ShortAtHighPivot,PivotExitShort,-9.9,1.9
25,Long,1,2026-03-20 14:56:59+00:00,2026-03-20 15:03:59+00:00,24285.75,24268.5,LongAtLowPivot,PivotExitLong,-36.4,1.9
26,Short,1,2026-03-20 15:03:59+00:00,2026-03-20 15:12:59+00:00,24268.5,24289.0,ShortAtHighPivot,PivotExitShort,-42.9,1.9
27,Long,1,2026-03-20 15:12:59+00:00,2026-03-20 15:17:59+00:00,24289.0,24272.75,LongAtLowPivot,PivotExitLong,-34.4,1.9
28,Short,1,2026-03-20 15:17:59+00:00,2026-03-20 15:24:59+00:00,24272.75,24326.0,ShortAtHighPivot,PivotExitShort,-108.4,1.9
29,Long,1,2026-03-20 15:24:59+00:00,2026-03-20 15:25:59+00:00,24326.0,24273.5,LongAtLowPivot,PivotExitLong,-106.9,1.9
30,Short,1,2026-03-20 15:25:59+00:00,2026-03-20 15:34:59+00:00,24273.5,24294.25,ShortAtHighPivot,PivotExitShort,-43.4,1.9
31,Long,1,2026-03-20 15:34:59+00:00,2026-03-20 16:09:59+00:00,24294.25,24314.5,LongAtLowPivot,PivotExitLong,38.6,1.9
32,Short,1,2026-03-20 16:09:59+00:00,2026-03-20 16:20:59+00:00,24314.5,24349.0,ShortAtHighPivot,PivotExitShort,-70.9,1.9
33,Long,1,2026-03-20 16:20:59+00:00,2026-03-20 16:27:59+00:00,24349.0,24306.0,LongAtLowPivot,PivotExitLong,-87.9,1.9
34,Short,1,2026-03-20 16:27:59+00:00,2026-03-20 16:56:59+00:00,24306.0,24280.75,ShortAtHighPivot,PivotExitShort,48.6,1.9
35,Long,1,2026-03-20 16:56:59+00:00,2026-03-20 17:06:59+00:00,24280.75,24231.5,LongAtLowPivot,PivotExitLong,-100.4,1.9
36,Short,1,2026-03-20 17:06:59+00:00,2026-03-20 17:07:59+00:00,24231.5,24261.75,ShortAtHighPivot,PivotExitShort,-62.4,1.9
37,Long,1,2026-03-20 17:07:59+00:00,2026-03-20 17:17:59+00:00,24261.75,24240.5,LongAtLowPivot,PivotExitLong,-44.4,1.9
38,Short,1,2026-03-20 17:17:59+00:00,2026-03-20 17:55:59+00:00,24240.5,24204.5,ShortAtHighPivot,PivotExitShort,70.1,1.9
39,Long,1,2026-03-20 17:55:59+00:00,2026-03-20 18:11:59+00:00,24204.5,24180.75,LongAtLowPivot,PivotExitLong,-49.4,1.9
40,Short,1,2026-03-20 18:11:59+00:00,2026-03-20 19:02:59+00:00,24180.75,24113.5,ShortAtHighPivot,PivotExitShort,132.6,1.9
41,Long,1,2026-03-20 19:02:59+00:00,2026-03-20 19:08:59+00:00,24113.5,24083.25,LongAtLowPivot,PivotExitLong,-62.4,1.9
42,Short,1,2026-03-20 19:08:59+00:00,2026-03-20 19:42:59+00:00,24083.25,24030.5,ShortAtHighPivot,PivotExitShort,103.6,1.9
43,Long,1,2026-03-20 19:42:59+00:00,2026-03-20 20:55:59+00:00,24030.5,24204.75,LongAtLowPivot,EodExitLong,346.6,1.9
44,Short,1,2026-03-23 00:00:59+00:00,2026-03-23 00:07:59+00:00,24006.75,24011.0,ShortAtHighPivot,PivotExitShort,-10.4,1.9
