**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

trade_id,side,entry_dt,exit_dt,entry_px,exit_px,exit_name,pnl_usd,pnl_usd_gross,bars,mfe_usd,day,ym
1,Short,2025-01-02 00:11:00+00:00,2025-01-02 00:19:00+00:00,21217.75,21145.75,TrailExitShort,142.1,144.0,8,159.5,2025-01-02,2025-01
2,Long,2025-01-02 00:39:00+00:00,2025-01-02 00:48:00+00:00,21186.25,21231.5,TrailExitLong,88.6,90.5,9,100.0,2025-01-02,2025-01
3,Short,2025-01-02 08:26:00+00:00,2025-01-02 08:36:00+00:00,21366.75,21337.5,TrailExitShort,56.6,58.5,10,69.0,2025-01-02,2025-01
4,Long,2025-01-02 08:57:00+00:00,2025-01-02 09:19:00+00:00,21379.5,21398.5,TrailExitLong,36.1,38.0,22,47.0,2025-01-02,2025-01
5,Short,2025-01-02 12:50:00+00:00,2025-01-02 12:53:00+00:00,21441.5,21424.5,TrailExitShort,32.1,34.0,3,47.5,2025-01-02,2025-01
6,Long,2025-01-02 13:44:00+00:00,2025-01-02 13:59:00+00:00,21456.5,21413.5,PivotExitLong,-87.9,-86.0,15,8.0,2025-01-02,2025-01
7,Short,2025-01-02 13:59:00+00:00,2025-01-02 14:05:00+00:00,21413.5,21365.5,TrailExitShort,94.1,96.0,6,124.5,2025-01-02,2025-01
8,Long,2025-01-02 14:46:00+00:00,2025-01-02 14:51:00+00:00,21222.75,21290.0,TrailExitLong,132.6,134.5,5,161.0,2025-01-02,2025-01
9,Short,2025-01-02 15:18:00+00:00,2025-01-02 15:26:00+00:00,21390.0,21296.0,TrailExitShort,186.1,188.0,8,241.0,2025-01-02,2025-01
10,Long,2025-01-02 15:49:00+00:00,2025-01-02 15:53:00+00:00,21274.25,21305.25,TrailExitLong,60.1,62.0,4,75.5,2025-01-02,2025-01
11,Short,2025-01-02 16:03:00+00:00,2025-01-02 16:06:00+00:00,21240.25,21211.0,TrailExitShort,56.6,58.5,3,74.5,2025-01-02,2025-01
12,Long,2025-01-02 16:15:00+00:00,2025-01-02 16:21:00+00:00,21250.0,21244.75,TrailExitLong,-12.4,-10.5,6,42.0,2025-01-02,2025-01
13,Short,2025-01-02 16:55:00+00:00,2025-01-02 17:14:00+00:00,21306.0,21339.75,PivotExitShort,-69.4,-67.5,19,32.5,2025-01-02,2025-01
14,Long,2025-01-02 17:14:00+00:00,2025-01-02 17:19:00+00:00,21339.75,21292.75,PivotExitLong,-95.9,-94.0,5,0.0,2025-01-02,2025-01
15,Short,2025-01-02 17:19:00+00:00,2025-01-02 17:22:00+00:00,21292.75,21282.0,TrailExitShort,19.6,21.5,3,54.0,2025-01-02,2025-01
