day,confirm_ts,kind,direction,ext_price,alignment,dir_energy,sum_abs_z,entry_p,exit_p,mfe_pts,mae_pts,leg_pts,etd_pts,capture_pct,leg_minutes,15s_z_se,1m_z_se,5m_z_se,15m_z_se,1h_z_se,1D_z_se
2025_01_01,1735772640,low,1,21263.0,0,0.0,0.0,21316.5,21278.25,3.5,45.0,-38.25,41.75,-1092.857142857143,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2025_01_02,1735776300,high,-1,21258.0,0,0.0,4.762418031692505,21230.5,21170.75,109.5,8.75,59.75,49.75,54.5662100456621,29.0,-2.263291835784912,-2.4991261959075928,0.0,0.0,0.0,0.0
2025_01_02,1735778040,low,1,21138.0,0,0.0,2.1410402059555054,21170.75,21299.0,168.75,9.25,128.25,40.5,76.0,193.0,0.7635380029678345,1.377502202987671,0.0,0.0,0.0,0.0
2025_01_02,1735789620,high,-1,21335.25,0,0.0,5.832578063011169,21299.0,21320.25,11.5,23.0,-21.25,32.75,-184.7826086956522,50.0,-1.5934714078903198,-2.1397571563720703,-2.0993494987487793,0.0,0.0,0.0
2025_01_02,1735792620,low,1,21291.5,0,0.6558496356010437,4.567693531513214,21320.25,21367.0,78.25,3.0,46.75,31.5,59.7444089456869,177.0,1.100609540939331,1.2242149114608765,1.587019443511963,-0.6558496356010437,0.0,0.0
2025_01_02,1735803240,high,-1,21395.25,0,0.31947600841522217,3.1351213697344065,21367.0,21385.25,21.25,35.0,-18.25,39.5,-85.88235294117646,29.0,0.31947600841522217,-2.0138959884643555,-0.7751296162605286,-0.02661975659430027,0.0,0.0
2025_01_02,1735804980,low,1,21350.5,1,2.477525234222412,5.901608824729919,21385.25,21383.5,39.25,4.25,-1.75,41.0,-4.45859872611465,21.0,0.7743169069290161,2.649766683578491,-0.775501012802124,-1.702024221420288,0.0,0.0
2025_01_02,1735806240,high,-1,21418.75,0,2.738440155982971,6.999671578407288,21383.5,21356.25,65.5,5.25,27.25,38.25,41.603053435114504,19.0,-2.0712027549743652,-2.190028667449951,1.2959203720092773,1.4425197839736938,0.0,0.0
2025_01_02,1735807380,low,1,21332.25,1,3.5469274520874023,7.164161562919617,21356.25,21370.75,49.5,20.25,14.5,35.0,29.292929292929294,56.0,1.3664385080337524,2.250795602798462,-1.2960515022277832,-2.250875949859619,0.0,0.0
2025_01_02,1735810740,high,-1,21403.0,0,0.39619332551956177,3.845628559589386,21370.75,21407.0,9.0,40.75,-36.25,45.25,-402.77777777777777,21.0,-1.4743688106536865,-1.9750664234161377,0.2929432690143585,0.10325005650520325,0.0,0.0
2025_01_02,1735812000,low,1,21370.25,0,0.0,2.849119335412979,21407.0,21365.25,4.5,47.5,-41.75,46.25,-927.7777777777778,13.0,1.30623459815979,0.7980602979660034,0.27037307620048523,0.47445136308670044,0.0,0.0
2025_01_02,1735812780,high,-1,21407.0,0,0.47445136308670044,4.261703431606293,21365.25,21398.5,5.75,35.5,-33.25,39.0,-578.2608695652174,22.0,-1.2538087368011475,-1.578644037246704,-0.9547992944717407,0.47445136308670044,0.0,0.0
2025_01_02,1735814100,low,1,21365.25,0,0.11312507092952728,2.583682104945183,21398.5,21376.5,5.5,32.5,-22.0,27.5,-400.0,18.0,0.9482768774032593,1.1988186836242676,0.32346147298812866,-0.11312507092952728,0.0,0.0
2025_01_02,1735815180,high,-1,21401.75,0,1.1288038790225983,4.962129145860672,21376.5,21404.5,8.0,30.75,-28.0,36.0,-350.0,24.0,-1.0812116861343384,-2.7521135807037354,0.6986569762229919,0.4301469027996063,0.0,0.0
2025_01_02,1735816620,low,1,21371.25,0,0.0,2.0589308589696884,21404.5,21448.0,86.25,18.5,43.5,42.75,50.43478260869565,86.0,0.3240916132926941,1.147187352180481,0.4227801263332367,0.16487176716327667,0.0,0.0
2025_01_02,1735821780,high,-1,21487.25,0,1.4329408407211304,6.452064037322998,21448.0,21436.25,44.75,6.5,11.75,33.0,26.256983240223462,52.0,-1.344382643699646,-2.539367914199829,-1.1353726387023926,1.4329408407211304,0.0,0.0
2025_01_02,1735824900,low,1,21411.0,1,1.7668931484222412,4.8405696749687195,21436.25,21419.25,30.5,21.75,-17.0,47.5,-55.73770491803279,16.0,0.10576838254928589,1.970075249671936,0.9978328943252563,-1.7668931484222412,0.0,0.0
2025_01_02,1735825860,high,-1,21460.5,0,0.9260045289993286,5.623887673020363,21419.25,21376.25,84.5,13.0,43.0,41.5,50.887573964497044,25.0,-2.183797836303711,-2.417724847793579,0.9260045289993286,-0.0963604599237442,0.0,0.0
2025_01_02,1735827360,low,1,21351.25,1,3.3197649717330933,5.973207116127014,21376.25,21363.5,13.75,24.0,-12.75,26.5,-92.72727272727273,7.0,0.8802562952041626,1.7731858491897583,-1.0552042722702026,-2.2645606994628906,0.0,0.0
2025_01_02,1735827780,high,-1,21390.0,0,0.4707924425601959,5.056484252214432,21363.5,21196.0,197.0,9.5,167.5,29.5,85.0253807106599,20.0,0.4707924425601959,-1.0966558456420898,-1.2244752645492554,-2.2645606994628906,0.0,0.0
2025_01_02,1735828980,low,1,21176.75,2,5.227095127105713,7.801338315010071,21196.0,21394.25,248.0,6.0,198.25,49.75,79.93951612903226,35.0,1.5774202346801758,0.9968229532241821,-3.003751516342163,-2.22334361076355,0.0,0.0
2025_01_02,1735831080,high,-1,21437.75,0,1.8983216881752014,6.944683611392975,21394.25,21299.0,139.25,11.25,95.25,44.0,68.40215439856374,9.0,-2.273715019226074,-2.772646903991699,1.3341461420059204,0.564175546169281,0.0,0.0
2025_01_02,1735831620,low,1,21269.5,0,0.6935561895370483,2.57707878947258,21299.0,21288.0,14.75,33.5,-11.0,25.75,-74.57627118644068,2.0,0.8504931330680847,0.4688539206981659,-0.6935561895370483,0.564175546169281,0.0,0.0
2025_01_02,1735831740,high,-1,21302.0,0,0.8129377365112305,3.207736849784851,21288.0,21263.5,63.0,11.25,24.5,38.5,38.888888888888886,4.0,-1.7012429237365723,0.24876219034194946,-0.6935561895370483,0.564175546169281,0.0,0.0
2025_01_02,1735831980,low,1,21234.25,0,1.722072422504425,4.824695646762848,21263.5,21231.75,35.5,54.25,-31.75,67.25,-89.43661971830986,9.0,1.7293871641159058,1.373236060142517,-0.4248160719871521,-1.297256350517273,0.0,0.0
2025_01_02,1735832520,high,-1,21273.75,0,0.0,4.797353088855743,21231.75,21294.0,22.5,67.75,-62.25,84.75,-276.6666666666667,7.0,-1.5220794677734375,-1.2844116687774658,-0.6936056017875671,-1.297256350517273,0.0,0.0
2025_01_02,1735832940,low,1,21221.25,0,2.258773922920227,6.889295935630798,21294.0,21316.0,36.75,40.25,22.0,14.75,59.863945578231295,5.0,2.276730537414551,2.3537914752960205,-0.7631219625473022,-1.4956519603729248,0.0,0.0
2025_01_02,1735833240,high,-1,21312.0,0,0.17732693254947662,2.7429728657007217,21316.0,21298.0,39.25,4.0,18.0,21.25,45.859872611464965,1.0,-1.0699939727783203,0.16696439683437347,0.01036253571510315,-1.4956519603729248,0.0,0.0
2025_01_02,1735833300,low,1,21281.0,0,1.4956519603729248,3.6911226212978363,21298.0,21277.5,22.0,38.0,-20.5,42.5,-93.18181818181819,4.0,0.7638623118400574,1.1648504734039307,0.26675787568092346,-1.4956519603729248,0.0,0.0
2025_01_02,1735833540,high,-1,21316.0,0,0.26675787568092346,4.190308481454849,21277.5,21223.25,91.5,12.0,54.25,37.25,59.2896174863388,13.0,-1.3130232095718384,-1.1148754358291626,0.26675787568092346,-1.4956519603729248,0.0,0.0
2025_01_02,1735834320,low,1,21203.0,0,1.158689022064209,5.617075681686401,21223.25,21232.5,53.75,5.25,9.25,44.5,17.209302325581394,10.0,2.515397787094116,1.9429888725280762,-0.575309693813324,-0.583379328250885,0.0,0.0
2025_01_02,1735834920,high,-1,21271.0,0,0.1818690299987793,2.553622305393219,21232.5,21289.0,7.25,69.0,-56.5,63.75,-779.3103448275862,2.0,-1.2725886106491089,-0.43346601724624634,0.1818690299987793,-0.6656986474990845,0.0,0.0
2025_01_02,1735835040,low,1,21232.5,0,0.6656986474990845,3.8278867602348328,21289.0,21312.25,68.0,25.25,23.25,44.75,34.19117647058823,31.0,2.4358022212982178,0.5445168614387512,0.1818690299987793,-0.6656986474990845,0.0,0.0
2025_01_02,1735836900,high,-1,21355.5,0,1.2566669583320618,3.8517646193504333,21312.25,21324.0,21.75,24.75,-11.75,33.5,-54.02298850574713,10.0,-0.6067988872528076,-1.988298773765564,0.5237848162651062,0.7328821420669556,0.0,0.0
2025_01_02,1735837500,low,1,21304.25,0,0.0,4.920420289039612,21324.0,21293.25,11.75,44.75,-30.75,42.5,-261.70212765957444,3.0,1.9434109926223755,1.0275739431381226,0.7297911643981934,1.2196441888809204,0.0,0.0
