trade_id,day,time,dir,pnl,exit,held,peak,strategy,strategy_id,half_life,equity_after,nn_p_profit,nn_expected_pnl,nn_confidence,nn_dir_conf,nn_dur_conf,entry_z_1m,entry_dmi_1m,entry_vr_1m,exit_z_1m,exit_dmi_1m,exit_vr_1m
0,2026_01_06,00:03,short,-8.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,492.0,0.9400877356529236,14.852433204650879,0.3006049061809733,0.49712660908699036,0.18177121877670288,1.7556489,-0.6873896,0.22117828,1.1653918,7.860259,0.4194872
1,2026_01_06,00:07,short,16.0,max_hold,3,16.5,short_1,"('short', 1)",1.0,508.0,0.9432931542396545,15.835482597351074,0.3177956569437668,0.5555179119110107,0.1818016618490219,1.5434252,10.753536,0.44463754,-1.0565201,1.7544917,0.48541892
2,2026_01_06,00:11,short,9.5,max_hold,3,11.5,short_1,"('short', 1)",1.0,517.5,0.9319868683815002,13.650491714477539,0.29709245097873627,0.48581552505493164,0.18168197572231293,-1.0891225,0.29487184,0.4368362,-1.4948188,-6.969501,0.6263789
3,2026_01_06,00:15,long,-7.0,max_hold,3,0.0,long_1,"('long', 1)",1.0,510.5,0.9523698687553406,17.1525821685791,0.3198467455223159,0.5707084536552429,0.17925429344177246,-1.759991,-13.137381,0.7410523,-0.95073605,-15.449699,0.7134269
4,2026_01_06,00:19,long,3.0,max_hold,3,6.0,long_1,"('long', 1)",1.0,513.5,0.9401035904884338,14.881317138671875,0.3165565533323404,0.5537384152412415,0.18096640706062317,-0.32294047,-13.096077,0.5322391,0.74842817,-8.606066,0.29624122
5,2026_01_06,00:23,long,16.5,max_hold,3,17.0,long_1,"('long', 1)",1.0,530.0,0.9382813572883606,14.586207389831543,0.3073827103525338,0.5210490226745605,0.18133443593978882,1.4906011,-5.059684,0.29586893,1.7861391,7.4178414,0.6553041
6,2026_01_06,00:27,short,1.0,max_hold,3,4.0,short_1,"('short', 1)",1.0,531.0,0.9415938854217529,15.490943908691406,0.3063377480148828,0.5176249742507935,0.1812949925661087,1.093178,3.9296854,0.6531382,0.28892827,0.16189009,0.6011646
7,2026_01_06,00:31,short,-2.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,528.5,0.9489023685455322,16.366411209106445,0.30529866912447284,0.516728401184082,0.18037962913513184,0.24601547,3.7536786,0.5388923,-0.63074225,6.33213,0.3048714
8,2026_01_06,00:35,short,4.0,max_hold,3,4.5,short_1,"('short', 1)",1.0,532.5,0.9133983594179155,14.327900424003602,0.3017372467964854,0.5026468634605408,0.18113186955451965,-2.1304111,0.41773576,0.3782708,-1.7987429,-3.762371,0.50492924
9,2026_01_06,00:39,long,-5.0,max_hold,3,0.0,long_1,"('long', 1)",1.0,527.5,0.9476425647735596,16.614423751831055,0.31544004138956483,0.5541362166404724,0.17956310510635376,-2.2199435,-16.047392,0.7347763,-1.0889845,-12.992442,0.9803679
10,2026_01_06,00:43,long,-0.5,max_hold,3,0.0,long_1,"('long', 1)",1.0,527.0,0.9540311694145203,17.229755401611328,0.31902273513458507,0.5675960779190063,0.17930974066257477,-0.45163754,-11.992847,0.9064758,0.771074,-15.9234495,0.5223462
11,2026_01_06,00:47,long,3.5,max_hold,3,7.0,long_1,"('long', 1)",1.0,530.5,0.9049221801757813,14.625528221130372,0.3173862962922195,0.5589449405670166,0.1802217960357666,1.2733539,-12.92629,0.37520778,1.2777362,-3.8777735,0.4307908
12,2026_01_06,00:51,long,-5.5,max_hold,3,0.0,long_1,"('long', 1)",1.0,525.0,0.8895338362455368,12.332240467071534,0.3098450374689087,0.5283405184745789,0.1817084699869156,1.247618,-3.7396789,0.45298317,0.27866763,-8.508155,0.39966896
13,2026_01_06,00:55,long,5.0,max_hold,3,10.5,long_1,"('long', 1)",1.0,530.0,0.8814245858788491,12.584442524909973,0.3139174382972876,0.5438148379325867,0.1812090277671814,0.43183437,-7.6196527,0.26979053,0.2925038,1.9249836,0.31218794
14,2026_01_06,00:59,long,5.5,max_hold,3,9.0,long_1,"('long', 1)",1.0,535.5,0.8832357740402221,12.743835144042968,0.30995090104012596,0.5302550792694092,0.18117612600326538,-1.1046486,-2.9134479,0.30721113,-0.23793848,-1.6354651,0.3834005
15,2026_01_06,01:03,long,20.5,max_hold,3,21.5,long_1,"('long', 1)",1.0,556.0,0.8795254871249198,12.074649085998535,0.2985126720688769,0.49008163809776306,0.18182647228240967,-1.713893,-11.374994,0.36570913,1.3460615,1.742802,0.67971116
16,2026_01_06,01:07,short,-3.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,553.0,0.9267624574899673,16.21333791732788,0.32152352168831033,0.5723522901535034,0.18061843514442444,-0.0036664982,-2.1161406,0.7220743,-0.64032906,-0.85208637,0.7365002
17,2026_01_06,01:11,short,-2.5,envelope_decay,3,5.5,short_1,"('short', 1)",1.0,550.5,0.8955030310153962,12.578233709335327,0.3067080152615922,0.5180533528327942,0.1815832406282425,-0.6507113,-3.5222442,0.7154325,-0.28067756,0.3055848,0.36757094
18,2026_01_06,01:15,short,14.0,max_hold,3,14.5,short_1,"('short', 1)",1.0,564.5,0.9203949308395385,22.15869827270508,0.3342866017300049,0.629913866519928,0.17740128934383392,1.0628028,7.7416,0.48035818,-1.6727237,1.3046087,0.6743108
19,2026_01_06,01:19,short,-24.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,540.5,0.8955334267020225,14.50899115562439,0.32010511928378793,0.5674268007278442,0.18058238923549652,-0.7463372,0.53976876,0.6675566,1.5420437,17.363415,0.82068145
20,2026_01_06,01:23,short,-4.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,536.5,0.8929885923862456,16.553054218292235,0.3258762400649966,0.59095698595047,0.1797005981206894,1.129861,16.550196,0.78022444,0.28694412,18.226885,0.8550211
21,2026_01_06,01:27,short,-3.0,max_hold,3,0.0,short_1,"('short', 1)",1.0,533.5,0.8994597351551055,26.009694128036497,0.3336318518877859,0.6358802318572998,0.17504902184009552,1.2494262,22.742437,0.85537267,-0.21849751,23.908396,0.50381726
22,2026_01_06,01:31,short,2.0,max_hold,3,6.0,short_1,"('short', 1)",1.0,535.5,0.8794519209861755,21.94798049926758,0.33021646547814953,0.616817057132721,0.1767832338809967,0.45797327,25.85063,0.4815739,-0.7745435,23.798878,0.35698023
