entry_bar,exit_bar,entry_price,exit_price,direction,pnl_ticks,pnl_dollars,mae_ticks,mfe_ticks,hold_bars,template_id,timestamp
0,120,25518.25,25434.0,SHORT,337.0,168.5,76.0,578.0,120,184,1769986800.0
120,240,25434.0,25531.25,SHORT,-389.0,-194.5,551.0,62.0,120,184,1769988600.0
240,360,25531.25,25607.5,SHORT,-305.0,-152.5,412.0,177.0,120,184,1769990400.0
360,480,25607.5,25604.25,SHORT,13.0,6.5,153.0,66.0,120,184,1769992200.0
480,600,25604.25,25509.0,SHORT,381.0,190.5,131.0,509.0,120,184,1769994000.0
600,720,25509.0,25404.25,SHORT,419.0,209.5,89.0,436.0,120,184,1769995800.0
720,840,25404.25,25429.5,SHORT,-101.0,-50.5,182.0,72.0,120,184,1769997600.0
840,960,25429.5,25367.0,SHORT,250.0,125.0,77.0,289.0,120,184,1769999400.0
960,1080,25367.0,25328.0,SHORT,156.0,78.0,79.0,208.0,120,184,1770001200.0
1080,1200,25328.0,25280.5,SHORT,190.0,95.0,62.0,261.0,120,184,1770003000.0
1200,1320,25280.5,25316.25,SHORT,-143.0,-71.5,207.0,257.0,120,184,1770004800.0
1320,1440,25316.25,25342.25,SHORT,-104.0,-52.0,239.0,36.0,120,184,1770006600.0
1440,1560,25342.25,25267.0,SHORT,301.0,150.5,25.0,305.0,120,184,1770008400.0
1560,1680,25267.0,25253.5,SHORT,54.0,27.0,63.0,125.0,120,184,1770010200.0
1680,1800,25253.5,25239.25,SHORT,57.0,28.5,82.0,271.0,120,184,1770012000.0
1800,1920,25239.25,25246.25,SHORT,-28.0,-14.0,71.0,236.0,120,184,1770013800.0
1920,2040,25246.25,25300.75,SHORT,-218.0,-109.0,243.0,53.0,120,184,1770015600.0
2040,2160,25300.75,25349.0,SHORT,-193.0,-96.5,217.0,98.0,120,184,1770017400.0
2160,2280,25349.0,25388.5,SHORT,-158.0,-79.0,215.0,34.0,120,184,1770019200.0
2280,2400,25388.5,25405.25,SHORT,-67.0,-33.5,150.0,35.0,120,184,1770021000.0
2400,2520,25405.25,25439.0,SHORT,-135.0,-67.5,213.0,198.0,120,184,1770022800.0
2520,2640,25439.0,25452.25,SHORT,-53.0,-26.5,96.0,26.0,120,184,1770024600.0
2640,2760,25452.25,25448.25,SHORT,16.0,8.0,85.0,68.0,120,184,1770026400.0
2760,2880,25448.25,25408.0,SHORT,161.0,80.5,17.0,228.0,120,184,1770028215.0
2880,3000,25408.0,25458.0,SHORT,-200.0,-100.0,210.0,28.0,120,184,1770030015.0
3000,3120,25458.0,25458.25,SHORT,-1.0,-0.5,133.0,72.0,120,184,1770031830.0
3120,3240,25458.25,25507.75,SHORT,-198.0,-99.0,229.0,24.0,120,184,1770033630.0
3240,3360,25507.75,25479.5,SHORT,113.0,56.5,78.0,133.0,120,184,1770035430.0
3360,3480,25479.5,25481.25,SHORT,-7.0,-3.5,89.0,94.0,120,184,1770037230.0
3480,3600,25481.25,25535.75,SHORT,-218.0,-109.0,235.0,94.0,120,184,1770039030.0
3600,3720,25535.75,25613.75,SHORT,-312.0,-156.0,391.0,62.0,120,184,1770040830.0
3720,3840,25613.75,25742.25,SHORT,-514.0,-257.0,743.0,113.0,120,184,1770042630.0
3840,3960,25742.25,25861.5,SHORT,-477.0,-238.5,680.0,37.0,120,184,1770044430.0
3960,4080,25861.5,25829.0,SHORT,130.0,65.0,180.0,183.0,120,184,1770046230.0
4080,4200,25829.0,25887.25,SHORT,-233.0,-116.5,279.0,104.0,120,184,1770048030.0
4200,4320,25887.25,25907.0,SHORT,-79.0,-39.5,83.0,205.0,120,184,1770049830.0
4320,4440,25907.0,25911.5,SHORT,-18.0,-9.0,70.0,59.0,120,184,1770051630.0
4440,4560,25911.5,25927.5,SHORT,-64.0,-32.0,121.0,41.0,120,184,1770053430.0
4560,4680,25927.5,25913.0,SHORT,58.0,29.0,37.0,120.0,120,184,1770055230.0
4680,4800,25913.0,25934.75,SHORT,-87.0,-43.5,146.0,22.0,120,184,1770057030.0
4800,4920,25934.75,25916.25,SHORT,74.0,37.0,41.0,85.0,120,184,1770058830.0
4920,5040,25916.25,25871.75,SHORT,178.0,89.0,6.0,378.0,120,184,1770060630.0
5040,5160,25871.75,25861.0,SHORT,43.0,21.5,113.0,171.0,120,184,1770062430.0
5160,5280,25861.0,25839.75,SHORT,85.0,42.5,26.0,117.0,120,184,1770064230.0
5280,5400,25839.75,25887.5,SHORT,-191.0,-95.5,225.0,16.0,120,184,1770066030.0
5400,5520,25887.5,25882.75,SHORT,19.0,9.5,17.0,86.0,120,184,1770067830.0
5520,5640,25882.75,25942.75,SHORT,-240.0,-120.0,240.0,65.0,120,184,1770073230.0
5640,5760,25942.75,25943.0,SHORT,-1.0,-0.5,137.0,36.0,120,184,1770075030.0
5760,5880,25943.0,25971.5,SHORT,-114.0,-57.0,167.0,118.0,120,184,1770076845.0
5880,6000,25971.5,25959.5,SHORT,48.0,24.0,23.0,112.0,120,184,1770078645.0
6000,6120,25959.5,25970.25,SHORT,-43.0,-21.5,125.0,28.0,120,184,1770080445.0
6120,6240,25970.25,25955.0,SHORT,61.0,30.5,27.0,89.0,120,184,1770082245.0
6240,6360,25955.0,25921.0,SHORT,136.0,68.0,14.0,140.0,120,184,1770084060.0
6360,6480,25921.0,25927.25,SHORT,-25.0,-12.5,57.0,82.0,120,184,1770085875.0
6480,6600,25927.25,25942.0,SHORT,-59.0,-29.5,84.0,57.0,120,184,1770087675.0
6600,6720,25942.0,25967.5,SHORT,-102.0,-51.0,106.0,56.0,120,184,1770089490.0
6720,6840,25967.5,25977.5,SHORT,-40.0,-20.0,57.0,58.0,120,184,1770091320.0
6840,6960,25977.5,25970.0,SHORT,30.0,15.0,42.0,31.0,120,184,1770093165.0
6960,7080,25970.0,25974.5,SHORT,-18.0,-9.0,35.0,72.0,120,184,1770095055.0
7080,7200,25974.5,25976.75,SHORT,-9.0,-4.5,89.0,9.0,120,184,1770096870.0
7200,7320,25976.75,25997.25,SHORT,-82.0,-41.0,100.0,2.0,120,184,1770098700.0
7320,7440,25997.25,25991.25,SHORT,24.0,12.0,40.0,35.0,120,184,1770100515.0
7440,7560,25991.25,25996.25,SHORT,-20.0,-10.0,48.0,68.0,120,184,1770102330.0
7560,7680,25996.25,26001.75,SHORT,-22.0,-11.0,126.0,23.0,120,184,1770104145.0
7680,7800,26001.75,25999.75,SHORT,8.0,4.0,89.0,42.0,120,184,1770105945.0
7800,7920,25999.75,26007.25,SHORT,-30.0,-15.0,40.0,118.0,120,184,1770107760.0
7920,8040,26007.25,25968.25,SHORT,156.0,78.0,3.0,196.0,120,184,1770109560.0
8040,8160,25968.25,25982.75,SHORT,-58.0,-29.0,85.0,40.0,120,184,1770111360.0
8160,8280,25982.75,25956.25,SHORT,106.0,53.0,29.0,122.0,120,184,1770113220.0
8280,8400,25956.25,25947.5,SHORT,35.0,17.5,36.0,53.0,120,184,1770115080.0
8400,8520,25947.5,25940.75,SHORT,27.0,13.5,66.0,50.0,120,184,1770116955.0
