day,pnl,n_trades,n_winners,n_losers,n_trail,n_pivot,n_eod,n_long,n_short,sum_mfe_usd,avg_leg_min,best_trade,worst_trade,pivot_pnl,trail_pnl,pivot_share,trail_share,long_share,is_loss_day,split,dow
2025_01_02,-221.5,29,15,14,16,13,0,19,10,1499.0,9.428735632183908,107.5,-80.5,-839.0,617.5,0.4482758620689655,0.5517241379310345,0.6551724137931034,True,IS,Thursday
2025_01_03,339.0,25,18,7,21,4,0,13,12,1306.5,10.892000000000001,152.0,-69.5,-248.0,587.0,0.16,0.84,0.52,False,IS,Friday
2025_01_06,-258.0,16,9,7,9,7,0,7,9,713.5,29.736458333333328,60.5,-130.0,-511.5,253.5,0.4375,0.5625,0.4375,True,IS,Monday
2025_01_07,689.0,28,20,8,21,7,0,11,17,1975.5,18.011904761904763,242.0,-87.0,-430.5,1119.5,0.25,0.75,0.39285714285714285,False,IS,Tuesday
2025_01_08,-136.0,33,21,10,24,9,0,13,20,1688.0,10.06969696969697,101.0,-110.5,-699.0,563.0,0.2727272727272727,0.7272727272727273,0.3939393939393939,True,IS,Wednesday
2025_01_09,-75.0,12,6,6,6,5,1,6,6,412.0,74.3013888888889,75.0,-70.0,-270.0,196.5,0.4166666666666667,0.5,0.5,True,IS,Thursday
2025_01_10,539.5,24,19,5,21,3,0,8,16,1465.0,12.815972222222221,108.0,-71.0,-182.5,722.0,0.125,0.875,0.3333333333333333,False,IS,Friday
2025_01_13,19.0,36,23,13,25,11,0,21,15,1715.0,14.120833333333332,83.0,-88.0,-706.0,725.0,0.3055555555555556,0.6944444444444444,0.5833333333333334,False,IS,Monday
2025_01_14,498.5,27,20,7,21,6,0,12,15,1736.0,17.12962962962963,343.0,-66.5,-352.0,850.5,0.2222222222222222,0.7777777777777778,0.4444444444444444,False,IS,Tuesday
2025_01_15,-362.0,18,10,8,10,8,0,11,7,955.0,20.871296296296297,176.0,-407.0,-921.0,559.0,0.4444444444444444,0.5555555555555556,0.6111111111111112,True,IS,Wednesday
2025_01_16,103.5,22,16,6,17,5,0,8,14,1091.0,9.306818181818182,88.0,-111.0,-394.5,498.0,0.22727272727272727,0.7727272727272727,0.36363636363636365,False,IS,Thursday
2025_01_17,87.0,15,12,3,12,3,0,9,6,635.5,21.44222222222222,40.5,-73.5,-191.5,278.5,0.2,0.8,0.6,False,IS,Friday
2025_01_20,2.5,13,8,5,8,5,0,8,5,603.0,50.05128205128205,82.5,-62.5,-297.0,299.5,0.38461538461538464,0.6153846153846154,0.6153846153846154,False,IS,Monday
2025_01_21,-589.5,26,15,11,17,9,0,14,12,1039.5,11.905128205128204,37.5,-174.5,-857.0,267.5,0.34615384615384615,0.6538461538461539,0.5384615384615384,True,IS,Tuesday
2025_01_22,-202.0,10,5,5,5,5,0,5,5,294.0,58.28333333333334,47.5,-101.5,-360.5,158.5,0.5,0.5,0.5,True,IS,Wednesday
2025_01_23,-84.0,14,8,6,9,5,0,7,7,447.0,50.90714285714285,46.5,-67.0,-276.0,192.0,0.35714285714285715,0.6428571428571429,0.5,True,IS,Thursday
