**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

date,open,high,low,close,range,body,efficiency,body_signed,strat_pnl,strat_n,strat_wins,eff_q,range_20d_mean,range_ratio,window
2026-01-02,25497.0,25803.5,25265.25,25393.75,538.25,103.25,0.19182535996284256,-103.25,-84.59999999999985,19,5,Q1 chop,,,WORKING (1/2-2/26)
2026-01-04,25430.0,25463.5,25406.0,25457.75,57.5,27.75,0.4826086956521739,27.75,-17.9,1,0,Q2,,,WORKING (1/2-2/26)
2026-01-05,25457.5,25708.0,25435.25,25566.0,272.75,108.5,0.39780018331805683,108.5,-277.9,11,4,Q2,,,WORKING (1/2-2/26)
2026-01-06,25566.25,25844.75,25527.0,25825.0,317.75,258.75,0.8143194335169158,258.75,141.39999999999998,9,6,Q4 trend,,,WORKING (1/2-2/26)
2026-01-07,25825.25,25998.0,25727.0,25823.5,271.0,1.75,0.006457564575645757,-1.75,325.1,6,4,Q1 chop,,,WORKING (1/2-2/26)
2026-01-08,25822.75,25844.25,25569.5,25675.75,274.75,147.0,0.535031847133758,-147.0,-891.5999999999998,19,3,Q3,,,WORKING (1/2-2/26)
2026-01-09,25675.25,25986.0,25615.75,25931.5,370.25,256.25,0.6920999324780553,256.25,413.6,11,6,Q4 trend,,,WORKING (1/2-2/26)
2026-01-11,25946.5,25955.75,25870.25,25894.0,85.5,52.5,0.6140350877192983,-52.5,298.6,1,1,Q3,,,WORKING (1/2-2/26)
2026-01-12,25893.5,26020.5,25632.75,25895.75,387.75,2.25,0.005802707930367505,2.25,320.5,5,2,Q1 chop,,,WORKING (1/2-2/26)
2026-01-13,25896.0,26046.25,25803.25,25891.0,243.0,5.0,0.0205761316872428,-5.0,-450.29999999999984,12,3,Q1 chop,,,WORKING (1/2-2/26)
2026-01-14,25891.25,25926.0,25421.25,25605.5,504.75,285.75,0.5661218424962853,-285.75,-593.1999999999998,23,6,Q3,281.85,1.7908461947844596,WORKING (1/2-2/26)
2026-01-15,25605.5,25954.25,25562.5,25741.5,391.75,136.0,0.34716017868538607,136.0,250.20000000000007,12,5,Q2,302.1136363636364,1.296697509967652,WORKING (1/2-2/26)
2026-01-16,25741.25,25891.25,25590.25,25681.75,301.0,59.5,0.19767441860465115,-59.5,262.4000000000001,9,3,Q1 chop,309.5833333333333,0.9722745625841185,WORKING (1/2-2/26)
2026-01-18,25556.0,25559.0,25403.5,25467.0,155.5,89.0,0.572347266881029,-89.0,-119.6,4,1,Q3,308.9230769230769,0.5033615537848606,WORKING (1/2-2/26)
2026-01-19,25466.5,25470.0,25236.25,25378.5,233.75,88.0,0.3764705882352941,-88.0,-3.3000000000000256,12,4,Q2,297.9642857142857,0.7844899916097327,WORKING (1/2-2/26)
2026-01-20,25379.0,25438.75,25095.25,25116.25,343.5,262.75,0.764919941775837,-262.75,-249.4,21,9,Q4 trend,293.68333333333334,1.1696271494239827,WORKING (1/2-2/26)
2026-01-21,25116.75,25653.25,25026.0,25552.25,627.25,435.5,0.694300518134715,435.5,1126.1999999999998,22,12,Q4 trend,296.796875,2.1133982627007106,WORKING (1/2-2/26)
2026-01-22,25553.25,25739.75,25483.25,25617.25,256.5,64.0,0.24951267056530213,64.0,380.30000000000007,8,5,Q2,316.2352941176471,0.8111049107142857,WORKING (1/2-2/26)
