**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1749168300,2025-06-06 00:05:00,21577.5,1749169020,2025-06-06 00:17:00,21574.5,slope_rolled_over,12.0,-6.0,35.0,-27.0,-0.528,-1.437,1.302,2.868,0.0,-0.614
LONG,1749169980,2025-06-06 00:33:00,21564.0,1749170820,2025-06-06 00:47:00,21550.5,slope_rolled_over,14.0,-27.0,40.0,-73.0,-0.539,-1.538,0.859,0.29,-0.05,-0.627
LONG,1749171240,2025-06-06 00:54:00,21568.25,1749172980,2025-06-06 01:23:00,21576.25,slope_rolled_over,29.0,16.0,61.0,-2.0,-0.593,-1.506,0.928,0.432,0.154,-0.69
LONG,1749173820,2025-06-06 01:37:00,21577.5,1749174780,2025-06-06 01:53:00,21590.0,slope_rolled_over,16.0,25.0,84.0,0.0,-0.358,-1.228,1.084,0.312,0.236,-0.429
LONG,1749176220,2025-06-06 02:17:00,21585.0,1749176640,2025-06-06 02:24:00,21579.0,slope_rolled_over,7.0,-12.0,0.0,-46.0,-0.24,-1.014,0.932,0.183,0.093,-0.267
LONG,1749177000,2025-06-06 02:30:00,21588.25,1749177420,2025-06-06 02:37:00,21576.25,slope_rolled_over,7.0,-24.0,0.0,-48.0,-0.231,-0.991,1.024,0.168,0.192,-0.257
LONG,1749177900,2025-06-06 02:45:00,21579.75,1749179160,2025-06-06 03:06:00,21585.75,slope_rolled_over,21.0,12.0,41.0,-6.0,-0.24,-1.051,0.289,0.203,0.138,-0.267
LONG,1749179640,2025-06-06 03:14:00,21585.25,1749180600,2025-06-06 03:30:00,21590.5,slope_rolled_over,16.0,10.5,71.0,0.0,-0.132,-0.864,0.606,0.03,0.239,-0.138
LONG,1749180960,2025-06-06 03:36:00,21601.75,1749181920,2025-06-06 03:52:00,21611.0,slope_rolled_over,16.0,18.5,53.0,0.0,-0.029,-0.748,2.014,0.253,0.142,-0.03
LONG,1749182220,2025-06-06 03:57:00,21612.75,1749182460,2025-06-06 04:01:00,21611.0,slope_rolled_over,4.0,-3.5,0.0,-17.0,0.123,-0.671,2.285,0.54,0.272,0.128
LONG,1749183000,2025-06-06 04:10:00,21610.0,1749183540,2025-06-06 04:19:00,21606.5,slope_rolled_over,9.0,-7.0,14.0,-16.0,0.203,-0.573,1.685,0.108,0.211,0.198
LONG,1749184140,2025-06-06 04:29:00,21613.5,1749184620,2025-06-06 04:37:00,21606.0,slope_rolled_over,8.0,-15.0,13.0,-36.0,0.184,-0.546,1.667,0.112,0.164,0.18
LONG,1749184920,2025-06-06 04:42:00,21620.75,1749186960,2025-06-06 05:16:00,21660.75,slope_rolled_over,34.0,80.0,179.0,0.0,0.221,-0.492,1.978,0.31,0.224,0.216
SHORT,1749192300,2025-06-06 06:45:00,21667.0,1749196860,2025-06-06 08:01:00,21649.75,crossed_15m_mean,76.0,34.5,69.0,-46.0,1.38,0.358,1.055,-1.69,0.296,1.816
SHORT,1749197160,2025-06-06 08:06:00,21660.25,1749197580,2025-06-06 08:13:00,21653.5,crossed_15m_mean,7.0,13.5,27.0,-36.0,1.491,0.669,0.058,-0.903,0.062,1.585
SHORT,1749197880,2025-06-06 08:18:00,21656.5,1749198000,2025-06-06 08:20:00,21641.25,crossed_15m_mean,2.0,30.5,61.0,0.0,1.44,0.591,-0.391,-1.7,-0.061,1.531
