**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s,entry_slope_15m,entry_sig_above_1h_low
LONG,1749168600,2025-06-06 00:10:00,21582.0,1749169320,2025-06-06 00:22:00,21564.25,hard_stop,12.0,-35.5,17.0,-71.0,-0.446,-1.403,1.492,2.509,0.0,-0.519
LONG,1749178680,2025-06-06 02:58:00,21586.5,1749185880,2025-06-06 04:58:00,21642.25,time_stop,120.0,111.5,223.0,-22.0,-0.187,-1.004,0.81,0.535,0.138,-0.208
SHORT,1749196380,2025-06-06 07:53:00,21667.25,1749196860,2025-06-06 08:01:00,21649.75,crossed_15m_mean,8.0,35.0,70.0,0.0,1.564,0.606,1.263,0.65,0.231,2.043
SHORT,1749221160,2025-06-06 14:46:00,21828.0,1749222360,2025-06-06 15:06:00,21848.5,hard_stop,20.0,-41.0,34.0,-82.0,3.626,1.917,0.872,3.779,0.864,4.218
SHORT,1749227400,2025-06-06 16:30:00,21791.25,1749227460,2025-06-06 16:31:00,21791.0,crossed_15m_mean,1.0,0.5,1.0,0.0,1.864,0.692,-1.181,-2.141,-0.049,2.387
SHORT,1749231000,2025-06-06 17:30:00,21799.25,1749231900,2025-06-06 17:45:00,21818.5,hard_stop,15.0,-38.5,2.0,-77.0,1.59,0.604,0.069,2.181,0.019,2.311
SHORT,1749233700,2025-06-06 18:15:00,21858.25,1749240000,2025-06-06 20:00:00,21782.0,crossed_15m_mean,105.0,152.5,305.0,-38.0,2.141,1.167,2.137,0.706,0.049,3.248
SHORT,1757342100,2025-09-08 14:35:00,23858.75,1757342280,2025-09-08 14:38:00,23874.5,hard_stop,3.0,-31.5,0.0,-63.0,3.441,2.4,1.617,4.674,0.478,8.291
SHORT,1757346660,2025-09-08 15:51:00,23857.0,1757347020,2025-09-08 15:57:00,23873.25,hard_stop,6.0,-32.5,18.0,-65.0,2.367,1.491,0.452,-2.5,0.562,4.124
SHORT,1757401680,2025-09-09 07:08:00,23853.75,1757402820,2025-09-09 07:27:00,23869.75,hard_stop,19.0,-32.0,0.0,-64.0,1.666,1.525,1.618,-0.141,0.062,2.137
LONG,1757433180,2025-09-09 15:53:00,23795.0,1757440380,2025-09-09 17:53:00,23840.75,time_stop,120.0,91.5,233.0,-43.0,-1.309,-5.19,-0.281,0.715,-0.454,-1.486
SHORT,1757456880,2025-09-09 22:28:00,23894.0,1757464080,2025-09-10 00:28:00,23896.5,time_stop,120.0,-5.0,73.0,-43.0,1.8,1.41,0.958,-0.941,0.358,2.348
SHORT,1757510760,2025-09-10 13:26:00,24011.0,1757511720,2025-09-10 13:42:00,23922.0,crossed_15m_mean,16.0,178.0,356.0,-9.0,3.073,1.984,1.748,0.99,0.471,5.466
SHORT,1757514540,2025-09-10 14:29:00,23964.5,1757515560,2025-09-10 14:46:00,23979.5,hard_stop,17.0,-30.0,4.0,-60.0,1.725,0.392,0.047,1.341,0.169,4.217
LONG,1757525880,2025-09-10 17:38:00,23889.75,1757528280,2025-09-10 18:18:00,23873.75,hard_stop,40.0,-32.0,67.0,-64.0,-0.25,-1.903,-1.678,0.71,-0.446,-0.753
LONG,1757541840,2025-09-10 22:04:00,23875.0,1757548740,2025-09-10 23:59:00,23900.75,eod_force_close,115.0,51.5,149.0,-24.0,-0.334,-1.493,0.695,0.5,-0.217,-0.499
