entry_utc,exit_utc,entry_px,exit_px,pnl,dur_min,reason,entry_z_lo,entry_slope_15m,peak_pnl,worst_pnl
2025-04-02 12:10:00,2025-04-02 12:11:00,19379.5,19393.25,27.5,1.0,target_20t,-3.107,-0.56,55.0,0.0
2025-04-02 12:42:00,2025-04-02 12:45:00,19368.0,19374.0,12.0,3.0,target_20t,-3.352,-0.974,24.0,-13.0
2025-04-02 20:44:00,2025-04-02 20:45:00,19150.25,19159.5,18.5,1.0,target_20t,-3.002,-2.401,37.0,0.0
2025-04-02 22:02:00,2025-04-02 22:03:00,18958.0,18999.25,82.5,1.0,target_20t,-2.965,-3.378,165.0,0.0
2025-04-02 22:33:00,2025-04-02 22:35:00,18916.5,18927.5,22.0,2.0,target_20t,-3.2,-3.893,44.0,0.0
2025-04-04 10:24:00,2025-04-04 10:25:00,18250.75,18222.0,-57.5,1.0,stop_20t,-5.144,-1.194,0.0,-115.0
2025-04-04 10:55:00,2025-04-04 10:56:00,18079.5,18070.25,-18.5,1.0,stop_20t,-7.904,-2.483,0.0,-37.0
2025-04-04 11:27:00,2025-04-04 11:28:00,17973.75,17911.75,-124.0,1.0,stop_20t,-3.298,-2.854,0.0,-248.0
2025-04-06 22:03:00,2025-04-06 22:04:00,16769.5,16697.0,-145.0,1.0,stop_20t,-3.376,-2.112,0.0,-290.0
2025-04-06 22:34:00,2025-04-06 22:35:00,16683.5,16672.5,-22.0,1.0,stop_20t,-3.656,-5.315,0.0,-44.0
2025-04-08 19:40:00,2025-04-08 19:41:00,17116.5,17128.0,23.0,1.0,target_20t,-3.271,-3.612,46.0,0.0
2025-04-10 15:52:00,2025-04-10 15:53:00,18342.25,18351.0,17.5,1.0,target_20t,-3.173,-2.199,35.0,0.0
2025-04-10 16:23:00,2025-04-10 16:24:00,18014.5,18072.25,115.5,1.0,target_20t,-3.437,-3.549,231.0,0.0
2025-04-14 15:39:00,2025-04-14 15:40:00,18899.0,18888.5,-21.0,1.0,stop_20t,-4.34,-1.068,0.0,-42.0
2025-04-14 16:13:00,2025-04-14 16:14:00,18797.0,18805.75,17.5,1.0,target_20t,-2.988,-1.985,35.0,0.0
2025-04-14 16:59:00,2025-04-14 17:00:00,18785.0,18849.5,129.0,1.0,target_20t,-3.14,-0.957,258.0,0.0
2025-04-15 22:15:00,2025-04-15 22:18:00,18730.75,18741.25,21.0,3.0,target_20t,-4.618,-0.99,42.0,-18.0
2025-04-15 22:48:00,2025-04-15 22:50:00,18762.25,18752.75,-19.0,2.0,stop_20t,-3.852,-1.154,0.0,-38.0
2025-04-16 17:58:00,2025-04-16 17:59:00,18312.5,18293.25,-38.5,1.0,stop_20t,-3.733,-1.342,0.0,-77.0
2025-04-16 18:55:00,2025-04-16 18:57:00,18240.5,18229.5,-22.0,2.0,stop_20t,-2.943,-2.2,0.0,-44.0
2025-04-17 13:48:00,2025-04-17 13:49:00,18412.5,18442.25,59.5,1.0,target_20t,-2.714,-0.593,119.0,0.0
2025-04-17 14:31:00,2025-04-17 14:32:00,18299.5,18312.25,25.5,1.0,target_20t,-4.083,-1.06,51.0,0.0
