date,n_trades,n_long,n_short,pnl_dollars
2025-07-01,12,12,0,-245.5
2025-07-02,7,7,0,231.5
2025-07-03,2,2,0,88.0
2025-07-04,8,8,0,-217.0
2025-07-06,1,0,1,14.0
2025-07-07,12,12,0,-160.0
2025-07-08,11,11,0,-189.0
2025-07-09,5,5,0,25.5
2025-07-10,10,10,0,81.0
2025-07-11,9,9,0,-300.0
2025-07-13,1,1,0,41.0
2025-07-14,5,4,1,-5.5
2025-07-15,6,6,0,-178.5
2025-07-16,11,11,0,-138.0
2025-07-17,3,2,1,162.0
2025-07-18,9,9,0,-214.0
2025-07-20,1,1,0,42.0
2025-07-21,3,3,0,109.0
2025-07-22,12,12,0,170.0
2025-07-23,6,6,0,38.5
2025-07-24,7,7,0,123.5
2025-07-25,5,5,0,-39.0
2025-07-28,7,7,0,-130.0
2025-07-29,8,8,0,-172.0
2025-07-30,8,8,0,254.5
2025-07-31,8,8,0,-208.5
