side,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,exit_reason,duration_min,realized_pnl_dollars,peak_pnl_ticks,worst_pnl_ticks,entry_pos_in_band,entry_z_1h_high,entry_z_15m_crm,entry_slope_15s_long,entry_slope_15s_short,entry_slope_15m,entry_sig_above_1h_low
LONG,1751343060,2025-07-01 04:11:00,22876.0,1751345040,2025-07-01 04:44:00,22860.75,hard_stop,33.0,-30.5,4.0,-61.0,-0.066,-2.066,-0.983,0.325,0.904,-0.157,-0.236
LONG,1751347080,2025-07-01 05:18:00,22853.0,1751348700,2025-07-01 05:45:00,22838.0,hard_stop,27.0,-30.0,0.0,-60.0,-0.8,-2.748,-1.409,-0.861,0.267,-0.335,-1.724
LONG,1751350620,2025-07-01 06:17:00,22837.25,1751356920,2025-07-01 08:02:00,22822.0,hard_stop,105.0,-30.5,103.0,-61.0,-0.979,-2.603,-1.552,0.44,0.467,-0.203,-1.414
LONG,1751358720,2025-07-01 08:32:00,22845.25,1751361000,2025-07-01 09:10:00,22829.5,hard_stop,38.0,-31.5,41.0,-63.0,-0.313,-1.54,1.109,1.49,1.096,-0.01,-0.357
LONG,1751363940,2025-07-01 09:59:00,22831.25,1751371020,2025-07-01 11:57:00,22815.5,hard_stop,118.0,-31.5,63.0,-63.0,-0.942,-1.993,-0.632,0.315,2.137,-0.075,-1.057
LONG,1751373120,2025-07-01 12:32:00,22789.25,1751379960,2025-07-01 14:26:00,22773.75,hard_stop,114.0,-31.0,220.0,-62.0,-2.277,-3.099,-1.882,-1.776,2.892,-0.304,-2.414
LONG,1751382240,2025-07-01 15:04:00,22714.5,1751382420,2025-07-01 15:07:00,22657.25,hard_stop,3.0,-114.5,2.0,-229.0,-2.468,-8.575,-1.589,-1.665,0.808,-0.764,-2.276
LONG,1751384220,2025-07-01 15:37:00,22664.25,1751384400,2025-07-01 15:40:00,22638.5,hard_stop,3.0,-51.5,0.0,-103.0,-2.574,-11.662,-1.345,1.803,0.325,-0.506,-2.375
LONG,1751386260,2025-07-01 16:11:00,22674.75,1751393460,2025-07-01 18:11:00,22741.25,time_stop,120.0,133.0,325.0,0.0,-2.421,-4.057,-0.744,-1.03,1.292,-0.751,-1.778
LONG,1751397300,2025-07-01 19:15:00,22693.5,1751400600,2025-07-01 20:10:00,22675.0,hard_stop,55.0,-37.0,157.0,-74.0,-0.898,-2.25,-1.09,1.146,0.679,-0.097,-0.759
LONG,1751402400,2025-07-01 20:40:00,22689.0,1751409600,2025-07-01 22:40:00,22712.25,time_stop,120.0,46.5,97.0,-10.0,-0.583,-2.127,-0.996,0.482,0.475,-0.226,-0.524
LONG,1751411400,2025-07-01 23:10:00,22721.5,1751413980,2025-07-01 23:53:00,22703.0,hard_stop,43.0,-37.0,0.0,-74.0,0.277,-0.994,1.347,0.661,0.771,0.107,0.279
LONG,1751420640,2025-07-02 01:44:00,22716.25,1751421360,2025-07-02 01:56:00,22695.0,hard_stop,12.0,-42.5,0.0,-85.0,0.349,-0.835,0.534,0.424,1.179,0.076,0.495
LONG,1751423220,2025-07-02 02:27:00,22700.0,1751430060,2025-07-02 04:21:00,22760.0,target_1h_rail,114.0,120.0,240.0,0.0,0.217,-1.068,-0.778,1.42,0.371,-0.19,0.321
LONG,1751443440,2025-07-02 08:04:00,22727.0,1751445060,2025-07-02 08:31:00,22711.75,hard_stop,27.0,-30.5,41.0,-61.0,0.533,-0.622,-1.585,0.375,0.7,-0.272,0.627
LONG,1751448480,2025-07-02 09:28:00,22709.5,1751452140,2025-07-02 10:29:00,22693.5,hard_stop,61.0,-32.0,29.0,-64.0,-0.064,-1.232,-1.013,0.37,1.521,-0.344,-0.078
LONG,1751454360,2025-07-02 11:06:00,22693.5,1751456820,2025-07-02 11:47:00,22676.0,hard_stop,41.0,-35.0,18.0,-70.0,-0.688,-1.991,-0.996,0.52,0.888,-0.197,-0.866
LONG,1751459460,2025-07-02 12:31:00,22630.0,1751460000,2025-07-02 12:40:00,22612.25,hard_stop,9.0,-35.5,5.0,-71.0,-1.799,-3.98,-2.751,-2.125,0.667,-0.389,-1.953
LONG,1751461800,2025-07-02 13:10:00,22646.5,1751466480,2025-07-02 14:28:00,22790.0,target_1h_rail,78.0,287.0,574.0,-38.0,-1.045,-2.877,-0.688,4.114,2.517,-0.542,-0.949
LONG,1751534520,2025-07-03 09:22:00,22867.75,1751536680,2025-07-03 09:58:00,22850.75,hard_stop,36.0,-34.0,11.0,-68.0,0.548,-0.252,-0.768,0.512,1.658,-0.088,1.029
LONG,1751538660,2025-07-03 10:31:00,22840.25,1751545800,2025-07-03 12:30:00,22901.25,target_1h_rail,119.0,122.0,244.0,-2.0,-0.217,-2.045,-1.285,0.319,0.846,-0.249,-0.445
LONG,1751598000,2025-07-04 03:00:00,23014.25,1751603100,2025-07-04 04:25:00,22998.25,hard_stop,85.0,-32.0,19.0,-64.0,0.654,-0.257,-0.969,0.695,0.354,-0.11,0.443
LONG,1751604900,2025-07-04 04:55:00,23006.25,1751607240,2025-07-04 05:34:00,22989.5,hard_stop,39.0,-33.5,12.0,-67.0,0.259,-0.86,-0.802,0.52,0.421,-0.179,0.208
LONG,1751610000,2025-07-04 06:20:00,22995.0,1751612700,2025-07-04 07:05:00,22977.75,hard_stop,45.0,-34.5,17.0,-69.0,-0.512,-1.882,-1.384,0.474,1.058,-0.139,-0.981
LONG,1751614560,2025-07-04 07:36:00,22968.0,1751615820,2025-07-04 07:57:00,22952.5,hard_stop,21.0,-31.0,11.0,-62.0,-1.341,-2.458,-1.846,0.681,0.829,-0.2,-2.117
LONG,1751617620,2025-07-04 08:27:00,22959.0,1751619120,2025-07-04 08:52:00,22934.75,hard_stop,25.0,-48.5,39.0,-97.0,-1.528,-2.701,-0.928,1.98,2.763,-0.365,-1.902
LONG,1751620980,2025-07-04 09:23:00,22934.25,1751626140,2025-07-04 10:49:00,22915.5,hard_stop,86.0,-37.5,63.0,-75.0,-2.147,-3.242,-1.194,-0.814,1.071,-0.342,-1.975
LONG,1751627940,2025-07-04 11:19:00,22922.0,1751635140,2025-07-04 13:19:00,22912.25,time_stop,120.0,-19.5,45.0,-47.0,-1.381,-2.485,-0.782,1.616,2.829,-0.085,-0.991
LONG,1751636940,2025-07-04 13:49:00,22919.5,1751644140,2025-07-04 15:49:00,22929.25,time_stop,120.0,19.5,94.0,-32.0,-0.788,-1.805,-0.25,2.535,0.887,-0.004,-0.589
SHORT,1751840040,2025-07-06 22:14:00,22992.25,1751847240,2025-07-07 00:14:00,22985.25,time_stop,120.0,14.0,118.0,-52.0,1.882,1.092,5.416,1.815,-2.467,-0.106,2.219
LONG,1751851200,2025-07-07 01:20:00,22945.75,1751858400,2025-07-07 03:20:00,22949.0,time_stop,120.0,6.5,88.0,-39.0,0.442,-0.484,-1.585,0.322,4.429,-0.401,0.751
