tf_high,tf_low,feature,avg_corr,std_corr
1h,15m,dmi_diff,0.6983390623372012,0.03442319961505962
1h,15m,dmi_gap,0.3946433293227314,0.05360534955963525
1h,15m,vol_rel,0.6750644051387725,0.03061469639216484
1h,15m,dir_vol,0.3120300052166824,0.06227210046954243
1h,15m,velocity,0.4757562880232581,0.04761834378406692
1h,15m,z_se,0.6435045024476389,0.02754540733782297
1h,15m,price_accel,0.4425452758708861,0.047198064643766954
1h,15m,std_price,0.2849216391108325,0.11606245966784347
1h,15m,variance_ratio,0.11882755766064654,0.034081745366556636
1h,15m,bar_range,0.7469653575606566,0.04424871652970725
1h,15m,wick_ratio,0.17821087658034596,0.05000900001564925
1h,15m,vwap_distance,0.5596042057312847,0.03132183162502255
1h,15m,time_of_day,0.9998118390133371,0.0006840522593628268
1h,1m,dmi_diff,0.15344925154595176,0.04088856278911202
1h,1m,dmi_gap,0.015066848671941637,0.05198832172863463
1h,1m,vol_rel,-0.07317966201330245,0.06932625197604003
1h,1m,dir_vol,0.09233507186165547,0.02549729032858887
1h,1m,velocity,0.1808015643206552,0.04224056489623654
1h,1m,z_se,0.13236824363504818,0.05379275638354694
1h,1m,price_accel,0.12519885617980955,0.059170332253140376
1h,1m,std_price,0.1526533947739603,0.13090345132944847
1h,1m,variance_ratio,0.010054983703765756,0.03922116109280756
1h,1m,bar_range,0.5802197170121057,0.06628842268128794
1h,1m,wick_ratio,0.03791276742898375,0.0607242084517907
1h,1m,vwap_distance,0.09923614840346749,0.05226994996339941
1h,1m,time_of_day,0.9989222185084788,0.0033351800344873536
15m,1m,dmi_diff,0.37453098150166664,0.024517764207497114
15m,1m,dmi_gap,0.09643792524229913,0.024656169282569352
15m,1m,vol_rel,0.23726564744334494,0.026401654660527515
15m,1m,dir_vol,0.17450398058319738,0.025435818357961503
15m,1m,velocity,0.2761487120336046,0.03273399906109197
15m,1m,z_se,0.32177953711663043,0.029713933721395816
15m,1m,price_accel,0.24537186526291327,0.047266350731935254
15m,1m,std_price,0.4156700245230961,0.07029010755744128
15m,1m,variance_ratio,-0.09668621954310863,0.026014399559644547
15m,1m,bar_range,0.7291688158861859,0.045621764377221256
15m,1m,wick_ratio,0.06926989840987698,0.0246280935596745
15m,1m,vwap_distance,0.2707363560662303,0.024568123152335183
15m,1m,time_of_day,0.9997591211774203,0.0008982846939257506
