hour,trades,wr,pnl,avg
0,72,18.055555555555554,-71.0,-0.9861111111111112
1,78,19.230769230769234,392.0,5.0256410256410255
2,68,33.82352941176471,719.5,10.580882352941176
3,74,10.81081081081081,-35.0,-0.47297297297297297
4,56,17.857142857142858,105.0,1.875
5,56,25.0,366.5,6.544642857142857
6,69,33.33333333333333,1150.0,16.666666666666668
7,78,16.666666666666664,-204.0,-2.6153846153846154
8,80,23.75,571.5,7.14375
9,66,31.818181818181817,1258.5,19.068181818181817
10,77,22.07792207792208,671.5,8.720779220779221
11,64,20.3125,925.0,14.453125
12,72,22.22222222222222,244.5,3.3958333333333335
13,67,31.343283582089555,1345.5,20.082089552238806
14,108,34.25925925925926,1081.5,10.01388888888889
15,100,39.0,6258.5,62.585
16,104,25.961538461538463,1522.0,14.634615384615385
17,86,34.883720930232556,3057.0,35.54651162790697
18,109,35.77981651376147,2639.5,24.21559633027523
19,102,26.47058823529412,1009.0,9.892156862745098
20,98,32.6530612244898,1091.5,11.137755102040817
21,67,65.67164179104478,1752.5,26.15671641791045
22,19,36.84210526315789,-118.0,-6.2105263157894735
23,138,38.405797101449274,1889.5,13.692028985507246
