day,regime,total_pnl,n_trades,n_winners,pnl__FADE_AGAINST,pnl__FADE_MOMENTUM,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__CASCADE,pnl__FADE_CALM,pnl__KILL_SHOT,pnl__RIDE_CALM,pnl__FREIGHT_TRAIN
2025_04_07,UP_CHOPPY,1788.5,8,5,0.0,188.5,188.5,470.5,470.5,470.5,,,,,
2025_12_16,UP_CHOPPY,1470.0,73,26,12.0,25.5,89.5,318.5,473.5,,127.0,-9.5,167.5,266.0,
2025_01_10,DOWN_CHOPPY,1383.5,506,165,0.5,341.0,688.0,103.5,-144.5,103.5,33.0,63.0,195.5,,
2025_04_09,UP_SMOOTH,1292.5,109,44,24.0,242.0,453.0,113.5,37.0,113.5,0.0,195.0,114.5,,
2025_05_06,FLAT_CHOPPY,1237.0,541,163,2.0,127.5,269.5,140.0,344.5,82.0,-3.0,161.0,39.0,74.5,
2025_04_01,FLAT_CHOPPY,1151.5,375,121,123.5,159.5,353.0,148.5,187.0,43.5,21.5,116.0,-1.0,,
2025_07_23,FLAT_CHOPPY,1058.5,635,219,,265.5,583.5,,,,28.0,97.0,84.5,,
2025_07_02,FLAT_CHOPPY,888.0,614,203,,111.5,397.5,,,,1.0,200.5,177.5,,
2025_04_25,FLAT_SMOOTH,864.0,280,80,-49.5,256.5,415.0,,151.5,,62.0,-13.5,42.0,,
2025_11_19,UP_SMOOTH,855.0,373,119,-2.5,469.0,224.0,,-10.0,,76.0,-66.0,164.5,,
2025_11_21,FLAT_CHOPPY,840.5,178,58,-7.0,338.5,211.5,,135.0,,22.0,-29.0,169.5,,
2025_08_22,UP_SMOOTH,824.0,488,131,,411.0,373.5,,,,-11.0,101.0,-50.5,,
2025_04_11,FLAT_CHOPPY,783.5,176,61,,177.5,414.5,,,,28.5,147.0,16.0,,
2025_03_10,DOWN_SMOOTH,753.5,223,75,89.0,148.5,313.0,,138.0,,20.5,4.0,40.5,,
2025_02_25,FLAT_CHOPPY,743.5,224,67,-3.5,100.0,305.0,80.0,208.5,,12.5,4.5,36.5,,
2025_02_07,DOWN_SMOOTH,739.0,580,197,47.0,186.0,270.5,11.0,110.5,,14.0,56.0,33.0,11.0,
2025_10_30,FLAT_CHOPPY,729.0,546,179,-49.0,114.0,401.5,26.0,45.0,-190.0,14.0,189.5,178.0,,
2025_02_05,UP_SMOOTH,724.5,503,158,-8.0,59.0,251.0,79.0,100.5,,-34.0,37.5,202.0,37.5,
2025_01_13,FLAT_CHOPPY,674.0,219,78,35.0,71.5,132.5,38.0,255.5,-51.0,74.5,5.5,112.5,,
2025_06_02,UP_CHOPPY,645.0,518,165,-8.5,20.0,62.0,192.5,131.5,74.0,0.5,53.5,16.0,103.5,
2025_09_03,UP_CHOPPY,644.5,490,144,-22.0,63.5,232.0,57.0,186.0,,25.0,51.0,-5.0,57.0,
2025_09_04,UP_SMOOTH,633.0,639,197,-18.5,181.0,-35.5,60.0,127.5,,57.0,100.5,161.0,,
2025_07_16,UP_CHOPPY,593.5,680,165,-15.0,282.0,254.0,-1.5,-47.5,,-49.0,28.5,142.0,,
2025_12_03,FLAT_SMOOTH,585.5,749,217,52.5,40.0,336.0,,-68.0,,77.5,74.0,73.5,,
2025_01_27,FLAT_CHOPPY,580.0,59,21,167.5,250.0,328.5,,-251.0,,-12.0,84.5,12.5,,
2025_05_05,FLAT_SMOOTH,540.5,510,146,34.5,33.0,316.5,8.5,94.0,,-31.0,78.5,-2.0,8.5,
2025_10_08,UP_SMOOTH,538.0,555,174,16.0,70.0,161.5,52.0,21.5,,34.0,38.5,144.5,,
2025_01_01,FLAT_SMOOTH,524.0,39,12,,131.0,131.0,,,,,131.0,,,131.0
2025_02_21,DOWN_SMOOTH,522.0,622,183,-68.5,159.0,189.5,,234.0,,3.0,14.5,-9.5,,
2025_01_20,FLAT_CHOPPY,491.5,432,131,3.0,86.0,278.5,29.5,29.5,,3.0,-38.5,71.0,29.5,
2025_08_26,UP_CHOPPY,489.5,701,205,18.0,29.5,277.5,,43.5,,-24.5,144.5,1.0,,
2025_10_14,FLAT_CHOPPY,487.5,185,51,-8.5,-22.5,91.5,164.0,139.5,164.0,-19.0,-9.5,-12.0,,
2025_05_19,UP_CHOPPY,487.0,241,72,3.5,-26.5,-196.5,269.0,249.0,50.0,16.0,32.5,-65.5,155.5,
