**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_idx,entry_dt,entry_px,side,exit_idx,exit_dt,exit_px,exit_reason,pnl_pts,pnl_usd,mfe_usd,bars_held,slope_at_entry,slope_at_exit,slope_min,slope_max
73,2025-01-02 00:13:00+00:00,21206.5,Short,99,2025-01-02 00:39:00+00:00,21186.25,PivotExitShort,20.25,38.6,137.0,26,-1.5292547274749722,-1.0877085650723026,-4.784649610678532,-1.4259176863181313
99,2025-01-02 00:39:00+00:00,21186.25,Long,566,2025-01-02 08:26:00+00:00,21366.75,PivotExitLong,180.5,359.1,465.0,467,-1.0877085650723026,0.6381535038932147,-1.6290322580645162,3.7088431590656286
566,2025-01-02 08:26:00+00:00,21366.75,Short,597,2025-01-02 08:57:00+00:00,21379.5,PivotExitShort,-12.75,-27.4,69.0,31,0.6381535038932147,1.1273637374860956,-3.2014460511679643,1.0459955506117908
597,2025-01-02 08:57:00+00:00,21379.5,Long,830,2025-01-02 12:50:00+00:00,21441.5,PivotExitLong,62.0,122.1,215.5,233,1.1273637374860956,-1.4278086763070077,-1.328865406006674,2.721857619577308
830,2025-01-02 12:50:00+00:00,21441.5,Short,884,2025-01-02 13:44:00+00:00,21456.5,PivotExitShort,-15.0,-31.9,61.0,54,-1.4278086763070077,1.1693548387096775,-2.1140155728587318,0.9802558398220245
884,2025-01-02 13:44:00+00:00,21456.5,Long,899,2025-01-02 13:59:00+00:00,21413.5,PivotExitLong,-43.0,-87.9,8.0,15,1.1693548387096775,-0.6803114571746385,-0.4399888765294772,1.285761957730812
899,2025-01-02 13:59:00+00:00,21413.5,Short,946,2025-01-02 14:46:00+00:00,21222.75,PivotExitShort,190.75,379.6,473.5,47,-0.6803114571746385,-7.449499443826474,-7.697219132369299,-0.4399888765294772
946,2025-01-02 14:46:00+00:00,21222.75,Long,978,2025-01-02 15:18:00+00:00,21390.0,PivotExitLong,167.25,332.6,430.0,32,-7.449499443826474,3.439265850945495,-7.623804226918798,9.21774193548387
978,2025-01-02 15:18:00+00:00,21390.0,Short,1009,2025-01-02 15:49:00+00:00,21274.25,PivotExitShort,115.75,229.6,337.5,31,3.439265850945495,-1.9023915461624026,-7.572747497219132,4.210233592880979
1009,2025-01-02 15:49:00+00:00,21274.25,Long,1023,2025-01-02 16:03:00+00:00,21240.25,PivotExitLong,-34.0,-69.9,83.5,14,-1.9023915461624026,1.0244716351501668,-2.7058398220244717,1.7162958843159066
1023,2025-01-02 16:03:00+00:00,21240.25,Short,1035,2025-01-02 16:15:00+00:00,21250.0,PivotExitShort,-9.75,-21.4,74.5,12,1.0244716351501668,-2.4674082313681867,-2.26329254727475,1.375528364849833
1035,2025-01-02 16:15:00+00:00,21250.0,Long,1075,2025-01-02 16:55:00+00:00,21306.0,PivotExitLong,56.0,110.1,211.0,40,-2.4674082313681867,1.5737486095661846,-2.985483870967742,3.275695216907675
1075,2025-01-02 16:55:00+00:00,21306.0,Short,1094,2025-01-02 17:14:00+00:00,21339.75,PivotExitShort,-33.75,-69.4,32.5,19,1.5737486095661846,-0.6468854282536152,-0.6293103448275862,1.7478865406006674
1094,2025-01-02 17:14:00+00:00,21339.75,Long,1099,2025-01-02 17:19:00+00:00,21292.75,PivotExitLong,-47.0,-95.9,0.0,5,-0.6468854282536152,-0.8917686318131257,-0.9710789766407119,-0.5853170189098998
1099,2025-01-02 17:19:00+00:00,21292.75,Short,1132,2025-01-02 17:52:00+00:00,21053.25,PivotExitShort,239.5,477.1,583.5,33,-0.8917686318131257,-7.530812013348164,-11.223248053392659,-0.8917686318131257
1132,2025-01-02 17:52:00+00:00,21053.25,Long,1142,2025-01-02 18:02:00+00:00,21029.75,PivotExitLong,-23.5,-48.9,46.0,10,-7.530812013348164,-1.4709121245828698,-8.292602892102336,-1.6399332591768632
1142,2025-01-02 18:02:00+00:00,21029.75,Short,1148,2025-01-02 18:08:00+00:00,21061.25,PivotExitShort,-31.5,-64.9,43.0,6,-1.4709121245828698,-0.15611790878754173,-1.6399332591768632,-0.44482758620689655
1148,2025-01-02 18:08:00+00:00,21061.25,Long,1154,2025-01-02 18:14:00+00:00,21029.5,PivotExitLong,-31.75,-65.4,24.5,6,-0.15611790878754173,0.05050055617352614,-0.44482758620689655,0.19977753058954395
