**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

skip_zones,b6_thr,p_early_min,n_total,n_kept,n_skipped,keep_rate,mean_pnl_kept,mean_pnl_skipped,total_pnl_kept,total_pnl_skipped,per_day_kept,pos_pct_kept,delta_per_leg,delta_per_day,pct_capture
CLEAR|WATCH,0.7,0.5,1827,14,1813,0.007662835249042145,138.35714285714286,69.53401360544218,1937.0,126065.16666666667,60.53125,1.0,68.29574895092136,-3939.5364583333335,0.015132556349957617
CLEAR,0.7,0.5,1827,15,1812,0.008210180623973728,129.9,69.56604120676968,1948.5,126053.66666666667,60.890625,1.0,59.83860609377851,-3939.1770833333335,0.015222398579190716
none,0.7,0.5,1827,15,1812,0.008210180623973728,129.9,69.56604120676968,1948.5,126053.66666666667,60.890625,1.0,59.83860609377851,-3939.1770833333335,0.015222398579190716
CLEAR|WATCH,0.5,0.5,1827,54,1773,0.029556650246305417,119.28703703703704,68.56213573980072,6441.5,121560.66666666667,201.296875,0.9814814814814815,49.22564313081554,-3798.7708333333335,0.05032336692217449
CLEAR|WATCH,0.4,0.5,1827,65,1762,0.03557744937055282,116.85384615384615,68.33522512296634,7595.5,120406.66666666667,237.359375,0.9846153846153847,46.79245224762465,-3762.7083333333335,0.05933883931652199
CLEAR|WATCH,0.0,0.5,1827,80,1747,0.043787629994526546,116.275,67.94514405647777,9302.0,118700.16666666667,290.6875,0.9875,46.21360609377851,-3709.3802083333335,0.07267064489793792
CLEAR|WATCH,0.3,0.5,1827,72,1755,0.03940886699507389,111.13888888888889,68.37616334283001,8002.0,120000.16666666667,250.0625,0.9861111111111112,41.07749498266739,-3750.0052083333335,0.06251456681071804
CLEAR|WATCH,0.6,0.5,1827,35,1792,0.019157088122605363,110.1,69.27938988095238,3853.5,124148.66666666667,120.421875,0.9714285714285714,40.0386060937785,-3879.6458333333335,0.030104959160847537
CLEAR,0.0,0.5,1827,100,1727,0.05473453749315818,106.345,67.96043234896739,10634.5,117367.66666666667,332.328125,0.99,36.2836060937785,-3667.7395833333335,0.0830806249373383
CLEAR,0.4,0.5,1827,82,1745,0.04488232074438971,103.70121951219512,68.48061127029608,8503.5,119498.66666666667,265.734375,0.9878048780487805,33.63982560597363,-3734.3333333333335,0.0664324692420571
CLEAR,0.5,0.5,1827,67,1760,0.03667214012041598,103.67910447761194,68.78162878787879,6946.5,121055.66666666667,217.078125,0.9850746268656716,33.61771057139045,-3782.9895833333335,0.05426861264067145
CLEAR|WATCH,0.7,0.4,1827,69,1758,0.03776683087027915,103.3623188405797,68.7543610163064,7132.0,120870.16666666667,222.875,0.9855072463768116,33.30092493435821,-3777.1927083333335,0.055717806860040124
none,0.5,0.5,1827,69,1758,0.03776683087027915,102.2463768115942,68.79816078877512,7055.0,120947.16666666667,220.46875,0.9855072463768116,32.184982905372706,-3779.5989583333335,0.055116254542566336
CLEAR,0.7,0.4,1827,73,1754,0.039956212370005476,101.82191780821918,68.73954770049411,7433.0,120569.16666666667,232.28125,0.9863013698630136,31.760523901997686,-3767.7864583333335,0.0580693295556195
none,0.0,0.5,1827,110,1717,0.060207991242474,100.83181818181818,68.09007959619491,11091.5,116910.66666666667,346.609375,0.990909090909091,30.77042427559668,-3653.4583333333335,0.08665087700338406
none,0.7,0.4,1827,74,1753,0.04050355774493705,100.62162162162163,68.77134436204602,7446.0,120556.16666666667,232.6875,0.9864864864864865,30.56022771540013,-3767.3802083333335,0.0581708903364917
CLEAR,0.3,0.5,1827,91,1736,0.04980842911877394,100.62087912087912,68.45948540706605,9156.5,118845.66666666667,286.140625,0.989010989010989,30.559485214657627,-3713.9270833333335,0.07153394538894524
none,0.4,0.5,1827,90,1737,0.04926108374384237,98.88888888888889,68.56774131644599,8900.0,119102.16666666667,278.125,0.9888888888888889,28.82749498266739,-3721.9427083333335,0.06953007305865916
none,0.3,0.5,1827,99,1728,0.054187192118226604,96.4949494949495,68.54697145061729,9553.0,118449.16666666667,298.53125,0.98989898989899,26.433555588727998,-3701.5364583333335,0.07463154920554729
CLEAR,0.6,0.5,1827,44,1783,0.0240831964969896,96.06818181818181,69.41961114226959,4227.0,123775.16666666667,132.09375,0.9772727272727273,26.006787911960316,-3867.9739583333335,0.0330228785189834
none,0.6,0.5,1827,44,1783,0.0240831964969896,96.06818181818181,69.41961114226959,4227.0,123775.16666666667,132.09375,0.9772727272727273,26.006787911960316,-3867.9739583333335,0.0330228785189834
CLEAR|WATCH,0.0,0.4,1827,296,1531,0.1620142309797482,95.15033783783784,65.2107554974962,28164.5,99837.66666666667,880.140625,0.9831081081081081,25.088943931616342,-3119.9270833333335,0.22003143175961865
CLEAR|WATCH,0.7,0.3,1827,197,1630,0.10782703886152162,95.12182741116752,67.03261758691207,18739.0,109263.16666666667,585.59375,0.9898477157360406,25.06043350494602,-3414.4739583333335,0.14639595944339484
CLEAR,0.7,0.3,1827,215,1612,0.11767925561029009,93.87674418604651,66.88502894954509,20183.5,107818.66666666667,630.734375,0.9906976744186047,23.81535027982501,-3369.3333333333335,0.157680924671848
CLEAR|WATCH,0.4,0.4,1827,251,1576,0.13738368910782703,93.54780876494024,66.32085448392556,23480.5,104521.66666666667,733.765625,0.9840637450199203,23.486414858718746,-3266.3020833333335,0.18343830117458948
none,0.7,0.3,1827,219,1608,0.11986863711001643,92.90182648401826,66.95066334991708,20345.5,107656.66666666667,635.796875,0.9908675799086758,22.84043257779676,-3364.2708333333335,0.1589465282488708
CLEAR|WATCH,0.3,0.4,1827,278,1549,0.15216201423097975,92.77697841726619,65.98461372928772,25792.0,102210.16666666667,806.0,0.9820143884892086,22.715584511044696,-3194.0677083333335,0.20149658925044237
CLEAR|WATCH,0.5,0.4,1827,207,1620,0.11330049261083744,90.7536231884058,67.41738683127572,18786.0,109216.16666666667,587.0625,0.9806763285024155,20.6922292821843,-3413.0052083333335,0.14676314072808663
CLEAR|WATCH,0.6,0.4,1827,148,1679,0.0810071154898741,89.4391891891892,68.35328568592416,13237.0,114765.16666666667,413.65625,0.972972972972973,19.377795282967696,-3586.4114583333335,0.10341231203117655
