**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

mode,low_thr,high_thr,low_mult,high_mult,mean,median,min,pos_days,days_over_200,total
linear,-200,300,0.7,2.0,1504.5347516853599,1051.898850003016,-838.1314802664133,26,25,46640.57730224616
linear,-200,300,0.5,2.0,1450.6761180949914,975.5523734743842,-783.1397615946385,26,25,44970.95966094473
linear,-100,300,0.7,2.0,1417.0144721010108,927.8358256439893,-748.7699374247794,26,25,43927.44863513134
linear,-200,300,0.3,2.0,1396.8174845046226,899.2058969457523,-728.1480429228644,26,25,43301.3420196433
linear,-200,100,0.7,2.0,1798.3410290441936,1379.0919846919353,-1153.473420153823,26,24,55748.57190037
linear,-200,100,0.5,2.0,1789.6833612013381,1357.5272973511242,-1146.995846080112,26,24,55480.184197241484
linear,-200,100,0.3,2.0,1781.0256933584828,1332.110810672724,-1140.5182720064001,26,24,55211.79649411297
linear,-100,100,0.7,2.0,1770.2036085549125,1300.3402023247243,-1132.4213044142614,26,24,54876.31186520229
linear,-200,100,0.0,2.0,1768.0391915941987,1293.9860806551242,-1130.801910895833,26,24,54809.214939420155
linear,-100,100,0.5,2.0,1757.2171067906288,1262.215472307124,-1122.704943303694,26,24,54473.73031050949
linear,-100,100,0.3,2.0,1744.230605026345,1224.0907422895245,-1112.9885821931268,26,24,54071.1487558167
linear,-100,100,0.0,2.0,1724.7508523799202,1166.9036472631246,-1098.4140405272772,26,24,53467.276423777526
linear,-200,200,0.7,2.0,1651.4998526060679,1179.410354602847,-918.7108776539692,26,24,51196.495430788105
linear,-200,200,0.5,2.0,1620.251234541962,1122.6810326280352,-876.1159893495108,26,24,50227.788270800826
linear,-200,200,0.3,2.0,1589.0026164778558,1065.9517106532232,-833.5211010450525,26,24,49259.08111081353
linear,-100,200,0.7,2.0,1583.7945134671713,1056.4968236574216,-826.4219529943097,26,24,49097.629917482314
linear,-100,200,0.5,2.0,1542.1296893816975,980.857727691006,-769.6287685883658,26,24,47806.02037083262
linear,-200,200,0.0,2.0,1542.1296893816973,980.8577276910058,-769.6287685883658,26,24,47806.020370832615
linear,-200,100,0.7,1.5,1356.331231145644,1026.4531297571484,-870.772942429864,26,24,42046.268165514964
linear,-100,300,0.5,2.0,1349.6911801130502,832.4027299831998,-680.0302890850612,26,24,41840.42658350456
linear,-200,100,0.5,1.5,1347.6735633027881,1034.0307771873427,-864.295368356153,26,24,41777.880462386434
linear,-200,100,0.3,1.5,1339.0158954599324,1008.614290508943,-857.8177942824416,26,24,41509.492759257904
linear,-100,100,0.7,1.5,1339.0158954599324,1008.614290508943,-857.8177942824416,26,24,41509.492759257904
