entry_ts,entry_price,leg_dir,r_price,actual_peak_price,leg_end_ts,baseline_exit_ts,baseline_exit_price,baseline_exit_idx,composite_exit_ts,composite_exit_price,composite_exit_idx,composite_exit_zone,edge_pts,edge_usd,day,atr_pts
1773990119,24495.833333333332,LONG,33.0,24614.5,1773994529,1773994529,24614.25,882,1773990149,24487.0,6,AT_PIVOT,-127.25,-254.5,2026_03_20,8.25
1773994529,24614.5,SHORT,33.0,24558.0,1773995429,1773995429,24560.0,180,1773995369,24575.5,168,IMMINENT,-15.5,-31.0,2026_03_20,8.25
1773995429,24558.0,LONG,33.0,24602.25,1773995729,1773995729,24594.75,60,1773995594,24563.0,33,WATCH,-31.75,-63.5,2026_03_20,8.25
1773995729,24602.5,SHORT,33.0,24545.5,1773997529,1773997529,24549.5,360,1773997309,24564.0,316,NEAR_3m,-14.5,-29.0,2026_03_20,8.25
1773997529,24540.5,LONG,33.0,24584.25,1773997829,1773997829,24577.75,60,1773997554,24541.75,5,NEAR_PIVOT,-36.0,-72.0,2026_03_20,8.25
1773997829,24584.25,SHORT,33.0,24323.75,1774001429,1774001429,24323.75,720,1773997899,24576.75,14,NEAR_PIVOT,-253.0,-506.0,2026_03_20,8.25
1774001429,24321.25,LONG,33.0,24429.5,1774003349,1774003349,24425.5,384,1774001599,24347.0,34,NEAR_PIVOT,-78.5,-157.0,2026_03_20,8.25
1774003349,24429.5,SHORT,33.0,24402.5,1774003889,1774003889,24404.0,108,1774003379,24427.75,6,NEAR_PIVOT,-23.75,-47.5,2026_03_20,8.25
1774003889,24396.25,LONG,33.0,24466.5,1774005749,1774005749,24463.75,372,1774004059,24404.75,34,NEAR_PIVOT,-59.0,-118.0,2026_03_20,8.25
1774005749,24466.5,SHORT,33.0,24412.75,1774007489,1774007489,24412.75,348,1774005954,24454.0,41,NEAR_PIVOT,-41.25,-82.5,2026_03_20,8.25
1774007489,24410.5,LONG,33.0,24458.5,1774008029,1774008029,24456.0,108,1774007569,24416.25,16,NEAR_PIVOT,-39.75,-79.5,2026_03_20,8.25
1774008029,24465.0,SHORT,33.0,24436.25,1774008269,1774008269,24445.75,48,1774008164,24445.25,27,NEAR_PIVOT,0.5,1.0,2026_03_20,8.25
1774008269,24432.0,LONG,33.0,24497.25,1774008629,1774008629,24494.25,72,1774008289,24433.5,4,NEAR_PIVOT,-60.75,-121.5,2026_03_20,8.25
1774008629,24497.25,SHORT,33.0,24445.0,1774009049,1774009049,24448.75,84,1774009049,24448.75,84,IMMINENT,0.0,0.0,2026_03_20,8.25
1774009049,24445.0,LONG,33.0,24496.0,1774009769,1774009769,24495.0,144,1774009134,24454.5,17,NEAR_PIVOT,-40.5,-81.0,2026_03_20,8.25
1774009769,24496.0,SHORT,33.0,24445.5,1774010549,1774010549,24445.5,156,1774010039,24474.25,54,NEAR_PIVOT,-28.75,-57.5,2026_03_20,8.25
1774010549,24443.5,LONG,33.0,24508.25,1774011749,1774011749,24497.75,240,1774010824,24472.0,55,NEAR_PIVOT,-25.75,-51.5,2026_03_20,8.25
1774011749,24508.25,SHORT,33.0,24460.75,1774012349,1774012349,24462.75,120,1774012044,24478.75,59,IMMINENT,-16.0,-32.0,2026_03_20,8.25
1774012349,24459.5,LONG,33.0,24517.5,1774013129,1774013129,24515.25,156,1774013129,24515.25,156,WATCH,0.0,0.0,2026_03_20,8.25
1774013129,24526.5,SHORT,33.0,24386.0,1774013669,1774013669,24389.75,108,1774013159,24526.5,6,NEAR_PIVOT,-136.75,-273.5,2026_03_20,8.25
1774013669,24386.0,LONG,33.0,24463.5,1774014329,1774013899,24387.75,46,1774013704,24388.0,7,NEAR_PIVOT,0.25,0.5,2026_03_20,8.25
1774014329,24465.0,SHORT,33.0,24276.5,1774015289,1774015289,24278.5,192,1774014354,24465.0,5,NEAR_PIVOT,-186.5,-373.0,2026_03_20,8.25
1774015289,24265.75,LONG,33.0,24325.5,1774015649,1774015649,24315.5,72,1774015299,24272.25,2,NEAR_PIVOT,-43.25,-86.5,2026_03_20,8.25
1774015649,24325.5,SHORT,33.0,24243.5,1774016069,1774015804,24303.75,31,1774015674,24303.5,5,NEAR_PIVOT,0.25,0.5,2026_03_20,8.25
1774016069,24241.0,LONG,33.0,24295.0,1774016249,1774016249,24286.5,36,1774016149,24266.75,16,NEAR_PIVOT,-19.75,-39.5,2026_03_20,8.25
1774016249,24292.75,SHORT,33.0,24254.0,1774016609,1774016609,24269.0,72,1774016254,24294.75,1,NEAR_PIVOT,-25.75,-51.5,2026_03_20,8.25
1774016609,24254.0,LONG,33.0,24326.25,1774017389,1774017389,24322.5,156,1774016654,24268.75,9,NEAR_PIVOT,-53.75,-107.5,2026_03_20,8.25
1774017389,24326.25,SHORT,33.0,24238.25,1774018469,1774017799,24299.5,82,1774017439,24295.0,10,AT_PIVOT,4.5,9.0,2026_03_20,8.25
1774018469,24232.5,LONG,33.0,24306.0,1774018829,1774018829,24306.0,72,1774018484,24232.5,3,NEAR_PIVOT,-73.5,-147.0,2026_03_20,8.25
1774018829,24316.0,SHORT,33.0,24238.75,1774019309,1774019119,24278.25,58,1774018849,24314.5,4,NEAR_PIVOT,-36.25,-72.5,2026_03_20,8.25
1774019309,24238.75,LONG,33.0,24306.25,1774019669,1774019669,24305.25,72,1774019464,24270.0,31,NEAR_PIVOT,-35.25,-70.5,2026_03_20,8.25
1774019669,24310.0,SHORT,33.0,24251.25,1774020149,1774020149,24257.0,96,1774019744,24308.25,15,NEAR_PIVOT,-51.25,-102.5,2026_03_20,8.25
1774020149,24251.25,LONG,33.0,24348.75,1774022669,1774020249,24298.25,20,1774020229,24321.0,16,NEAR_3m,22.75,45.5,2026_03_20,8.25
1774022669,24353.25,SHORT,33.0,24312.5,1774022969,1774022969,24319.5,60,1774022754,24339.25,17,NEAR_PIVOT,-19.75,-39.5,2026_03_20,8.25
1774022969,24312.5,LONG,33.0,24350.25,1774023629,1774023629,24350.25,132,1774023164,24340.75,39,IMMINENT,-9.5,-19.0,2026_03_20,8.25
1774023629,24355.0,SHORT,33.0,24237.0,1774025549,1774025549,24237.75,384,1774023769,24344.25,28,NEAR_PIVOT,-106.5,-213.0,2026_03_20,8.25
1774025549,24237.0,LONG,33.0,24299.0,1774025849,1774025849,24295.5,60,1774025679,24259.5,26,NEAR_PIVOT,-36.0,-72.0,2026_03_20,8.25
1774025849,24299.0,SHORT,33.0,24251.25,1774026329,1774026329,24258.25,96,1774025934,24289.0,17,NEAR_PIVOT,-30.75,-61.5,2026_03_20,8.25
1774026329,24229.25,LONG,33.0,24269.5,1774026509,1774026509,24267.0,36,1774026339,24237.0,2,NEAR_5m,-30.0,-60.0,2026_03_20,8.25
1774026509,24281.5,SHORT,33.0,24169.75,1774028249,1774028249,24173.0,348,1774026529,24277.75,4,NEAR_PIVOT,-104.75,-209.5,2026_03_20,8.25
1774028249,24169.75,LONG,33.0,24202.25,1774028429,1774028429,24202.25,36,1774028324,24176.5,15,NEAR_PIVOT,-25.75,-51.5,2026_03_20,8.25
1774028429,24209.0,SHORT,33.0,24176.75,1774028849,1774028849,24176.75,84,1774028569,24191.75,28,NEAR_PIVOT,-15.0,-30.0,2026_03_20,8.25
1774028849,24171.25,LONG,33.0,24217.75,1774029629,1774029629,24217.75,156,1774028979,24176.75,26,NEAR_PIVOT,-41.0,-82.0,2026_03_20,8.25
