b6_thr,hysteresis,tight_mult,n_legs,edge_mean_per_leg,edge_ci_lo,edge_ci_hi,pos_pct,neg_pct,zero_pct,mean_per_day,median_per_day,positive_days,total_days,tighten_activation_rate
0.7,5,0.5,1827,-0.2868089764641489,-0.5547550629447181,-0.08620689655172414,0.0,0.004378762999452655,0.9956212370005474,-16.375,0.0,0,32,0.0016881707464126371
0.7,5,0.3,1827,-0.6278051450465244,-1.0341748768472907,-0.3032224958949097,0.0005473453749315818,0.009304871373836891,0.9901477832512315,-35.84375,0.0,1,32,0.0016881707464126371
0.6,5,0.5,1827,-1.7889983579638753,-2.608244389709907,-1.1225711548987412,0.004378762999452655,0.020251778872468526,0.9753694581280788,-102.140625,0.0,3,32,0.010340045821777402
0.7,3,0.5,1827,-2.2766830870279144,-3.2559386973180073,-1.4723385331143954,0.0060207991242474,0.02681992337164751,0.9671592775041051,-129.984375,-20.5,3,32,0.0116966116001447
0.6,5,0.3,1827,-3.0938697318007664,-4.138608374384236,-2.204905582922825,0.005473453749315818,0.03940886699507389,0.9551176792556103,-176.640625,-49.5,3,32,0.010340045821777402
0.5,5,0.5,1827,-3.7085385878489325,-4.865407772304325,-2.7605090311986866,0.009304871373836891,0.042692939244663386,0.9480021893814997,-211.734375,-63.5,0,32,0.026829856505486555
0.7,3,0.3,1827,-3.8144499178981937,-4.9042350848385325,-2.838471538040504,0.006568144499178982,0.05582922824302135,0.9376026272577996,-217.78125,-44.5,1,32,0.0116966116001447
0.6,3,0.5,1827,-5.5311986863711,-6.9285919540229886,-4.2723248494800234,0.019157088122605363,0.0722495894909688,0.9085933223864259,-315.796875,-120.0,2,32,0.03638610876642952
0.5,5,0.3,1827,-5.547892720306513,-6.889730432402846,-4.350766283524905,0.010946907498631636,0.07389162561576355,0.9151614668856048,-316.75,-160.5,0,32,0.026829856505486555
0.7,1,0.5,1827,-7.221127531472359,-8.665934592227696,-5.769553913519433,0.04324028461959496,0.11001642036124795,0.8467432950191571,-412.28125,-260.0,0,32,0.06267333896056916
0.5,3,0.5,1827,-7.8303229337712095,-9.465845648604269,-6.326703612479475,0.03284072249589491,0.10673234811165845,0.8604269293924466,-447.0625,-228.75,1,32,0.06568792957916315
0.6,3,0.3,1827,-8.673508483853311,-10.388102079912425,-7.092597153804051,0.0240831964969896,0.1297208538587849,0.8461959496442255,-495.203125,-230.0,1,32,0.03638610876642952
0.5,3,0.3,1827,-11.969896004378763,-13.910351669403394,-10.197728516694037,0.037219485495347565,0.18007662835249041,0.782703886152162,-683.40625,-478.25,0,32,0.06568792957916315
0.6,1,0.5,1827,-12.637657361795293,-14.578441434044882,-10.785331143951835,0.06896551724137931,0.18500273672687464,0.746031746031746,-721.53125,-474.75,0,32,0.12037260340045822
0.7,1,0.3,1827,-12.718938149972633,-14.573761631089218,-10.84664066776136,0.04871373836891078,0.20525451559934318,0.746031746031746,-726.171875,-506.25,0,32,0.06267333896056916
0.5,1,0.5,1827,-15.92008757525999,-18.044081828133553,-13.948255336617406,0.08648056923918993,0.23700054734537493,0.6765188834154351,-908.9375,-702.0,1,32,0.16411431327625708
0.6,1,0.3,1827,-19.513409961685824,-21.826477832512317,-17.339470443349754,0.0722495894909688,0.31527093596059114,0.6124794745484401,-1114.09375,-856.0,0,32,0.12037260340045822
0.5,1,0.3,1827,-23.24575807334428,-25.70992747673782,-20.965448823207446,0.08976464148877943,0.37219485495347565,0.5380405035577449,-1327.1875,-1046.75,0,32,0.16411431327625708
