day,n_bars,raw_cov,raw_acc,sm_cov,sm_acc
2026_03_20,769,0.09102730819245773,0.8714285714285714,0.9713914174252276,0.5515394912985274
2026_03_22,458,0.3646288209606987,0.7125748502994012,0.9978165938864629,0.6849015317286652
2026_03_23,1286,0.24650077760497668,0.7287066246056783,1.0,0.6415241057542769
2026_03_24,1354,0.4276218611521418,0.694300518134715,1.0,0.6225997045790251
2026_03_25,1336,0.6452095808383234,0.7169373549883991,0.9985029940119761,0.6664167916041979
2026_03_26,1342,0.47540983606557374,0.6755485893416928,1.0,0.6564828614008942
2026_03_27,800,0.48,0.7942708333333334,1.0,0.755
2026_03_29,468,0.6858974358974359,0.6978193146417445,1.0,0.6858974358974359
2026_03_30,1340,0.6522388059701493,0.6750572082379863,1.0,0.676865671641791
2026_03_31,1117,0.5756490599820949,0.6391912908242613,1.0,0.5962399283795882
2026_04_01,1333,0.5663915978994749,0.6211920529801325,1.0,0.6324081020255063
2026_04_02,1288,0.7166149068322981,0.5969664138678223,1.0,0.5636645962732919
2026_04_03,295,0.9864406779661017,0.5189003436426117,1.0,0.4576271186440678
2026_04_05,532,0.7800751879699248,0.7156626506024096,0.9981203007518797,0.7401129943502824
2026_04_06,1302,0.6835637480798771,0.6651685393258427,1.0,0.6582181259600615
2026_04_07,1333,0.46886721680420107,0.6528,1.0,0.568642160540135
2026_04_08,1315,0.6342205323193917,0.6714628297362111,0.9977186311787072,0.6341463414634146
2026_04_09,1255,0.7155378486055777,0.6726057906458798,1.0,0.6119521912350597
2026_04_10,773,0.6597671410090556,0.7058823529411765,1.0,0.5666235446313066
2026_04_12,503,0.8011928429423459,0.6476426799007444,0.9980119284294234,0.5856573705179283
2026_04_13,1341,0.8941088739746458,0.658882402001668,1.0,0.6040268456375839
2026_04_14,1323,0.8533635676492819,0.687333923826395,1.0,0.6258503401360545
2026_04_15,1350,0.8088888888888889,0.6401098901098901,1.0,0.6140740740740741
2026_04_16,1315,0.8821292775665399,0.6879310344827586,1.0,0.6326996197718631
2026_04_17,800,0.71375,0.5814360770577933,1.0,0.52625
2026_04_19,460,0.782608695652174,0.7111111111111111,1.0,0.6934782608695652
2026_04_20,1290,0.8891472868217054,0.6826503923278117,1.0,0.6170542635658914
2026_04_21,1321,0.7562452687358062,0.6056056056056056,1.0,0.546555639666919
2026_04_22,1279,0.764659890539484,0.623721881390593,1.0,0.5801407349491791
2026_04_23,1321,0.7789553368660106,0.6423712342079689,1.0,0.5813777441332324
2026_04_24,791,0.7243994943109987,0.5706806282722513,1.0,0.5398230088495575
2026_04_26,180,0.75,0.4148148148148148,1.0,0.3
