day,pivot_ts,pivot_dir_new,pivot_price,atr_pts,r_price,r_trigger_ts,r_trigger_price,imminent_ts,imminent_price,edge_pts,edge_usd,leadtime_s,imminent_before_rtrig
2026_03_20,1773990119,LONG,24495.833333333332,8.25,33.0,1773990959,24532.75,,,,,,False
2026_03_20,1773994529,SHORT,24614.5,8.25,33.0,1773995224,24580.5,,,,,,False
2026_03_20,1773995429,LONG,24558.0,8.25,33.0,1773995674,24591.0,,,,,,False
2026_03_20,1773995729,SHORT,24602.5,8.25,33.0,1773996169,24569.5,,,,,,False
2026_03_20,1773997529,LONG,24540.5,8.25,33.0,1773997779,24573.75,,,,,,False
2026_03_20,1773997829,SHORT,24584.25,8.25,33.0,1773998064,24549.25,,,,,,False
2026_03_20,1774001429,LONG,24321.25,8.25,33.0,1774001534,24354.25,1774000319.0,24434.25,-80.0,-160.0,1215.0,True
2026_03_20,1774003349,SHORT,24429.5,8.25,33.0,1774003899,24396.25,1774001459.0,24327.5,-68.75,-137.5,2440.0,True
2026_03_20,1774003889,LONG,24396.25,8.25,33.0,1774004574,24430.5,,,,,,False
2026_03_20,1774005749,SHORT,24466.5,8.25,33.0,1774006689,24433.25,,,,,,False
2026_03_20,1774007489,LONG,24410.5,8.25,33.0,1774007874,24445.25,,,,,,False
2026_03_20,1774008029,SHORT,24465.0,8.25,33.0,1774008294,24432.0,,,,,,False
2026_03_20,1774008269,LONG,24432.0,8.25,33.0,1774008459,24465.25,,,,,,False
2026_03_20,1774008629,SHORT,24497.25,8.25,33.0,1774008989,24462.25,,,,,,False
2026_03_20,1774009049,LONG,24445.0,8.25,33.0,1774009704,24480.25,,,,,,False
2026_03_20,1774009769,SHORT,24496.0,8.25,33.0,1774009929,24463.0,,,,,,False
2026_03_20,1774010549,LONG,24443.5,8.25,33.0,1774010799,24476.75,,,,,,False
2026_03_20,1774011749,SHORT,24508.25,8.25,33.0,1774012009,24472.0,,,,,,False
2026_03_20,1774012349,LONG,24459.5,8.25,33.0,1774012969,24492.5,,,,,,False
2026_03_20,1774013129,SHORT,24526.5,8.25,33.0,1774013384,24492.5,,,,,,False
2026_03_20,1774013669,LONG,24386.0,8.25,33.0,1774013829,24421.25,1774013819.0,24412.0,9.25,18.5,10.0,True
2026_03_20,1774014329,SHORT,24465.0,8.25,33.0,1774014394,24423.5,1774013819.0,24412.0,-11.5,-23.0,575.0,True
2026_03_20,1774015289,LONG,24265.75,8.25,33.0,1774015389,24309.25,1774014359.0,24456.5,-147.25,-294.5,1030.0,True
2026_03_20,1774015649,SHORT,24325.5,8.25,33.0,1774015709,24285.75,1774015319.0,24271.75,-14.0,-28.0,390.0,True
2026_03_20,1774016069,LONG,24241.0,8.25,33.0,1774016139,24275.0,1774015679.0,24301.0,-26.0,-52.0,460.0,True
2026_03_20,1774016249,SHORT,24292.75,8.25,33.0,1774016519,24259.5,1774016099.0,24255.5,-4.0,-8.0,420.0,True
