level,parent_motif_idx,seg_idx,start_ts,end_ts,start_iso,end_iso,length_min,slope_pts_per_min,mean_sigma,sigma_rank_mid,r2adj,shape_class,shape_pearson_r,peak_abs_z,tod_start_hour_utc,net_move_pts,day,split,sequence_position,prev_seg_shape,next_seg_idx,next_seg_continued,ride_pnl_pts,fade_pnl_pts,max_mfe_ride_pts,max_mae_ride_pts,max_mfe_fade_pts,max_mae_fade_pts,time_to_max_z_min,time_to_revert_min,resolved_as_cascade,extended_60m,extended_120m
motif,-1,0,1735772400,1735775995,2025-01-01T23:00:00+00:00,2025-01-01T23:59:55+00:00,59.92,,11.852,,0.528,NOISE,-999.0,23.476,23,0.75,2025_01_01,IS,0,NONE,-1,False,0.0,-0.0,51.75,-23.25,23.25,-51.75,5.08,5.17,False,False,False
motif,-1,0,1735776000,1735805700,2025-01-02T00:00:00+00:00,2025-01-02T08:15:00+00:00,495.0,,32.378,0.107,0.792,NOISE,-999.0,3.997,0,155.0,2025_01_02,IS,0,NONE,5,False,0.0,-0.0,157.25,-136.75,136.75,-157.25,494.17,,False,True,True
motif,-1,1,1735805700,1735807500,2025-01-02T08:15:00+00:00,2025-01-02T08:45:00+00:00,30.0,-0.0465,18.708,0.726,0.685,FLATLINE,0.0,2.584,8,-76.0,2025_01_02,IS,1,NOISE,4,False,76.0,-76.0,95.0,-0.0,0.0,-95.0,19.25,27.42,False,False,False
motif,-1,2,1735807500,1735812000,2025-01-02T08:45:00+00:00,2025-01-02T10:00:00+00:00,75.0,0.0944,20.886,0.945,0.342,FLATLINE,0.0,1.601,8,61.25,2025_01_02,IS,2,FLATLINE,3,True,61.25,-61.25,61.25,-5.25,5.25,-61.25,75.0,,False,True,False
motif,-1,3,1735812000,1735815600,2025-01-02T10:00:00+00:00,2025-01-02T11:00:00+00:00,60.0,0.1024,22.787,0.892,0.015,FLATLINE,0.0,1.347,10,-7.25,2025_01_02,IS,3,FLATLINE,2,True,-7.25,7.25,3.25,-45.75,45.75,-3.25,13.83,13.92,False,True,False
motif,-1,4,1735815600,1735826400,2025-01-02T11:00:00+00:00,2025-01-02T14:00:00+00:00,180.0,0.3041,28.738,0.993,0.116,LINEAR_UP,0.989,5.317,11,15.75,2025_01_02,IS,4,FLATLINE,1,False,15.75,-15.75,91.0,-27.0,27.0,-91.0,76.67,77.67,True,True,True
motif,-1,5,1735826400,1735848900,2025-01-02T14:00:00+00:00,2025-01-02T20:15:00+00:00,375.0,-0.9539,83.34,0.064,0.654,LINEAR_DOWN,0.989,6.534,14,-263.25,2025_01_02,IS,5,LINEAR_UP,0,False,263.25,-263.25,426.0,-27.75,27.75,-426.0,230.0,328.25,True,True,True
motif,-1,6,1735848900,1735862395,2025-01-02T20:15:00+00:00,2025-01-02T23:59:55+00:00,224.92,0.3541,45.72,0.898,0.016,LINEAR_UP,0.98,2.623,20,12.0,2025_01_02,IS,6,LINEAR_DOWN,-1,False,12.0,-12.0,51.75,-29.0,29.0,-51.75,74.25,76.0,False,True,True
motif,-1,0,1735862400,1735866900,2025-01-03T00:00:00+00:00,2025-01-03T01:15:00+00:00,75.0,,14.661,0.507,0.825,NOISE,-999.0,2.303,0,78.25,2025_01_03,IS,0,NONE,11,False,0.0,-0.0,85.75,-6.75,6.75,-85.75,69.33,,False,True,False
motif,-1,1,1735866900,1735869600,2025-01-03T01:15:00+00:00,2025-01-03T02:00:00+00:00,45.0,-0.0336,15.462,0.504,0.218,FLATLINE,0.0,1.276,1,-16.5,2025_01_03,IS,1,NOISE,10,False,16.5,-16.5,34.25,-1.0,1.0,-34.25,30.92,31.5,False,False,False
motif,-1,2,1735869600,1735876800,2025-01-03T02:00:00+00:00,2025-01-03T04:00:00+00:00,120.0,0.1278,12.707,0.279,0.526,EXPONENTIAL_UP,0.987,2.187,2,25.25,2025_01_03,IS,2,FLATLINE,9,True,25.25,-25.25,35.75,-2.0,2.0,-35.75,86.0,112.25,False,True,True
motif,-1,3,1735876800,1735879500,2025-01-03T04:00:00+00:00,2025-01-03T04:45:00+00:00,45.0,0.0606,12.308,0.537,0.507,FLATLINE,0.0,1.107,4,-15.25,2025_01_03,IS,3,EXPONENTIAL_UP,8,False,-15.25,15.25,4.5,-19.25,19.25,-4.5,44.25,,False,False,False
motif,-1,4,1735879500,1735889400,2025-01-03T04:45:00+00:00,2025-01-03T07:30:00+00:00,165.0,-0.0734,10.677,0.938,0.153,LINEAR_DOWN,0.991,2.996,4,1.5,2025_01_03,IS,4,FLATLINE,7,False,-1.5,1.5,26.25,-21.5,21.5,-26.25,37.17,107.75,False,True,True
motif,-1,5,1735889400,1735893000,2025-01-03T07:30:00+00:00,2025-01-03T08:30:00+00:00,60.0,0.1181,10.08,0.867,0.23,FLATLINE,0.0,4.372,7,-10.75,2025_01_03,IS,5,LINEAR_DOWN,6,True,-10.75,10.75,38.0,-10.75,10.75,-38.0,44.67,,True,True,False
motif,-1,6,1735893000,1735901100,2025-01-03T08:30:00+00:00,2025-01-03T10:45:00+00:00,135.0,0.1373,17.289,0.976,0.254,EXPONENTIAL_UP,0.984,2.919,8,29.5,2025_01_03,IS,6,FLATLINE,5,False,29.5,-29.5,62.5,-11.25,11.25,-62.5,55.08,60.17,False,True,True
motif,-1,7,1735901100,1735902900,2025-01-03T10:45:00+00:00,2025-01-03T11:15:00+00:00,30.0,-0.1396,19.27,0.408,0.779,FLATLINE,0.0,1.839,10,-25.5,2025_01_03,IS,7,EXPONENTIAL_UP,4,False,25.5,-25.5,34.75,-2.0,2.0,-34.75,25.0,,False,False,False
motif,-1,8,1735902900,1735905600,2025-01-03T11:15:00+00:00,2025-01-03T12:00:00+00:00,45.0,0.0944,18.684,0.048,0.368,FLATLINE,0.0,1.214,11,15.5,2025_01_03,IS,8,FLATLINE,3,False,15.5,-15.5,22.75,-1.5,1.5,-22.75,12.5,15.33,False,False,False
motif,-1,9,1735905600,1735910100,2025-01-03T12:00:00+00:00,2025-01-03T13:15:00+00:00,75.0,-0.1894,14.68,0.06,0.515,FLATLINE,0.0,2.635,12,10.25,2025_01_03,IS,9,FLATLINE,2,False,-10.25,10.25,34.75,-23.25,23.25,-34.75,19.83,69.67,False,True,False
motif,-1,10,1735910100,1735911900,2025-01-03T13:15:00+00:00,2025-01-03T13:45:00+00:00,30.0,0.0215,10.503,0.244,0.546,FLATLINE,0.0,2.837,13,3.0,2025_01_03,IS,10,FLATLINE,1,True,3.0,-3.0,18.5,-9.25,9.25,-18.5,21.25,21.5,False,False,False
motif,-1,11,1735911900,1735938900,2025-01-03T13:45:00+00:00,2025-01-03T21:15:00+00:00,450.0,0.6173,44.6,0.003,0.792,LINEAR_UP,0.993,9.597,13,226.25,2025_01_03,IS,11,FLATLINE,0,False,226.25,-226.25,300.75,-29.75,29.75,-300.75,357.75,,True,True,True
motif,-1,12,1735938900,1735941595,2025-01-03T21:15:00+00:00,2025-01-03T21:59:55+00:00,44.92,-0.1067,19.439,0.286,0.059,FLATLINE,0.0,2.249,21,9.25,2025_01_03,IS,12,LINEAR_UP,-1,False,-9.25,9.25,6.25,-11.25,11.25,-6.25,20.67,20.83,False,False,False
motif,-1,0,1736118000,1736121595,2025-01-05T23:00:00+00:00,2025-01-05T23:59:55+00:00,59.92,,9.072,,0.028,FLATLINE,0.0,2.193,23,-5.5,2025_01_05,IS,0,NONE,-1,False,0.0,-0.0,8.75,-26.75,26.75,-8.75,35.0,35.08,False,False,False
motif,-1,0,1736121600,1736127900,2025-01-06T00:00:00+00:00,2025-01-06T01:45:00+00:00,105.0,,9.276,0.835,0.441,NOISE,-999.0,5.096,0,-39.0,2025_01_06,IS,0,NONE,3,False,0.0,-0.0,1.25,-51.75,51.75,-1.25,41.25,53.75,True,True,False
motif,-1,1,1736127900,1736184600,2025-01-06T01:45:00+00:00,2025-01-06T17:30:00+00:00,945.0,0.3776,26.043,0.917,0.955,EXPONENTIAL_UP,0.991,11.269,1,328.0,2025_01_06,IS,1,NOISE,2,False,328.0,-328.0,402.5,-8.5,8.5,-402.5,866.08,,True,True,True
motif,-1,2,1736184600,1736197200,2025-01-06T17:30:00+00:00,2025-01-06T21:00:00+00:00,210.0,-0.6128,45.289,1.0,0.588,LINEAR_DOWN,0.979,3.068,17,-62.5,2025_01_06,IS,2,EXPONENTIAL_UP,1,True,62.5,-62.5,170.5,-14.5,14.5,-170.5,150.17,153.92,False,True,True
motif,-1,3,1736197200,1736199000,2025-01-06T21:00:00+00:00,2025-01-06T21:30:00+00:00,30.0,-0.0229,36.243,0.122,0.479,FLATLINE,0.0,1.614,21,16.0,2025_01_06,IS,3,LINEAR_DOWN,0,False,-16.0,16.0,1.25,-24.75,24.75,-1.25,15.5,22.83,False,False,False
motif,-1,4,1736199000,1736207995,2025-01-06T21:30:00+00:00,2025-01-06T23:59:55+00:00,149.92,0.1752,39.647,0.917,0.074,FLATLINE,0.0,1.609,21,-2.5,2025_01_06,IS,4,FLATLINE,-1,False,-2.5,2.5,22.0,-5.25,5.25,-22.0,91.5,127.67,False,True,True
motif,-1,0,1736208000,1736210700,2025-01-07T00:00:00+00:00,2025-01-07T00:45:00+00:00,45.0,,2.512,,0.472,NOISE,-999.0,6.364,0,7.0,2025_01_07,IS,0,NONE,9,False,0.0,-0.0,8.5,-12.5,12.5,-8.5,5.17,,False,False,False
motif,-1,1,1736210700,1736214305,2025-01-07T00:45:00+00:00,2025-01-07T01:45:05+00:00,60.08,-0.1367,8.475,0.83,0.609,FLATLINE,0.0,2.368,0,-27.25,2025_01_07,IS,1,NOISE,8,False,27.25,-27.25,32.5,-0.25,0.25,-32.5,43.92,,False,True,False
motif,-1,2,1736214305,1736217000,2025-01-07T01:45:05+00:00,2025-01-07T02:30:00+00:00,44.92,0.0704,9.329,0.569,0.892,FLATLINE,0.0,2.2,1,24.75,2025_01_07,IS,2,FLATLINE,7,False,24.75,-24.75,31.0,-0.75,0.75,-31.0,37.75,,False,False,False
motif,-1,3,1736217000,1736235900,2025-01-07T02:30:00+00:00,2025-01-07T07:45:00+00:00,315.0,-0.1873,15.967,0.926,0.553,LINEAR_DOWN,0.989,4.74,2,-65.75,2025_01_07,IS,3,FLATLINE,6,False,65.75,-65.75,114.5,-1.25,1.25,-114.5,174.58,184.67,True,True,True
motif,-1,4,1736235900,1736237700,2025-01-07T07:45:00+00:00,2025-01-07T08:15:00+00:00,30.0,0.0062,13.146,0.447,0.189,FLATLINE,0.0,1.995,7,-3.75,2025_01_07,IS,4,LINEAR_DOWN,5,True,-3.75,3.75,22.5,-3.75,3.75,-22.5,15.0,,False,False,False
motif,-1,5,1736237700,1736249400,2025-01-07T08:15:00+00:00,2025-01-07T11:30:00+00:00,195.0,0.2549,19.374,0.738,0.231,LINEAR_UP,0.997,4.062,8,56.0,2025_01_07,IS,5,FLATLINE,4,False,56.0,-56.0,65.75,-1.75,1.75,-65.75,57.67,90.67,True,True,True
