tod_hour,sigma_rank_q,n,P_cat_60m,cilo,cihi
0,0,362,0.0027,0.0001,0.0101
0,1,1285,0.0008,0.0,0.0029
0,2,4552,0.0002,0.0,0.0008
0,3,336,0.003,0.0001,0.0109
0,4,229,0.0043,0.0001,0.0159
1,0,1649,0.2901,0.2685,0.3122
1,1,2990,0.3075,0.2911,0.3241
1,2,5089,0.2528,0.241,0.2648
1,3,2799,0.2081,0.1933,0.2234
1,4,2179,0.2068,0.1901,0.224
2,0,2295,0.0971,0.0853,0.1095
2,1,2740,0.1025,0.0914,0.1141
2,2,3287,0.0833,0.0741,0.093
2,3,2725,0.0462,0.0386,0.0544
2,4,2645,0.0472,0.0395,0.0556
3,0,4451,0.0355,0.0302,0.0411
3,1,2844,0.0369,0.0303,0.0441
3,2,2147,0.0293,0.0226,0.0369
3,3,1686,0.0113,0.0068,0.0168
3,4,1811,0.0105,0.0063,0.0157
4,0,4773,0.0281,0.0236,0.0329
4,1,2754,0.0258,0.0202,0.032
4,2,2006,0.0174,0.0122,0.0236
4,3,1252,0.0096,0.005,0.0157
4,4,1362,0.0059,0.0025,0.0106
5,0,4267,0.0387,0.0331,0.0446
5,1,2915,0.0346,0.0283,0.0416
5,2,2909,0.044,0.0368,0.0517
5,3,1489,0.0195,0.0131,0.027
5,4,1403,0.0242,0.0168,0.0329
6,0,2880,0.0409,0.034,0.0485
6,1,2735,0.0453,0.0378,0.0534
6,2,3045,0.0476,0.0403,0.0554
6,3,2767,0.0155,0.0113,0.0205
6,4,2408,0.0129,0.0088,0.0177
7,0,2509,0.0219,0.0165,0.028
7,1,3070,0.0143,0.0104,0.0188
7,2,3179,0.0308,0.0251,0.0371
7,3,3315,0.0121,0.0086,0.016
7,4,2878,0.0132,0.0094,0.0177
8,0,2927,0.0195,0.0148,0.0248
8,1,3043,0.0315,0.0256,0.038
8,2,3055,0.035,0.0288,0.0418
8,3,3467,0.0046,0.0026,0.0071
8,4,2989,0.0064,0.0038,0.0095
9,0,3442,0.0267,0.0216,0.0324
9,1,2898,0.0238,0.0186,0.0296
9,2,2723,0.0176,0.013,0.0229
9,3,3120,0.017,0.0127,0.0218
9,4,2727,0.0169,0.0124,0.022
10,0,4515,0.0128,0.0098,0.0163
10,1,3022,0.0175,0.0132,0.0225
10,2,2478,0.0081,0.0049,0.0119
10,3,2483,0.0072,0.0043,0.0109
10,4,2166,0.0092,0.0056,0.0137
11,0,4968,0.0163,0.013,0.02
11,1,3744,0.0176,0.0137,0.0221
11,2,2813,0.0121,0.0084,0.0164
11,3,1999,0.025,0.0186,0.0323
11,4,1652,0.0278,0.0204,0.0363
12,0,3704,0.0297,0.0245,0.0354
12,1,3704,0.0308,0.0254,0.0366
12,2,3527,0.0303,0.0249,0.0362
12,3,2796,0.0225,0.0174,0.0283
12,4,2300,0.0222,0.0165,0.0285
13,0,3252,0.0473,0.0403,0.0549
13,1,3504,0.0602,0.0526,0.0683
13,2,3612,0.0971,0.0877,0.107
13,3,3382,0.0724,0.0639,0.0814
13,4,2885,0.0672,0.0584,0.0766
14,0,1872,0.0699,0.0588,0.0819
14,1,2538,0.0882,0.0775,0.0995
14,2,3612,0.1093,0.0993,0.1197
14,3,4784,0.0581,0.0516,0.0649
14,4,4060,0.063,0.0558,0.0707
15,0,1827,0.0514,0.0418,0.062
15,1,2601,0.0323,0.0258,0.0394
15,2,3449,0.0046,0.0027,0.0072
15,3,4853,0.013,0.01,0.0163
15,4,4110,0.0173,0.0135,0.0215
16,0,4076,0.0096,0.0068,0.0128
16,1,3850,0.0122,0.009,0.0159
16,2,3053,0.0144,0.0105,0.0189
16,3,3146,0.0159,0.0118,0.0205
16,4,2664,0.015,0.0107,0.02
17,0,6106,0.0069,0.005,0.0091
17,1,4906,0.0073,0.0051,0.0099
17,2,2742,0.0026,0.001,0.0048
17,3,1513,0.0145,0.0091,0.0211
17,4,1278,0.0156,0.0096,0.0231
18,0,5252,0.0074,0.0053,0.0099
18,1,4627,0.0045,0.0028,0.0067
18,2,3313,0.0166,0.0125,0.0212
18,3,1643,0.0006,0.0,0.0022
18,4,1392,0.0007,0.0,0.0026
19,0,4955,0.0024,0.0013,0.004
19,1,4496,0.0013,0.0005,0.0026
19,2,3224,0.0056,0.0033,0.0084
19,3,1916,0.0042,0.0018,0.0075
19,4,1632,0.0006,0.0,0.0023
20,0,4330,0.0118,0.0088,0.0152
20,1,3758,0.0069,0.0045,0.0098
20,2,2672,0.0004,0.0,0.0014
20,3,2546,0.0004,0.0,0.0014
20,4,2182,0.0005,0.0,0.0017
21,0,1743,0.0006,0.0,0.0021
21,1,1508,0.0007,0.0,0.0024
21,2,1334,0.0007,0.0,0.0028
21,3,1161,0.0009,0.0,0.0032
21,4,994,0.001,0.0,0.0037
22,0,1920,0.0005,0.0,0.0019
22,1,1319,0.0008,0.0,0.0028
22,2,1050,0.001,0.0,0.0035
22,3,795,0.0013,0.0,0.0046
22,4,739,0.0013,0.0,0.005
23,0,4636,0.0002,0.0,0.0008
23,1,2279,0.0039,0.0018,0.0069
23,2,1526,0.0033,0.0011,0.0067
23,3,1160,0.0009,0.0,0.0032
23,4,1070,0.0009,0.0,0.0034
