dow,tod_hour,n_cat_events,n_above,n_below,P_above,cilo,cihi,mean_signed_z,mean_abs_z,P_cat_60m_bar,n,n_bars_sampled,exp_dollar_if_cat,pos_direction,EV_directional,EV_straddle
Fri,2,17,2,15,0.1579,0.0358,0.3471,-11.05,13.88,0.0673,2643,2643,139.0,SHORT,9.0,5.0
Fri,13,11,0,11,0.0769,0.0021,0.2646,-7.71,7.71,0.065,3231,3231,77.0,SHORT,5.0,3.0
Fri,15,13,0,13,0.0667,0.0018,0.2316,-9.81,9.81,0.0622,3230,3230,98.0,SHORT,6.0,3.0
Mon,2,13,1,12,0.1333,0.0178,0.3387,-18.54,23.43,0.042,2762,2762,234.0,SHORT,10.0,5.0
Thu,2,33,2,31,0.0857,0.0186,0.1968,-21.77,26.39,0.098,2762,2762,264.0,SHORT,26.0,13.0
Thu,14,15,0,15,0.0588,0.0016,0.2059,-10.22,10.22,0.0958,3474,3474,102.0,SHORT,10.0,5.0
Tue,2,45,5,40,0.1277,0.0494,0.2357,-13.89,18.5,0.1187,2811,2811,185.0,SHORT,22.0,11.0
Tue,13,10,0,10,0.0833,0.0023,0.2849,-9.9,9.9,0.1082,3362,3362,99.0,SHORT,11.0,5.0
Tue,14,17,0,17,0.0526,0.0014,0.1853,-10.57,10.57,0.1282,3415,3415,106.0,SHORT,14.0,7.0
Wed,2,25,7,18,0.2963,0.1433,0.4779,-24.96,33.16,0.0479,2714,2714,332.0,SHORT,16.0,8.0
Wed,14,12,0,12,0.0714,0.0019,0.2471,-9.54,9.54,0.0335,3459,3459,95.0,SHORT,3.0,2.0
