dow,sigma_rank_q,n,P_cat_60m,cilo,cihi
Mon,0,16894,0.0088,0.0075,0.0103
Mon,1,14108,0.0128,0.011,0.0147
Mon,2,13397,0.0234,0.0209,0.026
Mon,3,11249,0.0155,0.0133,0.0178
Mon,4,9686,0.0169,0.0145,0.0196
Tue,0,17574,0.0315,0.029,0.0342
Tue,1,15095,0.052,0.0485,0.0556
Tue,2,14650,0.07,0.0659,0.0741
Tue,3,11517,0.0371,0.0337,0.0406
Tue,4,9963,0.0347,0.0312,0.0384
Wed,0,16326,0.0279,0.0254,0.0304
Wed,1,14464,0.036,0.033,0.0391
Wed,2,14974,0.0502,0.0468,0.0538
Wed,3,12392,0.0294,0.0265,0.0325
Wed,4,10854,0.029,0.0259,0.0323
Thu,0,16750,0.0393,0.0364,0.0423
Thu,1,15280,0.0434,0.0402,0.0467
Thu,2,14451,0.0355,0.0325,0.0386
Thu,3,11742,0.0316,0.0285,0.0348
Thu,4,10322,0.0313,0.028,0.0347
Fri,0,15167,0.0304,0.0277,0.0332
Fri,1,14183,0.0382,0.0351,0.0414
Fri,2,12925,0.0479,0.0443,0.0516
Fri,3,10233,0.036,0.0324,0.0396
Fri,4,8930,0.0346,0.0309,0.0385
