scale,side,n_is,n_oos,baseline_abs_fwd,IS_abs_fwd,OOS_abs_fwd,IS_lift_pct,baseline_range,IS_range,OOS_range,IS_range_lift_pct
15m_vs_4h,high_q90+,2388,597,43.16,46.89,57.05,8.6,83.68,90.85,107.8,8.6
1h_vs_4h,high_q90+,861,226,43.83,47.42,54.79,8.2,85.44,92.13,108.09,7.8
5m_vs_4h,high_q90+,6056,1506,42.12,45.58,52.97,8.2,82.5,88.94,101.49,7.8
1m_vs_1h,high_q90+,5980,1421,39.29,41.2,53.64,4.9,76.54,79.15,98.59,3.4
5m_vs_1h,high_q90+,7270,1936,41.21,41.95,48.41,1.8,80.07,80.24,91.29,0.2
5m_vs_1h,low_q10-,5866,1533,41.21,37.94,41.12,-7.9,80.07,75.9,81.08,-5.2
1m_vs_1h,low_q10-,6776,1500,39.29,34.74,38.62,-11.6,76.54,69.37,77.64,-9.4
15m_vs_4h,low_q10-,2297,634,43.16,38.11,34.37,-11.7,83.68,73.7,70.16,-11.9
5m_vs_4h,low_q10-,4986,1433,42.12,36.67,35.08,-12.9,82.5,72.15,71.39,-12.6
1h_vs_4h,low_q10-,756,230,43.83,38.11,38.41,-13.1,85.44,73.59,77.06,-13.9
