**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,split,day,side,start_ts,duration_min,max_abs_z,signed_max_z,fwd_ret,fwd_mfe,fwd_mae,tod_hour,dow
L3_15s_hurst_12,IS,2025_02_21,above_+3sigma,1740099030,1.08,3.323736213308476,3.323736213308476,-5.5,5.5,-27.75,0,Fri
L3_15s_hurst_12,IS,2025_02_28,above_+3sigma,1740735315,1.0,5.037266289669344,5.037266289669344,-11.75,7.75,-20.0,9,Fri
L3_15s_hurst_12,IS,2025_03_19,above_+3sigma,1742367500,1.58,3.157009998454842,3.157009998454842,-71.25,3.0,-74.75,6,Wed
L3_15s_hurst_12,IS,2025_03_21,below_-3sigma,1742529570,1.33,4.4765317639417,-4.4765317639417,-4.5,19.5,-6.0,3,Fri
L3_15s_hurst_12,IS,2025_06_19,above_+3sigma,1750297710,1.0,4.041528227310855,4.041528227310855,17.5,23.75,-21.75,1,Thu
L3_15s_hurst_12,IS,2025_06_19,above_+3sigma,1750337140,1.08,10.522332395582298,10.522332395582298,-49.25,16.0,-51.25,12,Thu
L3_15s_hurst_12,IS,2025_07_08,above_+3sigma,1751960880,1.0,3.8381324567719175,3.8381324567719175,-10.5,16.25,-20.75,7,Tue
L3_15s_hurst_12,IS,2025_07_21,above_+3sigma,1753071720,1.08,5.261209242085408,5.261209242085408,4.5,16.5,-1.0,4,Mon
L3_15s_hurst_12,IS,2025_09_15,below_-3sigma,1757910440,1.08,4.504034621448396,-4.504034621448396,1.25,4.25,-4.75,4,Mon
L3_15s_hurst_12,IS,2025_12_18,above_+3sigma,1766044142,1.2,4.788865031148754,4.788865031148754,42.5,42.5,-20.75,7,Thu
L3_15s_hurst_12,OOS,2026_02_04,above_+3sigma,1770206595,1.0,4.357046336578226,4.357046336578226,-64.5,0.5,-81.0,12,Wed
