split,side,anchor,axis,bin,n,threshold_min,p_continue,cilo,cihi,med_duration,mean_duration,p10_duration,p90_duration,mean_max_z
IS,above,high,slope_q,1,15,3,0.7059,0.4762,0.8898,5.6,10.8,1.3,28.9,3.13
IS,above,high,slope_q,1,15,5,0.5294,0.2988,0.7535,5.6,10.8,1.3,28.9,3.13
IS,above,high,slope_q,1,15,10,0.3529,0.152,0.5866,5.6,10.8,1.3,28.9,3.13
IS,above,high,slope_q,1,15,20,0.1765,0.0405,0.3835,5.6,10.8,1.3,28.9,3.13
IS,above,high,slope_q,1,15,30,0.1765,0.0405,0.3835,5.6,10.8,1.3,28.9,3.13
IS,above,high,slope_q,2,64,3,0.5303,0.4103,0.6485,3.8,8.3,1.2,20.9,3.13
IS,above,high,slope_q,2,64,5,0.4091,0.2944,0.529,3.8,8.3,1.2,20.9,3.13
IS,above,high,slope_q,2,64,10,0.2273,0.1353,0.3349,3.8,8.3,1.2,20.9,3.13
IS,above,high,slope_q,2,64,20,0.1364,0.0653,0.2282,3.8,8.3,1.2,20.9,3.13
IS,above,high,slope_q,2,64,30,0.0758,0.0254,0.1501,3.8,8.3,1.2,20.9,3.13
IS,above,high,slope_q,3,162,3,0.4939,0.4178,0.5702,2.9,8.5,1.3,24.0,3.09
IS,above,high,slope_q,3,162,5,0.378,0.3056,0.4533,2.9,8.5,1.3,24.0,3.09
IS,above,high,slope_q,3,162,10,0.25,0.1869,0.3188,2.9,8.5,1.3,24.0,3.09
IS,above,high,slope_q,3,162,20,0.1341,0.0866,0.1902,2.9,8.5,1.3,24.0,3.09
IS,above,high,slope_q,3,162,30,0.0671,0.0342,0.1099,2.9,8.5,1.3,24.0,3.09
IS,above,high,slope_q,4,222,3,0.5848,0.5198,0.6484,4.0,9.2,1.2,25.9,3.05
IS,above,high,slope_q,4,222,5,0.4554,0.3907,0.5207,4.0,9.2,1.2,25.9,3.05
IS,above,high,slope_q,4,222,10,0.2857,0.2286,0.3465,4.0,9.2,1.2,25.9,3.05
IS,above,high,slope_q,4,222,20,0.1518,0.108,0.2015,4.0,9.2,1.2,25.9,3.05
IS,above,high,slope_q,4,222,30,0.0759,0.045,0.1139,4.0,9.2,1.2,25.9,3.05
IS,above,low,slope_q,0,26,3,0.5714,0.388,0.7452,4.0,25.9,1.2,91.8,3.11
IS,above,low,slope_q,0,26,5,0.4286,0.2548,0.612,4.0,25.9,1.2,91.8,3.11
IS,above,low,slope_q,0,26,10,0.2857,0.1375,0.4628,4.0,25.9,1.2,91.8,3.11
IS,above,low,slope_q,0,26,20,0.25,0.1111,0.4226,4.0,25.9,1.2,91.8,3.11
IS,above,low,slope_q,0,26,30,0.25,0.1111,0.4226,4.0,25.9,1.2,91.8,3.11
