split,side,anchor,axis,bin,n,P_continue_30m_mean,P_continue_30m_cilo,P_continue_30m_cihi,P_continue_60m_mean,P_continue_60m_cilo,P_continue_60m_cihi,fwd_ret_h60m_mean,fwd_mfe_h60m_mean,fwd_mae_h60m_mean,duration_min_mean,max_abs_z_mean
IS,above,high,sigma_rank,0,26,0.1429,0.0419,0.2916,0.0357,0.0009,0.1277,15.529,60.154,-52.212,8.433,3.125
IS,above,high,sigma_rank,1,60,0.0645,0.0182,0.1371,0.0161,0.0004,0.0587,6.396,47.142,-34.325,8.768,3.108
IS,above,high,sigma_rank,2,78,0.125,0.0624,0.2053,0.025,0.0031,0.0685,13.019,55.948,-40.542,9.884,3.123
IS,above,high,sigma_rank,3,155,0.0637,0.0312,0.1067,0.0064,0.0002,0.0234,-0.895,42.369,-44.967,7.951,3.053
IS,above,high,sigma_rank,4,156,0.0696,0.0355,0.114,0.0063,0.0002,0.0232,13.971,58.26,-41.61,9.645,3.065
IS,above,low,sigma_rank,0,482,0.1612,0.1298,0.1952,0.0785,0.0563,0.104,5.366,33.823,-28.805,16.156,3.061
IS,above,low,sigma_rank,1,443,0.182,0.1476,0.2192,0.1101,0.0828,0.1408,11.22,44.672,-31.415,19.399,3.069
IS,above,low,sigma_rank,2,418,0.1881,0.1522,0.2268,0.1167,0.0878,0.149,2.005,41.58,-35.798,20.613,3.069
IS,above,low,sigma_rank,3,350,0.1591,0.1228,0.199,0.0909,0.0632,0.123,0.209,40.821,-39.381,17.808,3.026
IS,above,low,sigma_rank,4,396,0.2236,0.1841,0.2658,0.1156,0.0861,0.1487,7.794,47.703,-37.462,21.133,3.65
IS,below,high,sigma_rank,0,569,0.1541,0.1257,0.1848,0.0963,0.0735,0.1218,-5.868,33.721,-48.983,17.637,4.687
IS,below,high,sigma_rank,1,556,0.1846,0.1535,0.2178,0.1147,0.0896,0.1424,-14.656,32.422,-57.832,19.546,5.458
IS,below,high,sigma_rank,2,484,0.1852,0.1519,0.2209,0.1132,0.0866,0.1428,-10.561,33.254,-53.947,19.898,5.025
IS,below,high,sigma_rank,3,370,0.1317,0.0993,0.1679,0.0538,0.0332,0.0788,-3.328,40.899,-57.164,13.881,4.17
IS,below,high,sigma_rank,4,320,0.2143,0.1713,0.2607,0.1366,0.1014,0.1762,3.437,42.868,-50.04,21.359,5.946
IS,below,low,sigma_rank,0,18,0.15,0.0338,0.3314,0.05,0.0013,0.1765,-30.139,41.681,-94.458,10.62,4.761
IS,below,low,sigma_rank,1,40,0.0952,0.0272,0.1992,0.0476,0.006,0.1286,0.006,51.575,-58.65,9.081,5.009
IS,below,low,sigma_rank,2,84,0.0698,0.0263,0.132,0.0116,0.0003,0.0425,-9.601,48.688,-74.667,7.415,5.328
IS,below,low,sigma_rank,3,170,0.064,0.0325,0.1049,0.0058,0.0001,0.0213,-5.929,51.116,-72.815,8.396,4.31
IS,below,low,sigma_rank,4,165,0.0719,0.0379,0.1155,0.006,0.0002,0.022,-13.636,50.662,-79.362,10.24,4.737
OOS,above,high,sigma_rank,2,15,0.0588,0.0016,0.2059,0.0588,0.0016,0.2059,29.85,64.817,-27.9,7.174,3.061
OOS,above,high,sigma_rank,3,46,0.1042,0.0355,0.2038,0.0417,0.0052,0.1129,8.098,42.511,-36.022,7.629,3.036
OOS,above,high,sigma_rank,4,44,0.0435,0.0054,0.1177,0.0217,0.0006,0.0787,14.159,43.102,-38.761,6.88,3.041
OOS,above,low,sigma_rank,0,96,0.1429,0.0812,0.2183,0.0714,0.0295,0.1298,-2.333,32.685,-32.359,15.414,3.058
OOS,above,low,sigma_rank,1,103,0.1429,0.083,0.2155,0.0952,0.0471,0.1579,11.143,48.646,-32.318,14.772,3.048
OOS,above,low,sigma_rank,2,96,0.2041,0.1307,0.2889,0.1327,0.0733,0.2061,5.69,44.141,-40.492,21.058,3.271
OOS,above,low,sigma_rank,3,88,0.2111,0.1337,0.3007,0.0667,0.0251,0.1263,14.04,42.29,-28.722,15.999,3.029
OOS,above,low,sigma_rank,4,101,0.2621,0.1822,0.3508,0.1553,0.0924,0.2309,13.718,48.564,-30.844,22.443,3.168
OOS,below,high,sigma_rank,0,103,0.1905,0.1216,0.2705,0.1524,0.0906,0.2267,-1.93,43.413,-51.508,20.493,5.511
OOS,below,high,sigma_rank,1,82,0.1548,0.0861,0.2389,0.0952,0.0425,0.1661,-9.341,41.299,-62.409,17.858,4.28
OOS,below,high,sigma_rank,2,106,0.1944,0.1258,0.2738,0.1204,0.0663,0.1877,-4.117,38.798,-54.083,20.521,4.281
OOS,below,high,sigma_rank,3,74,0.1447,0.0756,0.2316,0.1053,0.0472,0.1829,-12.719,50.13,-73.572,16.599,4.119
OOS,below,high,sigma_rank,4,80,0.3049,0.2107,0.4081,0.2195,0.1373,0.3146,-22.635,40.327,-81.994,33.074,9.878
OOS,below,low,sigma_rank,2,11,0.0769,0.0021,0.2646,0.0769,0.0021,0.2646,3.977,69.386,-62.682,3.832,3.758
OOS,below,low,sigma_rank,3,48,0.1,0.034,0.196,0.02,0.0005,0.0725,-39.531,44.724,-105.604,8.811,4.319
OOS,below,low,sigma_rank,4,45,0.0851,0.0242,0.179,0.0426,0.0053,0.1153,-29.767,52.119,-106.489,10.246,4.163
