split,side,anchor,axis,bin,n,P_continue_30m_mean,P_continue_30m_cilo,P_continue_30m_cihi,P_continue_60m_mean,P_continue_60m_cilo,P_continue_60m_cihi,fwd_ret_h60m_mean,fwd_mfe_h60m_mean,fwd_mae_h60m_mean,duration_min_mean,max_abs_z_mean
IS,above,high,slope,1,15,0.1765,0.0405,0.3835,0.0588,0.0016,0.2059,-5.533,61.8,-42.683,10.789,3.126
IS,above,high,slope,2,64,0.0758,0.0254,0.1501,0.0152,0.0004,0.0552,3.961,35.883,-34.207,8.293,3.132
IS,above,high,slope,3,162,0.0671,0.0342,0.1099,0.0061,0.0002,0.0224,-7.002,26.968,-33.35,8.48,3.086
IS,above,high,slope,4,222,0.0759,0.045,0.1139,0.0089,0.0011,0.0247,21.594,70.864,-49.815,9.192,3.047
IS,above,low,slope,0,26,0.25,0.1111,0.4226,0.2143,0.0862,0.3808,29.043,164.239,-85.348,25.897,3.108
IS,above,low,slope,1,195,0.2487,0.191,0.3113,0.1421,0.0971,0.1941,-10.85,33.12,-39.849,22.935,3.102
IS,above,low,slope,2,445,0.2215,0.1842,0.2611,0.1275,0.0983,0.1599,3.896,27.656,-22.483,21.897,3.265
IS,above,low,slope,3,668,0.1657,0.1385,0.1947,0.091,0.0705,0.1139,0.307,32.497,-31.759,17.748,3.132
IS,above,low,slope,4,731,0.146,0.1214,0.1724,0.0764,0.0583,0.0967,14.756,56.911,-40.973,16.43,3.165
IS,below,high,slope,0,758,0.1316,0.1085,0.1565,0.0645,0.0481,0.083,-13.783,49.246,-75.718,15.218,3.914
IS,below,high,slope,1,747,0.1776,0.1511,0.2057,0.0935,0.0737,0.1153,-3.072,30.323,-42.581,17.503,4.724
IS,below,high,slope,2,494,0.2157,0.1807,0.2529,0.1472,0.1174,0.1796,-4.476,25.927,-38.407,22.484,6.171
IS,below,high,slope,3,239,0.1743,0.1291,0.2245,0.1328,0.093,0.1783,-5.55,30.026,-49.082,20.78,5.572
IS,below,high,slope,4,41,0.2558,0.1386,0.3945,0.2326,0.1205,0.3681,-5.833,46.429,-71.968,29.472,6.095
IS,below,low,slope,0,241,0.0494,0.0259,0.0799,0.0041,0.0001,0.0151,0.001,66.133,-79.902,8.468,3.934
IS,below,low,slope,1,150,0.0789,0.0417,0.1266,0.0132,0.0016,0.0363,-14.905,32.803,-63.933,9.425,5.066
IS,below,low,slope,2,60,0.0645,0.0182,0.1371,0.0161,0.0004,0.0587,3.9,40.608,-41.112,7.394,5.836
IS,below,low,slope,3,19,0.2381,0.0866,0.4366,0.0476,0.0013,0.1684,-123.474,24.776,-203.763,14.167,6.848
OOS,above,high,slope,2,11,0.2308,0.0549,0.4841,0.0769,0.0021,0.2646,0.909,27.364,-20.477,11.286,3.06
OOS,above,high,slope,3,31,0.0909,0.0198,0.2081,0.0606,0.0077,0.1622,3.169,40.718,-38.774,8.865,3.069
OOS,above,high,slope,4,72,0.027,0.0033,0.074,0.0135,0.0003,0.0493,20.67,53.778,-37.934,6.519,3.026
OOS,above,low,slope,1,41,0.186,0.086,0.3136,0.1395,0.0543,0.2563,-8.78,37.805,-50.561,17.48,3.625
OOS,above,low,slope,2,104,0.1981,0.1283,0.2787,0.1132,0.0605,0.1797,2.13,31.043,-24.029,20.447,3.057
OOS,above,low,slope,3,123,0.176,0.1147,0.2472,0.104,0.057,0.1629,2.36,31.012,-27.569,15.814,3.155
OOS,above,low,slope,4,210,0.1934,0.1432,0.2491,0.0896,0.0551,0.1315,20.342,57.1,-34.698,17.735,3.019
OOS,below,high,slope,0,184,0.2043,0.1496,0.265,0.1022,0.063,0.1494,-3.798,53.314,-70.777,18.863,4.292
OOS,below,high,slope,1,107,0.2477,0.1717,0.3325,0.2202,0.1479,0.3022,-26.584,27.308,-63.143,30.244,7.407
OOS,below,high,slope,2,107,0.1651,0.1019,0.24,0.1284,0.0727,0.197,-10.203,32.696,-50.895,20.271,5.122
OOS,below,high,slope,3,43,0.1333,0.0517,0.2456,0.1111,0.0379,0.2167,8.174,53.43,-60.773,16.633,7.358
OOS,below,low,slope,0,68,0.0857,0.0326,0.1611,0.0143,0.0004,0.0521,-23.534,53.097,-98.466,9.551,4.037
OOS,below,low,slope,1,26,0.0714,0.0091,0.1897,0.0714,0.0091,0.1897,-43.865,38.442,-107.308,7.935,4.139
OOS,below,low,slope,2,10,0.1667,0.0228,0.4128,0.0833,0.0023,0.2849,-88.45,19.675,-116.55,8.397,5.34
