split,side,anchor,axis,bin,n,P_continue_30m_mean,P_continue_30m_cilo,P_continue_30m_cihi,P_continue_60m_mean,P_continue_60m_cilo,P_continue_60m_cihi,fwd_ret_h60m_mean,fwd_mfe_h60m_mean,fwd_mae_h60m_mean,duration_min_mean,max_abs_z_mean
IS,above,high,z_close,3,67,0.0435,0.0092,0.1022,0.0145,0.0004,0.0528,18.877,62.623,-50.881,6.064,3.106
IS,above,high,z_close,4,408,0.0805,0.0562,0.1087,0.0049,0.0006,0.0135,6.302,49.527,-40.739,9.429,3.075
IS,above,low,z_close,1,51,0.2075,0.1106,0.3253,0.1698,0.0823,0.2808,7.137,22.338,-14.343,22.76,3.153
IS,above,low,z_close,2,476,0.1569,0.1257,0.1908,0.0774,0.0552,0.103,3.487,34.768,-30.446,16.678,3.077
IS,above,low,z_close,3,913,0.165,0.1417,0.1897,0.0874,0.07,0.1066,5.554,41.193,-34.619,17.535,3.105
IS,above,low,z_close,4,646,0.2238,0.1925,0.2566,0.1343,0.1091,0.1615,6.87,48.525,-38.036,22.422,3.33
IS,below,high,z_close,0,634,0.2075,0.1769,0.2399,0.1384,0.1127,0.1662,-13.795,37.431,-64.464,22.931,4.892
IS,below,high,z_close,1,974,0.1609,0.1385,0.1845,0.085,0.0684,0.1033,-2.96,37.952,-51.971,16.36,4.794
IS,below,high,z_close,2,619,0.1498,0.1228,0.1788,0.087,0.0661,0.1103,-8.227,32.446,-48.504,16.55,5.091
IS,below,high,z_close,3,70,0.2083,0.1233,0.3086,0.1528,0.08,0.2438,2.457,21.475,-24.843,24.001,8.33
IS,below,low,z_close,0,408,0.078,0.0541,0.1059,0.0049,0.0006,0.0135,-13.328,47.563,-76.874,9.459,4.856
IS,below,low,z_close,1,69,0.0141,0.0004,0.0513,0.0141,0.0004,0.0513,12.047,65.888,-64.159,6.306,3.867
OOS,above,high,z_close,3,22,0.0417,0.0011,0.1482,0.0417,0.0011,0.1482,9.591,30.659,-24.943,5.547,3.028
OOS,above,high,z_close,4,94,0.0625,0.0235,0.1186,0.0208,0.0026,0.0573,14.162,50.694,-39.298,7.963,3.047
OOS,above,low,z_close,1,10,0.1667,0.0228,0.4128,0.1667,0.0228,0.4128,23.675,28.925,-6.3,8.567,3.118
OOS,above,low,z_close,2,101,0.1553,0.0924,0.2309,0.0777,0.0345,0.1363,8.765,33.342,-26.394,17.579,3.076
OOS,above,low,z_close,3,224,0.1814,0.1341,0.2341,0.0708,0.0412,0.1076,2.076,39.467,-35.797,14.855,3.187
OOS,above,low,z_close,4,149,0.2318,0.1682,0.3021,0.1656,0.1109,0.2286,16.805,57.148,-35.02,23.549,3.035
OOS,below,high,z_close,0,147,0.1946,0.1353,0.2617,0.1611,0.1067,0.224,-15.503,48.733,-77.105,24.267,6.497
OOS,below,high,z_close,1,192,0.2216,0.1662,0.2826,0.134,0.0899,0.1853,-3.903,44.742,-61.351,22.917,4.468
OOS,below,high,z_close,2,103,0.1429,0.083,0.2155,0.0952,0.0471,0.1579,-11.082,29.65,-47.722,15.132,5.713
OOS,below,low,z_close,0,107,0.0734,0.0325,0.129,0.0183,0.0023,0.0505,-25.285,54.078,-99.691,8.677,4.171
