side,anchor,axis,bin,IS,OOS,sign_match
above,high,sigma_rank,0,0.0357,,-1
above,high,sigma_rank,1,0.0161,,-1
above,high,sigma_rank,2,0.025,0.0588,1
above,high,sigma_rank,3,0.0064,0.0417,1
above,high,sigma_rank,4,0.0063,0.0217,1
above,low,sigma_rank,0,0.0785,0.0714,1
above,low,sigma_rank,1,0.1101,0.0952,1
above,low,sigma_rank,2,0.1167,0.1327,1
above,low,sigma_rank,3,0.0909,0.0667,1
above,low,sigma_rank,4,0.1156,0.1553,1
below,high,sigma_rank,0,0.0963,0.1524,1
below,high,sigma_rank,1,0.1147,0.0952,1
below,high,sigma_rank,2,0.1132,0.1204,1
below,high,sigma_rank,3,0.0538,0.1053,1
below,high,sigma_rank,4,0.1366,0.2195,1
below,low,sigma_rank,0,0.05,,-1
below,low,sigma_rank,1,0.0476,,-1
below,low,sigma_rank,2,0.0116,0.0769,1
below,low,sigma_rank,3,0.0058,0.02,1
below,low,sigma_rank,4,0.006,0.0426,1
