side,anchor,sigma_rank_q,slope_q,motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos,edge
below,high,4,1,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,11,6,5,0.875,0.5904,0.9964,35.71,1,0.8571,0.5407,0.9958,44.9,0.375
above,low,4,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,17,11,6,0.8462,0.6152,0.9791,276.55,1,0.75,0.4213,0.9633,92.96,0.34619999999999995
above,high,4,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,28,18,10,0.8,0.6042,0.9395,80.97,1,0.6667,0.3903,0.8907,24.85,0.30000000000000004
above,high,3,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,18,11,7,0.7692,0.5159,0.9451,30.09,1,0.5556,0.2449,0.843,29.64,0.2692
below,high,4,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,13,6,7,0.25,0.0367,0.5787,-83.21,1,0.2222,0.0319,0.5265,-72.18,0.25
below,high,4,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,13,5,8,0.2857,0.0433,0.6412,-76.15,1,0.1,0.0028,0.3363,-163.94,0.2143
above,low,4,3,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,16,11,5,0.3077,0.0992,0.5719,-11.98,1,0.2857,0.0433,0.6412,-14.0,0.19230000000000003
below,low,4,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,34,26,8,0.3571,0.194,0.5396,-46.88,1,0.3,0.0749,0.6001,-53.88,0.14290000000000003
above,low,1,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,14,9,5,0.6364,0.3475,0.8784,140.69,1,0.8571,0.5407,0.9958,81.1,0.13639999999999997
below,low,4,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,18,11,7,0.3846,0.1517,0.6511,-24.07,1,0.4444,0.157,0.7551,-14.82,0.1154
below,high,3,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,20,15,5,0.4118,0.1975,0.6457,-31.4,1,0.1429,0.0042,0.4593,-94.1,0.0882
below,low,4,0,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,15,10,5,0.4167,0.1675,0.6921,-4.85,1,0.2857,0.0433,0.6412,-13.6,0.08329999999999999
below,high,2,0,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,17,5,12,0.4286,0.1181,0.7772,24.95,1,0.4286,0.1922,0.6842,-1.04,0.07140000000000002
