**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,P_oos,ci_oos_lo,ci_oos_hi,mean_oos,sign_match
FLATLINE,FLATLINE,39,33,6,0.5429,0.3789,0.7022,-12.64,0.75,0.4213,0.9633,33.58,1
FLATLINE,NOISE,64,53,11,0.6364,0.5062,0.7571,-0.69,0.6154,0.3489,0.8483,5.25,1
FLATLINE,STEEP_CONCAVE_DOWN,19,13,6,0.4,0.1766,0.6486,-46.79,0.5,0.1841,0.8159,-8.38,0
FLATLINE,STEEP_CONCAVE_UP,62,51,11,0.3962,0.2701,0.5298,-5.29,0.6154,0.3489,0.8483,19.66,0
FLATLINE,STEEP_CONVEX_DOWN,69,64,5,0.4545,0.337,0.5747,0.82,0.4286,0.1181,0.7772,-4.15,1
FLATLINE,STEEP_LINEAR_DOWN,81,63,18,0.4923,0.3723,0.6127,-12.0,0.45,0.2445,0.665,-2.42,1
FLATLINE,STEEP_LINEAR_UP,71,63,8,0.5385,0.4175,0.6572,11.49,0.7,0.3999,0.9251,-18.53,1
GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,21,20,1,0.5455,0.3402,0.7429,-3.35,,,,,-1
GENTLE_CONCAVE_UP,FLATLINE,29,22,7,0.5833,0.3854,0.7681,5.65,0.4444,0.157,0.7551,1.93,0
GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,15,14,1,0.5625,0.3229,0.7873,-6.11,,,,,-1
GENTLE_CONCAVE_UP,NOISE,76,63,13,0.4308,0.3137,0.5518,-4.25,0.3333,0.1276,0.581,-11.69,1
GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,14,11,3,0.2308,0.0549,0.4841,-17.5,,,,,-1
GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,71,66,5,0.4412,0.326,0.5596,-2.35,0.8571,0.5407,0.9958,51.5,0
GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,61,50,11,0.4808,0.3475,0.6154,-7.92,0.6154,0.3489,0.8483,5.07,0
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,38,32,6,0.3235,0.1796,0.4871,-13.07,0.625,0.2904,0.901,-1.12,0
GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,35,30,5,0.4688,0.3015,0.6397,-3.94,0.2857,0.0433,0.6412,-10.2,1
GENTLE_CONVEX_DOWN,FLATLINE,21,20,1,0.6364,0.4303,0.8189,-2.33,,,,,-1
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_UP,13,13,0,0.5333,0.2886,0.7696,4.44,,,,,-1
GENTLE_CONVEX_DOWN,NOISE,83,74,9,0.6447,0.5346,0.7477,6.99,0.6364,0.3475,0.8784,13.19,1
GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,46,35,11,0.2973,0.1635,0.4519,-20.22,0.7692,0.5159,0.9451,18.48,0
GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,50,37,13,0.641,0.4865,0.7819,-2.98,0.8667,0.6613,0.9822,15.31,1
GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,23,20,3,0.7273,0.5283,0.8872,14.85,,,,,-1
GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,23,18,5,0.75,0.5443,0.9085,8.28,0.5714,0.2228,0.8819,0.35,1
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,54,47,7,0.5102,0.3719,0.6477,-4.18,0.3333,0.0852,0.6509,0.18,0
GENTLE_CONVEX_UP,STEEP_LINEAR_UP,15,12,3,0.7143,0.4619,0.9091,15.44,,,,,-1
GENTLE_LINEAR_DOWN,FLATLINE,15,15,0,0.3529,0.152,0.5866,-11.4,,,,,-1
GENTLE_LINEAR_DOWN,NOISE,41,35,6,0.4054,0.2551,0.5654,3.21,0.375,0.099,0.7096,-1.25,1
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,18,12,6,0.5,0.2513,0.7487,-8.08,0.875,0.5904,0.9964,13.75,0
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,39,29,10,0.4194,0.2546,0.594,-4.3,0.5833,0.3079,0.8325,13.68,0
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,55,47,8,0.4286,0.2948,0.5679,-4.52,0.7,0.3999,0.9251,13.66,0
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,19,11,8,0.4615,0.2109,0.7233,-6.64,0.8,0.5175,0.9719,30.81,0
GENTLE_LINEAR_UP,FLATLINE,11,10,1,0.75,0.4822,0.9398,7.47,,,,,-1
GENTLE_LINEAR_UP,NOISE,38,33,5,0.5429,0.3789,0.7022,2.73,0.5714,0.2228,0.8819,1.1,1
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,43,30,13,0.4062,0.2455,0.5781,-14.69,0.8,0.5719,0.9534,6.0,0
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,22,19,3,0.7143,0.509,0.8811,7.3,,,,,-1
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,10,8,2,0.8,0.5175,0.9719,9.69,,,,,-1
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,35,33,2,0.6,0.4356,0.7535,3.39,,,,,-1
NOISE,FLATLINE,21,17,4,0.6316,0.4099,0.827,-11.6,,,,,-1
NOISE,NOISE,80,62,18,0.7344,0.6206,0.8343,9.99,0.2,0.0605,0.3958,-51.46,0
NOISE,STEEP_CONCAVE_UP,58,50,8,0.4808,0.3475,0.6154,-2.26,0.6,0.2993,0.863,40.38,0
NOISE,STEEP_CONVEX_DOWN,35,28,7,0.6333,0.4567,0.7931,7.03,0.4444,0.157,0.7551,7.36,0
NOISE,STEEP_CONVEX_UP,18,14,4,0.6875,0.449,0.8818,23.09,,,,,-1
NOISE,STEEP_LINEAR_DOWN,42,34,8,0.3056,0.1685,0.463,-34.05,0.5,0.212,0.788,-16.56,0
NOISE,STEEP_LINEAR_UP,49,45,4,0.4681,0.3289,0.6099,-16.58,,,,,-1
STEEP_CONCAVE_DOWN,NOISE,12,11,1,0.4615,0.2109,0.7233,-21.82,,,,,-1
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,20,15,5,0.4706,0.2465,0.7012,-16.57,0.4286,0.1181,0.7772,-36.45,1
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,18,16,2,0.5556,0.3292,0.7702,-22.31,,,,,-1
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,66,50,16,0.2885,0.1749,0.4174,-36.8,0.1111,0.0146,0.2869,-140.22,1
STEEP_CONCAVE_UP,FLATLINE,85,73,12,0.4933,0.3814,0.6056,5.49,0.4286,0.1922,0.6842,-18.81,1
STEEP_CONCAVE_UP,NOISE,120,102,18,0.5,0.4046,0.5954,-4.53,0.65,0.4345,0.8371,17.74,0
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,24,19,5,0.4286,0.2306,0.6395,-15.37,0.4286,0.1181,0.7772,-75.4,1
STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,256,197,59,0.397,0.3302,0.4657,-23.73,0.377,0.2607,0.501,-13.73,1
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,106,88,18,0.5333,0.4304,0.6349,-1.89,0.6,0.3836,0.7975,12.85,1
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,28,25,3,0.5185,0.3337,0.7007,-4.87,,,,,-1
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,97,79,18,0.6049,0.497,0.708,-4.09,0.5,0.2886,0.7114,-14.4,0
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,208,165,43,0.509,0.4334,0.5844,1.75,0.5556,0.4103,0.6961,18.92,1
STEEP_CONVEX_DOWN,FLATLINE,82,61,21,0.5873,0.4645,0.7049,19.8,0.3478,0.172,0.5487,-18.43,0
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,12,7,5,0.7778,0.4735,0.9681,7.43,0.7143,0.3588,0.9567,108.65,1
STEEP_CONVEX_DOWN,NOISE,115,93,22,0.6316,0.5327,0.7252,15.88,0.7083,0.5159,0.8679,39.58,1
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,16,14,2,0.6875,0.449,0.8818,27.95,,,,,-1
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,125,108,17,0.5273,0.4341,0.6195,-6.28,0.4211,0.2153,0.6425,-3.93,0
STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,238,199,39,0.5721,0.5033,0.6396,18.14,0.7073,0.5611,0.8344,19.13,1
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,19,17,2,0.5263,0.3076,0.7398,-8.54,,,,,-1
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,161,134,27,0.5441,0.4602,0.6268,7.27,0.6207,0.4407,0.785,52.21,1
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,76,60,16,0.5323,0.4085,0.654,-13.97,0.7778,0.5657,0.9319,27.69,1
STEEP_CONVEX_UP,NOISE,10,9,1,0.6364,0.3475,0.8784,173.06,,,,,-1
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,18,16,2,0.7222,0.501,0.8969,98.08,,,,,-1
STEEP_CONVEX_UP,STEEP_LINEAR_UP,56,49,7,0.6667,0.533,0.7879,87.15,0.2222,0.0319,0.5265,-34.43,0
STEEP_LINEAR_DOWN,FLATLINE,82,72,10,0.4189,0.3097,0.5323,-23.09,0.4167,0.1675,0.6921,-33.95,1
STEEP_LINEAR_DOWN,NOISE,135,114,21,0.3621,0.2774,0.4512,-20.92,0.5217,0.3221,0.7178,23.95,0
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,57,46,11,0.375,0.2451,0.5148,1.92,0.4615,0.2109,0.7233,-2.89,1
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,105,79,26,0.3827,0.2806,0.4904,-25.22,0.4643,0.2867,0.6467,-17.86,1
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,287,230,57,0.5129,0.4487,0.5769,-5.24,0.4576,0.3334,0.5846,-2.53,0
STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,553,457,96,0.3682,0.3247,0.4128,-26.44,0.3061,0.2193,0.4004,-44.12,1
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,57,42,15,0.6136,0.4673,0.7502,22.65,0.4118,0.1975,0.6457,-18.53,0
STEEP_LINEAR_UP,FLATLINE,79,61,18,0.6984,0.5805,0.8044,39.18,0.4,0.2025,0.6164,-0.51,0
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,11,11,0,0.6154,0.3489,0.8483,14.27,,,,,-1
STEEP_LINEAR_UP,NOISE,102,81,21,0.6145,0.5081,0.7156,22.86,0.6087,0.4066,0.7929,11.06,1
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,13,10,3,0.5,0.2338,0.7662,-12.22,,,,,-1
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,297,233,64,0.5787,0.5152,0.641,9.91,0.7273,0.6146,0.8269,24.46,1
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,68,55,13,0.7018,0.5779,0.8122,33.72,0.8,0.5719,0.9534,27.04,1
STEEP_LINEAR_UP,STEEP_CONVEX_UP,51,39,12,0.6098,0.458,0.7514,10.15,0.6429,0.3857,0.8614,12.23,1
