side,anchor,sigma_rank_q,slope_q,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
above,high,0,4,15,13,2,0.8,0.5719,0.9534,51.17,-1,,,,
above,high,1,2,10,9,1,0.4545,0.1871,0.7376,-10.83,-1,,,,
above,high,1,3,20,18,2,0.45,0.2445,0.665,3.42,-1,,,,
above,high,1,4,29,24,5,0.5769,0.3867,0.756,16.04,1,0.7143,0.3588,0.9567,17.85
above,high,2,2,16,15,1,0.4706,0.2465,0.7012,11.43,-1,,,,
above,high,2,3,33,28,5,0.4333,0.2645,0.6106,-14.86,1,0.4286,0.1181,0.7772,-1.05
above,high,2,4,35,27,8,0.6897,0.5133,0.8412,48.94,1,0.7,0.3999,0.9251,58.56
above,high,3,2,28,21,7,0.5652,0.3635,0.7561,1.54,1,0.6667,0.3491,0.9148,2.5
above,high,3,3,64,52,12,0.463,0.333,0.5955,-2.15,0,0.6429,0.3857,0.8614,-16.29
above,high,3,4,102,76,26,0.5641,0.4535,0.6716,-0.43,1,0.5714,0.388,0.7452,22.27
above,high,4,2,16,14,2,0.5,0.2659,0.7341,11.12,-1,,,,
above,high,4,3,67,56,11,0.4655,0.3398,0.5934,-7.41,0,0.6154,0.3489,0.8483,27.18
above,high,4,4,109,78,31,0.6,0.4913,0.704,30.37,0,0.4848,0.3189,0.6526,9.73
above,low,0,1,66,60,6,0.5645,0.4406,0.6845,3.96,0,0.25,0.0367,0.5787,-55.88
above,low,0,2,110,87,23,0.573,0.4695,0.6734,-0.73,1,0.52,0.3282,0.7088,-0.59
above,low,0,3,136,113,23,0.6957,0.6089,0.776,8.49,0,0.44,0.2555,0.6336,-2.57
above,low,0,4,250,206,44,0.5577,0.4899,0.6244,5.64,1,0.5217,0.3787,0.663,4.18
above,low,1,0,10,8,2,0.7,0.3999,0.9251,-49.56,-1,,,,
above,low,1,1,48,38,10,0.45,0.3009,0.6038,1.26,0,0.5833,0.3079,0.8325,-43.17
above,low,1,2,124,104,20,0.6226,0.5288,0.7121,5.6,0,0.5,0.2978,0.7022,2.95
above,low,1,3,147,121,26,0.6423,0.5559,0.7243,6.41,1,0.7143,0.5372,0.8625,7.08
above,low,1,4,202,158,44,0.6,0.5233,0.6744,23.94,1,0.6087,0.4654,0.743,30.05
above,low,2,1,68,54,14,0.4107,0.2865,0.5409,-15.63,0,0.625,0.3838,0.8366,0.79
above,low,2,2,112,88,24,0.6222,0.5203,0.719,10.02,0,0.4615,0.278,0.6507,1.76
above,low,2,3,152,132,20,0.5597,0.4753,0.6425,-11.11,1,0.5455,0.3402,0.7429,3.94
above,low,2,4,171,134,37,0.5956,0.5122,0.6763,13.59,1,0.7436,0.5976,0.866,16.07
above,low,3,1,30,23,7,0.48,0.2912,0.6718,-61.48,0,0.8889,0.6306,0.9968,36.75
above,low,3,2,94,77,17,0.5823,0.4725,0.6881,8.13,1,0.6316,0.4099,0.827,-0.03
above,low,3,3,160,136,24,0.5217,0.4385,0.6044,5.4,1,0.6154,0.4252,0.7887,7.02
above,low,3,4,150,112,38,0.5,0.4088,0.5912,1.19,0,0.725,0.5787,0.85,25.7
above,low,4,1,21,17,4,0.4737,0.2602,0.6924,-6.51,-1,,,,
above,low,4,2,104,84,20,0.4419,0.3391,0.5472,-3.71,0,0.6364,0.4303,0.8189,6.71
above,low,4,3,195,165,30,0.4491,0.3746,0.5248,-4.84,0,0.5938,0.4219,0.7545,-2.73
above,low,4,4,163,116,47,0.5424,0.4523,0.631,32.88,1,0.6939,0.5594,0.8134,25.41
below,high,0,0,259,212,47,0.4486,0.3826,0.5155,-10.29,0,0.5918,0.4527,0.7239,17.73
