side,anchor,sigma_rank_q,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
above,high,0,STEEP_CONCAVE_UP,12,11,1,0.3846,0.1517,0.6511,-6.25,-1,,,,
above,high,0,STEEP_LINEAR_UP,12,11,1,0.6923,0.4281,0.9008,25.86,-1,,,,
above,high,1,STEEP_CONCAVE_UP,24,21,3,0.5652,0.3635,0.7561,14.32,-1,,,,
above,high,1,STEEP_LINEAR_UP,26,25,1,0.5185,0.3337,0.7007,1.18,-1,,,,
above,high,2,STEEP_CONCAVE_UP,33,27,6,0.4828,0.3065,0.6613,-7.66,0,0.5,0.1841,0.8159,9.21
above,high,2,STEEP_LINEAR_UP,34,28,6,0.4667,0.2945,0.6431,-2.84,0,0.5,0.1841,0.8159,35.29
above,high,3,FLATLINE,15,12,3,0.5,0.2513,0.7487,0.65,-1,,,,
above,high,3,NOISE,18,12,6,0.5714,0.3158,0.8078,25.92,0,0.5,0.1841,0.8159,35.25
above,high,3,STEEP_CONCAVE_UP,59,45,14,0.4043,0.27,0.5463,-14.56,1,0.4375,0.2127,0.6771,4.23
above,high,3,STEEP_CONVEX_DOWN,11,9,2,0.5455,0.2624,0.8129,-11.86,-1,,,,
above,high,3,STEEP_LINEAR_DOWN,15,12,3,0.7857,0.5455,0.9496,6.96,-1,,,,
above,high,3,STEEP_LINEAR_UP,66,52,14,0.5185,0.3864,0.6494,2.36,1,0.6875,0.449,0.8818,-2.82
above,high,4,FLATLINE,11,9,2,0.8182,0.555,0.9748,90.94,-1,,,,
above,high,4,NOISE,17,15,2,0.5294,0.2988,0.7535,13.9,-1,,,,
above,high,4,STEEP_CONCAVE_UP,53,38,15,0.5,0.3478,0.6522,1.12,0,0.5882,0.3543,0.8025,14.23
above,high,4,STEEP_CONVEX_DOWN,14,12,2,0.5714,0.3158,0.8078,13.65,-1,,,,
above,high,4,STEEP_LINEAR_DOWN,11,4,7,,,,,-1,0.5556,0.2449,0.843,26.0
above,high,4,STEEP_LINEAR_UP,76,60,16,0.5323,0.4085,0.654,18.7,1,0.5556,0.3292,0.7702,16.03
above,low,0,FLATLINE,42,35,7,0.6216,0.4622,0.7686,19.18,0,0.3333,0.0852,0.6509,-8.25
above,low,0,NOISE,102,87,15,0.6067,0.5038,0.7051,2.78,0,0.2353,0.0727,0.4565,-27.53
above,low,0,STEEP_CONCAVE_UP,137,115,22,0.5556,0.4652,0.6441,-0.26,1,0.5417,0.3449,0.7318,-1.53
above,low,0,STEEP_CONVEX_DOWN,61,52,9,0.6852,0.5566,0.8008,8.24,1,0.6364,0.3475,0.8784,2.53
