**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

side,anchor,sigma_rank_q,sub_motif_shape,measure_shape,n_total,n_is,n_oos,P_is,ci_is_lo,ci_is_hi,mean_is,sign_match,P_oos,ci_oos_lo,ci_oos_hi,mean_oos
above,high,1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,10,8,2,0.4,0.137,0.7007,5.41,-1,,,,
above,high,1,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,12,11,1,0.7692,0.5159,0.9451,32.27,-1,,,,
above,high,1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,17,16,1,0.4444,0.2298,0.6708,12.16,-1,,,,
above,high,2,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,17,14,3,0.4375,0.2127,0.6771,-3.34,-1,,,,
above,high,2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,15,12,3,0.3571,0.1386,0.6143,-33.65,-1,,,,
above,high,3,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,23,20,3,0.3182,0.1459,0.5218,-32.96,-1,,,,
above,high,3,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,20,17,3,0.4737,0.2602,0.6924,4.62,-1,,,,
above,high,3,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,20,13,7,0.4667,0.2304,0.7114,6.54,1,0.4444,0.157,0.7551,-7.29
above,high,3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,36,28,8,0.5333,0.3569,0.7055,-2.85,1,0.7,0.3999,0.9251,-15.5
above,high,4,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,21,14,7,0.375,0.1634,0.6162,-18.48,0,0.5556,0.2449,0.843,7.0
above,high,4,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,33,25,8,0.4815,0.2993,0.6663,-4.28,0,0.6,0.2993,0.863,25.47
above,high,4,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,23,15,8,0.6471,0.4134,0.848,2.53,1,0.6,0.2993,0.863,20.56
above,high,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,31,27,4,0.5862,0.4058,0.7554,13.63,-1,,,,
above,low,0,FLATLINE,NOISE,12,11,1,0.6154,0.3489,0.8483,0.7,-1,,,,
above,low,0,FLATLINE,STEEP_CONCAVE_UP,10,10,0,0.4167,0.1675,0.6921,-12.95,-1,,,,
above,low,0,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,13,12,1,0.5714,0.3158,0.8078,0.42,-1,,,,
above,low,0,GENTLE_CONVEX_DOWN,NOISE,16,16,0,0.6667,0.4404,0.8579,6.67,-1,,,,
above,low,0,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,13,9,4,0.4545,0.1871,0.7376,9.25,-1,,,,
above,low,0,NOISE,NOISE,13,11,2,0.6923,0.4281,0.9008,-7.39,-1,,,,
above,low,0,STEEP_CONCAVE_UP,NOISE,10,9,1,0.4545,0.1871,0.7376,-10.39,-1,,,,
above,low,0,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,33,23,10,0.48,0.2912,0.6718,-16.46,1,0.1667,0.0228,0.4128,-36.8
above,low,0,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,11,8,3,0.4,0.137,0.7007,-3.28,-1,,,,
above,low,0,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,23,15,8,0.4706,0.2465,0.7012,18.08,1,0.4,0.137,0.7007,-12.75
above,low,0,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,11,11,0,0.4615,0.2109,0.7233,-45.45,-1,,,,
above,low,0,STEEP_CONVEX_UP,STEEP_LINEAR_UP,11,11,0,0.6923,0.4281,0.9008,15.61,-1,,,,
above,low,0,STEEP_LINEAR_UP,NOISE,19,17,2,0.5789,0.3575,0.7847,14.85,-1,,,,
above,low,0,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,42,38,4,0.725,0.5787,0.85,36.66,-1,,,,
above,low,0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,63,54,9,0.6429,0.5142,0.7619,4.4,1,0.6364,0.3475,0.8784,11.08
above,low,1,FLATLINE,STEEP_LINEAR_UP,11,10,1,0.5,0.2338,0.7662,9.03,-1,,,,
above,low,1,GENTLE_CONCAVE_UP,NOISE,15,13,2,0.5333,0.2886,0.7696,-0.17,-1,,,,
above,low,1,NOISE,STEEP_CONCAVE_UP,11,9,2,0.5455,0.2624,0.8129,11.97,-1,,,,
above,low,1,STEEP_CONCAVE_UP,NOISE,10,9,1,0.3636,0.1216,0.6525,-19.44,-1,,,,
above,low,1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,32,24,8,0.4231,0.244,0.6133,-9.71,0,0.5,0.212,0.788,-9.62
above,low,1,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,10,6,4,0.75,0.4213,0.9633,18.21,-1,,,,
above,low,1,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,23,19,4,0.381,0.1912,0.5922,-4.68,-1,,,,
above,low,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,15,14,1,0.75,0.5191,0.9221,20.61,-1,,,,
above,low,1,STEEP_LINEAR_UP,FLATLINE,16,14,2,0.8125,0.5954,0.9567,63.39,-1,,,,
above,low,1,STEEP_LINEAR_UP,NOISE,15,9,6,0.7273,0.4439,0.9333,29.56,1,0.625,0.2904,0.901,24.62
above,low,1,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,34,26,8,0.6429,0.4604,0.806,9.98,1,0.8,0.5175,0.9719,74.34
above,low,1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,60,48,12,0.66,0.5246,0.7833,18.12,1,0.6429,0.3857,0.8614,12.06
