shape,parent_shape,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return,extreme,level
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,51,12,0.2453,0.1403,0.3684,-8.603,0.25470000000000004,sub_motif
FLATLINE,STEEP_LINEAR_UP,57,43,0.7458,0.6283,0.8474,20.842,0.24580000000000002,motif
NOISE,STEEP_CONVEX_UP,134,98,0.7279,0.6504,0.7991,7.239,0.2279,measure
FLATLINE,GENTLE_CONVEX_UP,55,40,0.7193,0.597,0.827,6.945,0.21930000000000005,sub_motif
STEEP_CONVEX_UP,STEEP_CONCAVE_DOWN,74,21,0.2895,0.1938,0.3956,-2.534,0.21050000000000002,note
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,129,40,0.313,0.2367,0.3946,-2.452,0.187,measure
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,321,220,0.6842,0.6326,0.7337,9.667,0.18420000000000003,sub_motif
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,70,23,0.3333,0.23,0.4455,-0.964,0.16670000000000001,measure
NOISE,STEEP_CONCAVE_DOWN,1076,363,0.3377,0.3097,0.3662,-1.821,0.1623,note
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,137,46,0.3381,0.2621,0.4186,-0.682,0.1619,note
GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,66,22,0.3382,0.2315,0.454,-9.477,0.1618,sub_motif
GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,88,58,0.6556,0.5549,0.7496,1.903,0.15559999999999996,measure
GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,121,42,0.3496,0.2682,0.4357,-4.566,0.15039999999999998,sub_motif
FLATLINE,GENTLE_CONCAVE_DOWN,55,19,0.3509,0.2336,0.4781,-0.85,0.1491,measure
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,123,80,0.648,0.5625,0.729,1.795,0.14800000000000002,measure
FLATLINE,STEEP_LINEAR_UP,306,198,0.6461,0.5919,0.6985,9.289,0.1461,sub_motif
NOISE,STEEP_CONCAVE_DOWN,111,39,0.354,0.2688,0.444,-4.809,0.14600000000000002,measure
GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,167,108,0.645,0.5715,0.7152,2.391,0.14500000000000002,sub_motif
NOISE,STEEP_LINEAR_DOWN,9539,3387,0.3551,0.3455,0.3647,-1.596,0.14489999999999997,note
