shape,sigma_bucket,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,Sq1,2771,1368,0.4937,0.4751,0.5123,-0.008
STEEP_LINEAR_DOWN,Sq5,2559,1335,0.5217,0.5023,0.541,0.907
STEEP_CONVEX_DOWN,Sq5,2537,1240,0.4888,0.4693,0.5082,-0.352
STEEP_CONCAVE_UP,Sq4,2444,1159,0.4742,0.4545,0.494,-0.775
STEEP_CONVEX_DOWN,Sq4,2429,1226,0.5047,0.4849,0.5246,-0.005
STEEP_CONCAVE_UP,Sq3,2418,1211,0.5008,0.4809,0.5207,0.052
STEEP_CONCAVE_UP,Sq5,2358,1209,0.5127,0.4925,0.5329,0.597
NOISE,Sq2,2338,1179,0.5043,0.484,0.5245,0.204
STEEP_CONVEX_DOWN,Sq3,2317,1182,0.5101,0.4898,0.5305,-0.032
STEEP_LINEAR_UP,Sq5,2264,1131,0.4996,0.479,0.5201,0.379
STEEP_LINEAR_DOWN,Sq4,2211,1102,0.4984,0.4776,0.5192,-0.108
STEEP_LINEAR_UP,Sq4,2195,1133,0.5162,0.4953,0.537,0.288
STEEP_CONCAVE_UP,Sq2,2140,1062,0.4963,0.4751,0.5174,-0.221
STEEP_LINEAR_UP,Sq3,2082,994,0.4774,0.456,0.4989,-0.388
STEEP_LINEAR_DOWN,Sq3,1981,987,0.4982,0.4762,0.5202,-0.09
STEEP_CONVEX_DOWN,Sq2,1977,988,0.4997,0.4777,0.5218,-0.042
FLATLINE,Sq1,1962,990,0.5046,0.4825,0.5267,0.24
NOISE,Sq3,1897,903,0.476,0.4536,0.4985,-0.349
FLATLINE,Sq2,1890,936,0.4952,0.4727,0.5178,0.029
STEEP_LINEAR_UP,Sq2,1868,916,0.4904,0.4677,0.513,-0.095
FLATLINE,Sq3,1824,927,0.5082,0.4853,0.5311,-0.171
NOISE,Sq4,1758,839,0.4773,0.454,0.5006,-0.451
FLATLINE,Sq4,1757,897,0.5105,0.4872,0.5339,0.34
NOISE,Sq5,1673,878,0.5248,0.5008,0.5487,-0.166
STEEP_LINEAR_DOWN,Sq2,1668,813,0.4874,0.4635,0.5114,0.155
FLATLINE,Sq5,1569,804,0.5124,0.4877,0.5371,0.134
STEEP_CONCAVE_UP,Sq1,1443,671,0.4651,0.4394,0.4908,-0.165
STEEP_LINEAR_UP,Sq1,1348,671,0.4978,0.4711,0.5244,0.152
STEEP_LINEAR_DOWN,Sq1,1203,610,0.5071,0.4788,0.5353,0.172
STEEP_CONVEX_DOWN,Sq1,1156,570,0.4931,0.4643,0.5219,0.038
STEEP_CONVEX_UP,Sq1,737,357,0.4844,0.4485,0.5205,-0.102
STEEP_CONVEX_UP,Sq2,721,337,0.4675,0.4312,0.5039,-0.143
STEEP_CONCAVE_DOWN,Sq3,688,369,0.5362,0.499,0.5733,0.511
STEEP_CONCAVE_DOWN,Sq2,687,353,0.5138,0.4765,0.551,-0.043
STEEP_CONVEX_UP,Sq3,667,325,0.4873,0.4495,0.5252,0.066
STEEP_CONCAVE_DOWN,Sq4,647,317,0.49,0.4516,0.5284,0.21
GENTLE_CONCAVE_UP,Sq1,638,320,0.5016,0.4629,0.5403,-0.002
GENTLE_CONVEX_DOWN,Sq1,635,305,0.4804,0.4417,0.5192,-0.024
STEEP_CONCAVE_DOWN,Sq1,633,326,0.515,0.4761,0.5537,0.171
STEEP_CONVEX_UP,Sq4,609,286,0.4697,0.4303,0.5093,-0.343
STEEP_CONCAVE_DOWN,Sq5,606,315,0.5197,0.48,0.5593,1.054
STEEP_CONVEX_UP,Sq5,558,273,0.4893,0.448,0.5307,0.611
GENTLE_LINEAR_UP,Sq1,423,198,0.4682,0.421,0.5157,-0.06
GENTLE_LINEAR_DOWN,Sq1,406,204,0.5025,0.454,0.5509,0.183
GENTLE_CONVEX_UP,Sq1,351,161,0.4589,0.4073,0.511,-0.128
GENTLE_CONCAVE_DOWN,Sq1,293,147,0.5017,0.4448,0.5586,-0.005
GENTLE_CONVEX_DOWN,Sq2,176,100,0.5674,0.4942,0.6392,0.615
GENTLE_CONCAVE_UP,Sq2,176,87,0.4944,0.4213,0.5676,0.479
GENTLE_LINEAR_DOWN,Sq2,123,59,0.48,0.3932,0.5674,0.096
GENTLE_LINEAR_UP,Sq2,117,49,0.4202,0.3333,0.5096,-1.395
GENTLE_CONVEX_UP,Sq2,89,42,0.4725,0.3713,0.5749,-0.185
GENTLE_CONCAVE_DOWN,Sq2,78,39,0.5,0.3914,0.6086,-0.436
GENTLE_LINEAR_UP,Sq3,44,22,0.5,0.3577,0.6423,0.301
GENTLE_LINEAR_DOWN,Sq3,44,18,0.413,0.2766,0.5567,-1.136
GENTLE_CONCAVE_UP,Sq3,34,17,0.5,0.3399,0.6601,-0.801
GENTLE_CONVEX_DOWN,Sq3,32,15,0.4706,0.308,0.6365,-1.945
GENTLE_CONVEX_UP,Sq3,30,13,0.4375,0.2732,0.6092,-1.45
GENTLE_CONCAVE_DOWN,Sq3,19,9,0.4762,0.272,0.6847,-1.066
GENTLE_LINEAR_DOWN,Sq4,13,7,0.5333,0.2886,0.7696,1.308
GENTLE_CONVEX_DOWN,Sq4,11,7,0.6154,0.3489,0.8483,-1.568
GENTLE_CONCAVE_UP,Sq4,11,5,0.4615,0.2109,0.7233,-3.25
