shape,count,total,p_mean,ci95_lo,ci95_hi
STEEP_CONCAVE_UP,10858,70782,0.1534,0.1508,0.1561
NOISE,10471,70782,0.1479,0.1453,0.1506
STEEP_CONVEX_DOWN,10466,70782,0.1479,0.1453,0.1505
STEEP_LINEAR_UP,9859,70782,0.1393,0.1368,0.1419
STEEP_LINEAR_DOWN,9708,70782,0.1372,0.1346,0.1397
FLATLINE,9033,70782,0.1276,0.1252,0.1301
STEEP_CONVEX_UP,3305,70782,0.0467,0.0452,0.0483
STEEP_CONCAVE_DOWN,3276,70782,0.0463,0.0448,0.0479
GENTLE_CONVEX_DOWN,865,70782,0.0122,0.0114,0.0131
GENTLE_CONCAVE_UP,864,70782,0.0122,0.0114,0.013
GENTLE_LINEAR_UP,603,70782,0.0085,0.0079,0.0092
GENTLE_LINEAR_DOWN,594,70782,0.0084,0.0077,0.0091
GENTLE_CONVEX_UP,481,70782,0.0068,0.0062,0.0074
GENTLE_CONCAVE_DOWN,399,70782,0.0057,0.0051,0.0062
