**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,sigma_bucket,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,Sq1,289,143,0.4948,0.4376,0.5522,-0.423
FLATLINE,Sq1,245,124,0.5061,0.4439,0.5682,0.541
FLATLINE,Sq2,219,115,0.5249,0.459,0.5903,0.006
STEEP_LINEAR_DOWN,Sq5,207,97,0.4689,0.4018,0.5366,3.569
STEEP_CONVEX_DOWN,Sq5,206,107,0.5192,0.4514,0.5867,-3.034
NOISE,Sq2,205,104,0.5072,0.4393,0.5751,-3.768
FLATLINE,Sq3,198,88,0.445,0.3769,0.5141,-5.674
STEEP_LINEAR_UP,Sq5,197,102,0.5176,0.4482,0.5866,8.405
NOISE,Sq3,186,101,0.5426,0.4712,0.6131,-1.661
STEEP_CONCAVE_UP,Sq5,179,90,0.5028,0.4302,0.5753,-0.503
GENTLE_CONCAVE_UP,Sq2,167,92,0.5503,0.475,0.6244,-0.862
STEEP_LINEAR_DOWN,Sq4,165,89,0.5389,0.4632,0.6138,1.453
STEEP_LINEAR_UP,Sq4,163,90,0.5515,0.4754,0.6265,0.626
FLATLINE,Sq4,157,93,0.5912,0.514,0.6662,0.218
GENTLE_CONCAVE_UP,Sq3,154,75,0.4872,0.4093,0.5654,-2.102
FLATLINE,Sq5,148,81,0.5467,0.4668,0.6254,2.503
NOISE,Sq4,145,81,0.5578,0.4772,0.637,1.076
GENTLE_CONVEX_DOWN,Sq2,142,77,0.5417,0.4601,0.6221,3.678
GENTLE_CONCAVE_UP,Sq1,140,78,0.5563,0.4743,0.6369,2.13
GENTLE_LINEAR_UP,Sq2,140,66,0.4718,0.3905,0.5539,-3.516
GENTLE_CONVEX_DOWN,Sq3,130,58,0.447,0.3634,0.5321,-2.713
GENTLE_LINEAR_UP,Sq1,127,59,0.4651,0.38,0.5512,0.213
STEEP_CONCAVE_UP,Sq4,117,61,0.521,0.4315,0.6099,1.547
GENTLE_LINEAR_DOWN,Sq1,109,60,0.5495,0.4567,0.6407,2.225
GENTLE_LINEAR_DOWN,Sq2,107,56,0.5229,0.4294,0.6157,1.269
GENTLE_CONVEX_DOWN,Sq1,100,38,0.3824,0.2909,0.4782,-2.215
NOISE,Sq5,96,48,0.5,0.4017,0.5983,-6.812
STEEP_CONVEX_DOWN,Sq4,93,49,0.5263,0.4261,0.6254,-3.874
STEEP_LINEAR_UP,Sq3,84,39,0.4651,0.3613,0.5704,-3.405
STEEP_LINEAR_DOWN,Sq3,82,39,0.4762,0.3708,0.5826,-3.677
GENTLE_CONVEX_DOWN,Sq4,78,35,0.45,0.3431,0.5592,-0.955
GENTLE_LINEAR_DOWN,Sq3,76,43,0.5641,0.4535,0.6716,5.049
GENTLE_CONVEX_UP,Sq1,75,41,0.5455,0.4341,0.6545,3.23
GENTLE_LINEAR_UP,Sq3,75,38,0.5065,0.3957,0.617,-5.077
GENTLE_CONCAVE_UP,Sq4,67,34,0.5072,0.3903,0.6238,-7.437
GENTLE_CONCAVE_DOWN,Sq1,48,21,0.44,0.3067,0.5779,-0.776
STEEP_CONVEX_UP,Sq5,45,20,0.4468,0.309,0.5889,-8.944
GENTLE_LINEAR_DOWN,Sq4,45,23,0.5106,0.3695,0.651,-7.761
STEEP_CONCAVE_UP,Sq3,44,27,0.6087,0.4654,0.743,5.75
GENTLE_CONVEX_UP,Sq2,44,21,0.4783,0.337,0.6213,1.773
STEEP_CONCAVE_DOWN,Sq4,40,25,0.619,0.4694,0.758,-0.044
STEEP_CONCAVE_DOWN,Sq5,38,24,0.625,0.4718,0.7664,14.454
STEEP_LINEAR_DOWN,Sq2,38,19,0.5,0.3478,0.6522,1.414
STEEP_LINEAR_UP,Sq2,36,23,0.6316,0.4746,0.7754,8.118
GENTLE_CONCAVE_DOWN,Sq2,36,18,0.5,0.344,0.656,-6.174
GENTLE_LINEAR_UP,Sq4,32,19,0.5882,0.4214,0.7452,11.656
GENTLE_CONVEX_UP,Sq3,32,17,0.5294,0.3635,0.692,1.008
STEEP_CONVEX_UP,Sq4,25,14,0.5556,0.3692,0.7341,8.51
GENTLE_CONVEX_DOWN,Sq5,24,12,0.5,0.3131,0.6869,-4.448
GENTLE_CONCAVE_UP,Sq5,22,15,0.6667,0.4708,0.8362,14.682
STEEP_CONVEX_DOWN,Sq3,20,8,0.4091,0.2182,0.6156,7.275
STEEP_CONVEX_UP,Sq3,20,5,0.2727,0.1128,0.4717,-12.05
GENTLE_CONCAVE_DOWN,Sq3,18,7,0.4,0.2025,0.6164,1.431
STEEP_CONCAVE_DOWN,Sq3,17,6,0.3684,0.173,0.5901,-1.941
GENTLE_CONVEX_UP,Sq4,17,9,0.5263,0.3076,0.7398,4.912
GENTLE_LINEAR_DOWN,Sq5,10,8,0.75,0.4822,0.9398,17.475
GENTLE_CONCAVE_DOWN,Sq4,10,7,0.6667,0.3903,0.8907,-1.675
