shape,count,total,p_mean,ci95_lo,ci95_hi
FLATLINE,1037,6276,0.1653,0.1563,0.1746
NOISE,971,6276,0.1548,0.146,0.1639
GENTLE_CONCAVE_UP,591,6276,0.0943,0.0872,0.1016
STEEP_LINEAR_DOWN,556,6276,0.0887,0.0818,0.0959
STEEP_LINEAR_UP,544,6276,0.0868,0.08,0.0939
GENTLE_CONVEX_DOWN,504,6276,0.0804,0.0738,0.0873
GENTLE_LINEAR_UP,434,6276,0.0693,0.0631,0.0757
GENTLE_LINEAR_DOWN,398,6276,0.0636,0.0577,0.0697
STEEP_CONCAVE_UP,374,6276,0.0597,0.054,0.0657
STEEP_CONVEX_DOWN,339,6276,0.0542,0.0487,0.0599
GENTLE_CONVEX_UP,189,6276,0.0303,0.0262,0.0346
GENTLE_CONCAVE_DOWN,127,6276,0.0204,0.017,0.024
STEEP_CONCAVE_DOWN,113,6276,0.0182,0.015,0.0216
STEEP_CONVEX_UP,99,6276,0.0159,0.013,0.0192
