shape,count,total,p_mean,ci95_lo,ci95_hi
NOISE,64346,203801,0.3157,0.3137,0.3178
STEEP_LINEAR_UP,24608,203801,0.1207,0.1193,0.1222
STEEP_LINEAR_DOWN,24383,203801,0.1196,0.1182,0.1211
STEEP_CONCAVE_UP,24295,203801,0.1192,0.1178,0.1206
STEEP_CONVEX_DOWN,22663,203801,0.1112,0.1098,0.1126
STEEP_CONCAVE_DOWN,14352,203801,0.0704,0.0693,0.0715
STEEP_CONVEX_UP,14286,203801,0.0701,0.069,0.0712
FLATLINE,14107,203801,0.0692,0.0681,0.0703
GENTLE_LINEAR_UP,157,203801,0.0008,0.0007,0.0009
GENTLE_LINEAR_DOWN,139,203801,0.0007,0.0006,0.0008
GENTLE_CONCAVE_UP,136,203801,0.0007,0.0006,0.0008
GENTLE_CONVEX_DOWN,131,203801,0.0006,0.0005,0.0008
GENTLE_CONVEX_UP,101,203801,0.0005,0.0004,0.0006
GENTLE_CONCAVE_DOWN,97,203801,0.0005,0.0004,0.0006
