shape,sigma_bucket,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,Sq1,144,88,0.6096,0.5294,0.6869,2.75
FLATLINE,Sq1,111,59,0.531,0.439,0.6219,1.588
NOISE,Sq2,96,53,0.551,0.4523,0.6478,2.784
FLATLINE,Sq2,80,34,0.4268,0.3224,0.5346,-8.253
GENTLE_LINEAR_UP,Sq3,64,32,0.5,0.3807,0.6193,-4.523
GENTLE_CONCAVE_UP,Sq3,59,36,0.6066,0.4821,0.7244,15.932
GENTLE_LINEAR_DOWN,Sq4,56,27,0.4828,0.3563,0.6103,4.013
GENTLE_LINEAR_UP,Sq4,55,27,0.4912,0.3634,0.6197,3.059
FLATLINE,Sq3,54,27,0.5,0.3707,0.6293,-9.917
NOISE,Sq3,52,28,0.537,0.4045,0.667,-2.308
STEEP_LINEAR_DOWN,Sq5,52,22,0.4259,0.2984,0.5587,-18.144
NOISE,Sq4,51,18,0.3585,0.2362,0.4909,-11.225
GENTLE_LINEAR_UP,Sq2,46,29,0.625,0.4852,0.7549,6.728
GENTLE_CONCAVE_UP,Sq2,45,27,0.5957,0.4537,0.73,6.756
GENTLE_LINEAR_DOWN,Sq3,42,28,0.6591,0.5146,0.7899,10.839
GENTLE_CONCAVE_UP,Sq4,41,21,0.5116,0.3642,0.6581,-7.884
FLATLINE,Sq4,40,19,0.4762,0.3288,0.6258,1.975
GENTLE_CONVEX_DOWN,Sq3,39,23,0.5854,0.4333,0.7296,8.103
GENTLE_LINEAR_DOWN,Sq2,37,20,0.5385,0.383,0.6902,-10.547
STEEP_LINEAR_UP,Sq5,36,21,0.5789,0.421,0.729,22.708
GENTLE_CONVEX_DOWN,Sq4,35,16,0.4595,0.3041,0.619,-15.243
GENTLE_CONVEX_DOWN,Sq2,35,18,0.5135,0.3549,0.6708,9.571
GENTLE_LINEAR_UP,Sq1,28,11,0.4,0.2352,0.5774,-4.938
GENTLE_LINEAR_DOWN,Sq5,27,16,0.5862,0.4058,0.7554,17.463
NOISE,Sq5,26,17,0.6429,0.4604,0.806,-4.75
GENTLE_CONCAVE_UP,Sq1,25,12,0.4815,0.2993,0.6663,7.33
GENTLE_CONCAVE_UP,Sq5,24,10,0.4231,0.244,0.6133,-9.396
GENTLE_CONVEX_DOWN,Sq5,22,10,0.4583,0.2682,0.6551,-0.068
FLATLINE,Sq5,20,12,0.5909,0.3844,0.7818,0.263
GENTLE_LINEAR_DOWN,Sq1,17,10,0.5789,0.3575,0.7847,-5.5
GENTLE_CONVEX_DOWN,Sq1,17,11,0.6316,0.4099,0.827,9.471
GENTLE_LINEAR_UP,Sq5,16,8,0.5,0.2781,0.7219,-22.312
STEEP_CONCAVE_UP,Sq5,16,8,0.5,0.2781,0.7219,-25.438
STEEP_CONVEX_DOWN,Sq5,16,7,0.4444,0.2298,0.6708,0.609
GENTLE_CONVEX_UP,Sq1,14,11,0.75,0.5191,0.9221,6.857
GENTLE_CONCAVE_DOWN,Sq1,12,5,0.4286,0.1922,0.6842,-3.396
GENTLE_CONCAVE_DOWN,Sq3,11,6,0.5385,0.2767,0.7891,-22.432
GENTLE_CONVEX_UP,Sq2,10,4,0.4167,0.1675,0.6921,-5.85
