**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

shape,skew,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
NOISE,NONE,369,204,0.5526,0.5018,0.6028,-0.414
FLATLINE,NONE,295,147,0.4983,0.4416,0.5551,-3.125
GENTLE_LINEAR_UP,NONE,207,106,0.512,0.4443,0.5794,-1.454
GENTLE_LINEAR_DOWN,NONE,178,101,0.5667,0.4939,0.6381,3.826
GENTLE_CONCAVE_UP,FRONT_SKEWED,101,61,0.6019,0.5062,0.6939,7.995
STEEP_LINEAR_DOWN,NONE,59,27,0.459,0.3367,0.5839,-14.008
GENTLE_CONVEX_DOWN,FRONT_SKEWED,58,29,0.5,0.375,0.625,-5.362
GENTLE_CONVEX_DOWN,SYMMETRIC,53,26,0.4909,0.3608,0.6216,7.528
GENTLE_CONCAVE_UP,SYMMETRIC,51,25,0.4906,0.3581,0.6237,-1.598
GENTLE_CONCAVE_DOWN,BACK_SKEWED,42,22,0.5227,0.3765,0.6669,-7.262
GENTLE_CONCAVE_UP,BACK_SKEWED,42,20,0.4773,0.3331,0.6235,3.631
STEEP_LINEAR_UP,NONE,39,22,0.561,0.4089,0.7074,19.763
GENTLE_CONVEX_UP,BACK_SKEWED,38,26,0.675,0.5243,0.8091,9.651
GENTLE_CONVEX_DOWN,BACK_SKEWED,36,22,0.6053,0.4476,0.7525,4.806
