shape,count,total,p_mean,ci95_lo,ci95_hi
NOISE,436,2047,0.2133,0.1958,0.2313
FLATLINE,348,2047,0.1703,0.1544,0.1869
GENTLE_LINEAR_UP,282,2047,0.1381,0.1235,0.1534
GENTLE_LINEAR_DOWN,244,2047,0.1196,0.1059,0.134
GENTLE_CONCAVE_UP,214,2047,0.1049,0.092,0.1186
GENTLE_CONVEX_DOWN,167,2047,0.082,0.0705,0.0942
STEEP_LINEAR_DOWN,103,2047,0.0508,0.0417,0.0607
STEEP_LINEAR_UP,93,2047,0.0459,0.0372,0.0553
GENTLE_CONCAVE_DOWN,49,2047,0.0244,0.0182,0.0315
GENTLE_CONVEX_UP,48,2047,0.0239,0.0178,0.031
STEEP_CONCAVE_UP,28,2047,0.0142,0.0095,0.0197
STEEP_CONVEX_DOWN,23,2047,0.0117,0.0075,0.0168
STEEP_CONCAVE_DOWN,8,2047,0.0044,0.002,0.0077
STEEP_CONVEX_UP,4,2047,0.0024,0.0008,0.005
