shape,sigma_bucket,n,k_up,p_up_mean,ci95_lo,ci95_hi,mean_fwd_return
FLATLINE,Sq1,882,460,0.5215,0.4885,0.5544,-0.16
STEEP_LINEAR_DOWN,Sq5,860,455,0.529,0.4956,0.5622,0.603
STEEP_CONCAVE_UP,Sq5,779,388,0.4981,0.463,0.5331,-0.823
STEEP_CONVEX_DOWN,Sq5,769,400,0.5201,0.4848,0.5553,1.842
STEEP_LINEAR_UP,Sq5,748,381,0.5093,0.4736,0.5451,1.152
FLATLINE,Sq2,735,367,0.4993,0.4633,0.5354,0.54
STEEP_LINEAR_DOWN,Sq4,709,384,0.5415,0.5048,0.578,1.379
STEEP_CONCAVE_UP,Sq4,675,347,0.514,0.4764,0.5516,0.503
STEEP_CONVEX_DOWN,Sq4,647,344,0.5316,0.4931,0.5698,0.157
STEEP_LINEAR_UP,Sq4,643,332,0.5163,0.4777,0.5548,0.347
STEEP_LINEAR_UP,Sq3,607,309,0.509,0.4693,0.5487,0.299
STEEP_LINEAR_DOWN,Sq3,597,302,0.5058,0.4658,0.5458,0.05
FLATLINE,Sq3,589,306,0.5195,0.4792,0.5596,0.671
GENTLE_CONCAVE_UP,Sq1,578,293,0.5069,0.4662,0.5475,-0.47
FLATLINE,Sq4,555,288,0.5189,0.4773,0.5602,-0.792
STEEP_CONCAVE_UP,Sq3,551,288,0.5226,0.4809,0.5641,0.657
GENTLE_CONVEX_DOWN,Sq1,524,263,0.5019,0.4592,0.5446,0.452
NOISE,Sq1,513,275,0.5359,0.4928,0.5788,0.725
STEEP_LINEAR_UP,Sq2,471,215,0.4567,0.412,0.5017,-0.51
STEEP_CONVEX_DOWN,Sq3,457,215,0.4706,0.4251,0.5163,-0.997
GENTLE_CONCAVE_UP,Sq2,436,238,0.5457,0.4989,0.592,0.374
FLATLINE,Sq5,429,227,0.529,0.4818,0.5759,1.194
GENTLE_CONVEX_DOWN,Sq2,420,204,0.4858,0.4382,0.5335,0.17
STEEP_LINEAR_DOWN,Sq2,370,181,0.4892,0.4386,0.54,-0.957
GENTLE_LINEAR_UP,Sq1,336,155,0.4615,0.4087,0.5148,-0.491
GENTLE_LINEAR_DOWN,Sq1,332,163,0.491,0.4376,0.5446,-0.181
STEEP_CONCAVE_UP,Sq2,324,170,0.5245,0.4703,0.5785,0.41
NOISE,Sq2,316,164,0.5189,0.464,0.5735,0.655
STEEP_CONVEX_DOWN,Sq2,272,135,0.4964,0.4373,0.5554,-0.256
NOISE,Sq3,271,131,0.4835,0.4245,0.5428,-1.571
