tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match,total_bleed
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,2305,730,-2.84,-3.53,-6556.0,-2578.0,1,-9134.0
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_LINEAR_UP,2033,509,-1.89,-1.62,-3840.0,-824.0,1,-4664.0
NMP_FADE_RAW,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,3178,742,-1.2,-1.09,-3804.0,-806.0,1,-4610.0
NMP_FADE_RAW,STEEP_LINEAR_UP,STEEP_LINEAR_UP,2880,519,-0.93,-2.13,-2688.0,-1103.0,1,-3791.0
NMP_FADE_RAW,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,1200,364,-2.34,-2.61,-2810.0,-950.0,1,-3760.0
NMP_FADE_RAW,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,1052,272,-2.83,-2.31,-2976.0,-628.0,1,-3604.0
NMP_FADE_RAW,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,751,204,-2.45,-3.65,-1839.0,-744.0,1,-2583.0
NMP_FADE_RAW,FLATLINE,STEEP_LINEAR_DOWN,933,221,-1.95,-3.12,-1820.0,-690.0,1,-2510.0
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,1379,411,-1.37,-1.35,-1888.0,-555.0,1,-2443.0
NMP_FADE_RAW,FLATLINE,STEEP_LINEAR_UP,937,191,-2.28,-0.69,-2138.0,-132.0,1,-2270.0
NMP_FADE_RAW,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,395,62,-4.4,-2.23,-1738.0,-138.0,1,-1876.0
FADE_MOMENTUM,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,235,83,-6.28,-4.81,-1476.0,-400.0,1,-1876.0
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,1064,265,-1.45,-0.42,-1539.0,-112.0,1,-1651.0
NMP_FADE_RAW,NOISE,STEEP_LINEAR_DOWN,612,92,-2.03,-4.42,-1240.0,-406.0,1,-1646.0
NMP_FADE_RAW,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,786,198,-1.63,-1.53,-1282.0,-304.0,1,-1586.0
NMP_FADE_RAW,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,873,175,-1.57,-1.09,-1371.0,-190.0,1,-1561.0
FADE_AT_BAND,STEEP_CONVEX_UP,STEEP_LINEAR_UP,119,48,-10.29,-5.99,-1224.0,-288.0,1,-1512.0
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_LINEAR_UP,968,259,-0.72,-2.84,-696.0,-735.0,1,-1431.0
FADE_MOMENTUM,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,241,63,-4.71,-2.91,-1135.0,-184.0,1,-1319.0
NMP_FADE_RAW,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,821,123,-1.44,-0.62,-1184.0,-76.0,1,-1260.0
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,164,20,-6.65,-6.67,-1090.0,-134.0,1,-1224.0
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,119,47,-6.14,-7.56,-731.0,-356.0,1,-1087.0
FADE_CALM,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,295,77,-2.7,-3.77,-796.0,-290.0,1,-1086.0
NMP_FADE_RAW,NOISE,STEEP_LINEAR_UP,566,110,-1.54,-1.56,-872.0,-172.0,1,-1044.0
NMP_FADE_RAW,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,2172,407,-0.28,-1.03,-604.0,-420.0,1,-1024.0
KILL_SHOT,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,475,82,-1.87,-1.28,-890.0,-105.0,1,-995.0
NMP_FADE_RAW,STEEP_CONVEX_UP,STEEP_LINEAR_UP,324,51,-2.66,-2.16,-862.0,-110.0,1,-972.0
FADE_CALM,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,464,89,-1.68,-1.06,-778.0,-94.0,1,-872.0
FADE_MOMENTUM,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,141,58,-4.21,-4.43,-594.0,-257.0,1,-851.0
FADE_MOMENTUM,NOISE,STEEP_LINEAR_DOWN,59,14,-10.77,-13.46,-636.0,-188.0,1,-824.0
FADE_CALM,NOISE,STEEP_LINEAR_UP,271,39,-2.85,-1.24,-773.0,-48.0,1,-821.0
FADE_CALM,FLATLINE,STEEP_LINEAR_DOWN,465,75,-1.17,-3.12,-546.0,-234.0,1,-780.0
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,1293,377,-0.13,-1.45,-164.0,-546.0,1,-710.0
KILL_SHOT,NOISE,STEEP_LINEAR_DOWN,121,29,-3.76,-8.66,-456.0,-251.0,1,-707.0
KILL_SHOT,FLATLINE,STEEP_LINEAR_UP,225,36,-2.53,-3.26,-570.0,-118.0,1,-688.0
KILL_SHOT,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,138,31,-3.49,-6.5,-481.0,-202.0,1,-683.0
FADE_AT_BAND,STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,208,83,-2.65,-1.59,-551.0,-132.0,1,-683.0
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,243,52,-2.24,-2.43,-546.0,-126.0,1,-672.0
NMP_FADE_RAW,FLATLINE,STEEP_CONCAVE_DOWN,171,43,-2.86,-4.01,-490.0,-172.0,1,-662.0
FADE_CALM,NOISE,STEEP_LINEAR_DOWN,249,30,-1.81,-6.1,-452.0,-183.0,1,-635.0
KILL_SHOT,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,76,17,-7.32,-3.68,-556.0,-62.0,1,-618.0
FADE_AT_BAND,STEEP_LINEAR_UP,STEEP_CONVEX_UP,198,34,-2.22,-4.68,-440.0,-159.0,1,-599.0
FADE_MOMENTUM,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,218,60,-1.08,-5.8,-234.0,-348.0,1,-582.0
FADE_AT_BAND,NOISE,NOISE,114,75,-1.95,-4.63,-222.0,-348.0,1,-570.0
KILL_SHOT,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,393,80,-1.05,-0.68,-413.0,-54.0,1,-467.0
FADE_CALM,FLATLINE,STEEP_CONCAVE_DOWN,94,18,-3.57,-6.83,-336.0,-123.0,1,-459.0
NMP_FADE_RAW,NOISE,STEEP_CONCAVE_DOWN,105,15,-3.35,-7.13,-352.0,-107.0,1,-459.0
NMP_FADE_RAW,FLATLINE,STEEP_CONVEX_UP,161,31,-1.86,-4.9,-300.0,-152.0,1,-452.0
NMP_FADE_RAW,GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,279,53,-1.28,-1.56,-358.0,-82.0,1,-440.0
KILL_SHOT,FLATLINE,STEEP_LINEAR_DOWN,225,51,-1.31,-2.78,-295.0,-142.0,1,-437.0
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONVEX_UP,116,34,-3.53,-0.74,-409.0,-25.0,1,-434.0
KILL_SHOT,STEEP_LINEAR_UP,STEEP_LINEAR_UP,364,87,-0.86,-1.26,-314.0,-110.0,1,-424.0
FADE_CALM,STEEP_LINEAR_UP,STEEP_LINEAR_UP,273,25,-1.43,-0.96,-390.0,-24.0,1,-414.0
NMP_FADE_RAW,NOISE,STEEP_CONVEX_UP,108,15,-3.14,-3.57,-340.0,-54.0,1,-394.0
FADE_AT_BAND,FLATLINE,STEEP_LINEAR_UP,136,36,-1.79,-4.04,-244.0,-146.0,1,-390.0
KILL_SHOT,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,102,29,-2.57,-4.12,-262.0,-120.0,1,-382.0
FADE_MOMENTUM,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,645,178,-0.19,-1.32,-120.0,-234.0,1,-354.0
NMP_FADE_RAW,GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,315,60,-1.1,-0.14,-346.0,-8.0,1,-354.0
FADE_MOMENTUM,FLATLINE,STEEP_LINEAR_DOWN,72,23,-1.74,-9.72,-126.0,-224.0,1,-350.0
FADE_CALM,GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,180,24,-1.56,-2.79,-280.0,-67.0,1,-347.0
FADE_CALM,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,251,38,-1.29,-0.54,-323.0,-20.0,1,-343.0
FADE_CALM,GENTLE_CONVEX_UP,STEEP_LINEAR_UP,100,11,-3.2,-0.36,-320.0,-4.0,1,-324.0
FADE_MOMENTUM,STEEP_CONVEX_UP,STEEP_LINEAR_UP,78,20,-3.27,-3.4,-255.0,-68.0,1,-323.0
KILL_SHOT,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,232,65,-0.47,-3.23,-108.0,-210.0,1,-318.0
NMP_FADE_RAW,GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,208,18,-1.52,-0.06,-316.0,-1.0,1,-317.0
KILL_SHOT,STEEP_CONVEX_UP,STEEP_LINEAR_UP,63,11,-4.75,-1.23,-300.0,-14.0,1,-314.0
NMP_FADE_RAW,GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,241,15,-1.06,-3.37,-256.0,-50.0,1,-306.0
NMP_FADE_RAW,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,592,68,-0.46,-0.44,-274.0,-30.0,1,-304.0
FADE_AGAINST,STEEP_LINEAR_UP,STEEP_LINEAR_UP,164,30,-1.03,-4.4,-169.0,-132.0,1,-301.0
FADE_CALM,GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,199,24,-1.34,-1.33,-268.0,-32.0,1,-300.0
