**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,seg_idx,shape_class,cluster_id,ride_pnl_pts,resolved_as_cascade,length_min,peak_abs_z
2025_01_02,0,NOISE,0,0.0,False,495.0,3.997
2025_01_02,1,EXPONENTIAL_DOWN,-1,76.0,False,30.0,2.584
2025_01_02,2,EXPONENTIAL_UP,1,61.25,False,75.0,1.601
2025_01_02,3,EXPONENTIAL_UP,1,-7.25,False,60.0,1.347
2025_01_02,4,LINEAR_UP,0,15.75,True,180.0,5.317
2025_01_02,5,LINEAR_DOWN,1,263.25,True,375.0,6.534
2025_01_02,6,LINEAR_UP,0,12.0,False,224.92,2.623
2025_01_03,1,EXPONENTIAL_DOWN,0,16.5,False,45.0,1.276
2025_01_03,2,EXPONENTIAL_UP,0,25.25,False,120.0,2.187
2025_01_03,3,EXPONENTIAL_UP,1,-15.25,False,45.0,1.107
2025_01_03,4,LINEAR_DOWN,1,-1.5,False,165.0,2.996
2025_01_03,5,EXPONENTIAL_UP,0,-10.75,True,60.0,4.372
2025_01_03,6,EXPONENTIAL_UP,0,29.5,False,135.0,2.919
2025_01_03,7,NOISE,0,25.5,False,30.0,1.839
2025_01_03,8,EXPONENTIAL_UP,-1,15.5,False,45.0,1.214
2025_01_03,9,LINEAR_DOWN,0,-10.25,False,75.0,2.635
2025_01_03,10,STEP_UP,0,3.0,False,30.0,2.837
2025_01_03,11,LINEAR_UP,0,226.25,True,450.0,9.597
2025_01_03,12,EXPONENTIAL_DOWN,0,-9.25,False,44.92,2.249
2025_01_06,0,NOISE,1,0.0,True,105.0,5.096
2025_01_06,1,EXPONENTIAL_UP,0,328.0,True,945.0,11.269
2025_01_06,2,LINEAR_DOWN,1,62.5,False,210.0,3.068
2025_01_06,3,BACK_SKEWED_UP,0,-16.0,False,30.0,1.614
2025_01_06,4,LINEAR_UP,0,-2.5,False,149.92,1.609
2025_01_07,1,LINEAR_DOWN,1,27.25,False,60.08,2.368
