parent_15m_cluster,n_motifs,n_5m_subclusters,n_noise
LINEAR_DOWN_NOISE,1663,4,47
NOISE_NOISE,896,2,162
FLATLINE_NOISE,831,7,266
LOGARITHMIC_UP_NOISE,797,6,54
EXPONENTIAL_DOWN_C1,618,3,10
LINEAR_UP_C0,605,3,39
EXPONENTIAL_UP_C1,495,4,61
LINEAR_UP_C2,470,4,139
LOGARITHMIC_DOWN_C-99,430,6,79
EXPONENTIAL_DOWN_C0,413,2,42
FLATLINE_C2,347,3,108
FLATLINE_C8,339,3,121
FLATLINE_C9,335,5,35
EXPONENTIAL_UP_C0,328,3,77
FLATLINE_C1,319,4,60
LINEAR_UP_NOISE,291,2,35
LINEAR_UP_C1,283,3,31
LINEAR_UP_C3,274,2,16
FLATLINE_C3,253,3,26
EXPONENTIAL_UP_NOISE,227,3,18
FLATLINE_C6,221,2,20
FLATLINE_C0,178,2,15
FLATLINE_C4,118,0,118
FLATLINE_C7,111,0,111
FLATLINE_C5,81,0,81
